ticker,year,month,return,contract,start_date,start_value,end_date,end_value
CF,2001,1,-0.020955365175987995,CF_2001-03,2001-01-02,65.1,2001-01-31,63.75
CF,2001,2,-0.015060525625721237,CF_2001-05,2001-02-01,66.9,2001-02-28,65.9
CF,2001,3,-0.07659244548138382,CF_2001-05,2001-03-01,65.1,2001-03-30,60.3
CF,2001,4,0.025934655911043533,CF_2001-07,2001-04-02,62.8,2001-04-30,64.45
CF,2001,5,-0.13178007869178762,CF_2001-07,2001-05-01,65.2,2001-05-31,57.15
CF,2001,6,-0.04593709518702554,CF_2001-09,2001-06-01,61.25,2001-06-29,58.5
CF,2001,7,-0.09714592488911257,CF_2001-09,2001-07-02,57.25,2001-07-31,51.95
CF,2001,8,-0.00824558038675132,CF_2001-12,2001-08-01,54.8,2001-08-31,54.35
CF,2001,9,-0.0947453675893662,CF_2001-12,2001-09-04,53.1,2001-09-28,48.3
CF,2001,10,-0.08091844115624872,CF_2001-12,2001-10-01,47.6,2001-10-31,43.9
CF,2001,11,-0.004319661144516284,CF_2002-03,2001-11-01,46.4,2001-11-30,46.2
CF,2001,12,-0.011834457647002796,CF_2002-03,2001-12-03,46.75,2001-12-28,46.2
CF,2002,1,-0.008830079448272037,CF_2002-03,2002-01-02,45.5,2002-01-31,45.1
CF,2002,2,-0.009672294642507632,CF_2002-05,2002-02-01,46.75,2002-02-28,46.3
CF,2002,3,0.20710158579244167,CF_2002-05,2002-03-01,46.5,2002-03-28,57.2
CF,2002,4,-0.11007973158947278,CF_2002-07,2002-04-01,59.0,2002-04-30,52.85
CF,2002,5,-0.0057637047167501294,CF_2002-07,2002-05-01,52.2,2002-05-31,51.9
CF,2002,6,-0.10576984845109791,CF_2002-09,2002-06-03,54.3,2002-06-28,48.85
CF,2002,7,-0.045937095187025656,CF_2002-09,2002-07-01,49.0,2002-07-31,46.8
CF,2002,8,0.060037388256779664,CF_2002-12,2002-08-01,50.1,2002-08-30,53.2
CF,2002,9,0.03548458192553425,CF_2002-12,2002-09-03,52.6,2002-09-30,54.5
CF,2002,10,0.19529388674275472,CF_2002-12,2002-10-01,54.25,2002-10-31,65.95
CF,2002,11,0.038994109934545815,CF_2003-03,2002-11-01,67.9,2002-11-27,70.6
CF,2002,12,-0.15509944650184374,CF_2003-03,2002-12-02,70.3,2002-12-31,60.2
CF,2003,1,0.07634867124558964,CF_2003-03,2003-01-02,60.5,2003-01-31,65.3
CF,2003,2,-0.13943111475171088,CF_2003-05,2003-02-03,68.0,2003-02-28,59.15
CF,2003,3,0.0025608208616736505,CF_2003-05,2003-03-03,58.5,2003-03-31,58.65
CF,2003,4,0.12031330991435106,CF_2003-07,2003-04-01,61.4,2003-04-30,69.25
CF,2003,5,-0.16474438620673298,CF_2003-07,2003-05-01,68.8,2003-05-30,58.35
CF,2003,6,0.004922077205428455,CF_2003-09,2003-06-02,60.8,2003-06-30,61.1
CF,2003,7,0.03855899360368308,CF_2003-09,2003-07-01,61.05,2003-07-31,63.45
CF,2003,8,-0.047738086218628205,CF_2003-12,2003-08-01,66.5,2003-08-29,63.4
CF,2003,9,-0.013423020332140661,CF_2003-12,2003-09-02,63.75,2003-09-30,62.9
CF,2003,10,-0.07787628634369574,CF_2003-12,2003-10-01,63.4,2003-10-31,58.65
CF,2003,11,-0.02201474965503249,CF_2004-03,2003-11-03,62.0,2003-11-26,60.65
CF,2003,12,0.07014827311750733,CF_2004-03,2003-12-01,60.55,2003-12-31,64.95
CF,2004,1,0.15514455103711247,CF_2004-03,2004-01-05,64.65,2004-01-30,75.5
CF,2004,2,0.007191923774705859,CF_2004-05,2004-02-02,76.2,2004-02-27,76.75
CF,2004,3,-0.03987239124737735,CF_2004-05,2004-03-01,76.75,2004-03-31,73.75
CF,2004,4,-0.09911820751678717,CF_2004-07,2004-04-01,76.3,2004-04-30,69.1
CF,2004,5,0.21137785527075462,CF_2004-07,2004-05-03,69.25,2004-05-28,85.55
