ticker,year,month,return,contract,start_date,start_value,end_date,end_value
GD,2001,1,-0.0284519469081166,GD_2001-01,2001-01-02,274.5,2001-01-31,266.8
GD,2001,2,0.0,GD_2001-02,2001-02-01,267.8,2001-02-28,267.8
GD,2001,3,-0.03347592919638957,GD_2001-03,2001-03-01,267.3,2001-03-30,258.5
GD,2001,4,0.023728629564989133,GD_2001-04,2001-04-02,258.2,2001-04-30,264.4
GD,2001,5,0.0030109168399496027,GD_2001-05,2001-05-01,265.3,2001-05-31,266.1
GD,2001,6,0.01672590562341739,GD_2001-06,2001-06-01,266.8,2001-06-29,271.3
GD,2001,7,-0.013757420922204756,GD_2001-07,2001-07-02,270.8,2001-07-31,267.1
GD,2001,8,0.023911383841391656,GD_2001-08,2001-08-01,268.6,2001-08-31,275.1
GD,2001,9,0.07138317482753666,GD_2001-09,2001-09-04,273.0,2001-09-28,293.2
GD,2001,10,-0.04598511324182338,GD_2001-10,2001-10-01,293.7,2001-10-31,280.5
GD,2001,11,-0.022675076232517636,GD_2001-11,2001-11-01,281.0,2001-11-30,274.7
GD,2001,12,0.013713675762177002,GD_2001-12,2001-12-03,275.2,2001-12-31,279.0
GD,2002,1,0.010322213023932988,GD_2002-01,2002-01-02,279.5,2002-01-31,282.4
GD,2002,2,0.048621884825324334,GD_2002-02,2002-02-01,283.0,2002-02-28,297.1
GD,2002,3,0.013953714773865528,GD_2002-03,2002-03-01,298.9,2002-03-28,303.1
GD,2002,4,0.016960615307045197,GD_2002-04,2002-04-01,304.0,2002-04-30,309.2
GD,2002,5,0.05338787341806154,GD_2002-05,2002-05-01,310.0,2002-05-31,327.0
GD,2002,6,-0.04241359122739885,GD_2002-06,2002-06-03,327.5,2002-06-28,313.9
GD,2002,7,-0.03588553794530635,GD_2002-07,2002-07-01,314.9,2002-07-31,303.8
GD,2002,8,0.03414410688574368,GD_2002-08,2002-08-01,302.3,2002-08-30,312.8
GD,2002,9,0.03131126168620641,GD_2002-09,2002-09-03,314.4,2002-09-30,324.4
GD,2002,10,-0.018360559343044487,GD_2002-10,2002-10-01,324.3,2002-10-31,318.4
GD,2002,11,-0.007222515302969714,GD_2002-11,2002-11-01,319.6,2002-11-27,317.3
GD,2002,12,0.08727249404989076,GD_2002-12,2002-12-02,319.1,2002-12-31,348.2
GD,2003,1,0.060946751264394916,GD_2003-01,2003-01-02,346.9,2003-01-31,368.7
GD,2003,2,-0.05173567439918875,GD_2003-02,2003-02-03,368.9,2003-02-28,350.3
GD,2003,3,-0.03877471597053715,GD_2003-03,2003-03-03,349.7,2003-03-31,336.4
GD,2003,4,0.007690070431954139,GD_2003-04,2003-04-01,336.8,2003-04-30,339.4
GD,2003,5,0.0627501668588668,GD_2003-05,2003-05-01,342.8,2003-05-30,365.0
GD,2003,6,-0.04984841622836432,GD_2003-06,2003-06-02,364.0,2003-06-30,346.3
GD,2003,7,0.006793119811175228,GD_2003-07,2003-07-01,352.1,2003-07-31,354.5
GD,2003,8,0.06400646472704162,GD_2003-08,2003-08-01,352.5,2003-08-29,375.8
GD,2003,9,0.03133897019271962,GD_2003-09,2003-09-02,373.8,2003-09-30,385.7
GD,2003,10,-0.0033744353888936294,GD_2003-10,2003-10-01,385.9,2003-10-31,384.6
GD,2003,11,0.0511078958463708,GD_2003-11,2003-11-03,377.6,2003-11-26,397.4
GD,2003,12,0.04221485707753487,GD_2003-12,2003-12-01,398.9,2003-12-31,416.1
GD,2004,1,-0.054851289053896746,GD_2004-01,2004-01-05,425.3,2004-01-30,402.6
GD,2004,2,-0.01575229471240241,GD_2004-02,2004-02-02,403.1,2004-02-27,396.8
GD,2004,3,0.06994503773694433,GD_2004-03,2004-03-01,398.9,2004-03-31,427.8
GD,2004,4,-0.09823843958341322,GD_2004-04,2004-04-01,427.5,2004-04-30,387.5
GD,2004,5,0.016360283105206853,GD_2004-05,2004-05-03,388.0,2004-05-28,394.4
GD,2004,6,-0.007604599385219304,GD_2004-06,2004-06-01,396.0,2004-06-30,393.0
GD,2004,7,-0.013440040015404811,GD_2004-07,2004-07-01,397.0,2004-07-30,391.7
GD,2004,8,0.04555859404700329,GD_2004-08,2004-08-02,392.6,2004-08-31,410.9
GD,2004,9,0.022900844124128617,GD_2004-09,2004-09-01,410.1,2004-09-30,419.6
GD,2004,10,0.021182246441884614,GD_2004-10,2004-10-01,420.4,2004-10-29,429.4
GD,2004,11,0.05243456784639046,GD_2004-11,2004-11-01,429.1,2004-11-30,452.2
GD,2004,12,-0.03364300243962281,GD_2004-12,2004-12-01,453.4,2004-12-30,438.4
