ticker,year,month,return,contract,start_date,start_value,end_date,end_value
HO,2001,1,-0.06732393526576162,HO_2001-03,2001-01-02,0.8125,2001-01-31,0.7596
HO,2001,2,-0.0290479738324859,HO_2001-04,2001-02-01,0.73,2001-02-28,0.7091
HO,2001,3,0.010276995960428404,HO_2001-05,2001-03-01,0.697,2001-03-30,0.7042
HO,2001,4,0.0759789183449337,HO_2001-06,2001-04-02,0.698,2001-04-30,0.7531
HO,2001,5,0.021691690701635825,HO_2001-07,2001-05-01,0.757,2001-05-31,0.7736
HO,2001,6,-0.080481682193297,HO_2001-08,2001-06-01,0.7785,2001-06-29,0.7183
HO,2001,7,-0.05265470676001186,HO_2001-09,2001-07-02,0.7389,2001-07-31,0.701
HO,2001,8,0.08911900821625275,HO_2001-10,2001-08-01,0.707,2001-08-31,0.7729
HO,2001,9,-0.14637953510237148,HO_2001-11,2001-09-04,0.7755,2001-09-28,0.6699
HO,2001,10,-0.09211791013634923,HO_2001-12,2001-10-01,0.6693,2001-10-31,0.6104
HO,2001,11,-0.12647689228148526,HO_2002-01,2001-11-01,0.6195,2001-11-30,0.5459
HO,2001,12,-0.0012643368432197607,HO_2002-02,2001-12-03,0.554,2001-12-31,0.5533
HO,2002,1,-0.03675051185446693,HO_2002-03,2002-01-02,0.5515,2002-01-31,0.5316
HO,2002,2,0.06786864427467051,HO_2002-04,2002-02-01,0.534,2002-02-28,0.5715
HO,2002,3,0.164801785895225,HO_2002-05,2002-03-01,0.571,2002-03-28,0.6733
HO,2002,4,0.0049261183360557815,HO_2002-06,2002-04-01,0.6885,2002-04-30,0.6919
HO,2002,5,-0.06316298497383191,HO_2002-07,2002-05-01,0.6829,2002-05-31,0.6411
HO,2002,6,0.04941508377732236,HO_2002-08,2002-06-03,0.6475,2002-06-28,0.6803
HO,2002,7,-0.005522467166955566,HO_2002-09,2002-07-01,0.69,2002-07-31,0.6862
HO,2002,8,0.0974604926903655,HO_2002-10,2002-08-01,0.6926,2002-08-30,0.7635
HO,2002,9,0.05824414676160423,HO_2002-11,2002-09-03,0.762,2002-09-30,0.8077
HO,2002,10,-0.0869001113427833,HO_2002-12,2002-10-01,0.817,2002-10-31,0.749
HO,2002,11,0.007265073893940084,HO_2003-01,2002-11-01,0.7543,2002-11-27,0.7598
HO,2002,12,0.14348172347769078,HO_2003-02,2002-12-02,0.7525,2002-12-31,0.8686
HO,2003,1,0.10041648238819735,HO_2003-03,2003-01-02,0.8435,2003-01-31,0.9326
HO,2003,2,0.19984192893003103,HO_2003-04,2003-02-03,0.8779,2003-02-28,1.0721
HO,2003,3,-0.19365220917393292,HO_2003-05,2003-03-03,0.9355,2003-03-31,0.7708
HO,2003,4,-0.09926989919007549,HO_2003-06,2003-04-01,0.7566,2003-04-30,0.6851
HO,2003,5,0.0860640967060201,HO_2003-07,2003-05-01,0.6865,2003-05-30,0.7482
HO,2003,6,0.03522767786956076,HO_2003-08,2003-06-02,0.7586,2003-06-30,0.7858
HO,2003,7,0.014631946211717638,HO_2003-09,2003-07-01,0.787,2003-07-31,0.7986
HO,2003,8,0.02190091817767269,HO_2003-10,2003-08-01,0.8084,2003-08-29,0.8263
HO,2003,9,-0.05340534814523774,HO_2003-11,2003-09-02,0.8307,2003-09-30,0.7875
HO,2003,10,0.008028141462442608,HO_2003-12,2003-10-01,0.794,2003-10-31,0.8004
HO,2003,11,0.04266796768149611,HO_2004-01,2003-11-03,0.8075,2003-11-26,0.8427
HO,2003,12,0.08508491938659558,HO_2004-02,2003-12-01,0.84,2003-12-31,0.9146
HO,2004,1,0.01286085327404631,HO_2004-03,2004-01-05,0.9039,2004-01-30,0.9156
HO,2004,2,0.09096672258121795,HO_2004-04,2004-02-02,0.86,2004-02-27,0.9419
HO,2004,3,-0.012097145470305963,HO_2004-05,2004-03-01,0.9065,2004-03-31,0.8956
HO,2004,4,0.06470080897304285,HO_2004-06,2004-04-01,0.8857,2004-04-30,0.9449
HO,2004,5,0.062115162771996586,HO_2004-07,2004-05-03,0.9425,2004-05-28,1.0029
HO,2004,6,-0.006639352645203224,HO_2004-08,2004-06-01,1.0276,2004-06-30,1.0208
HO,2004,7,0.13171266657376435,HO_2004-09,2004-07-01,1.025,2004-07-30,1.1693
HO,2004,8,-0.046030136090926856,HO_2004-10,2004-08-02,1.1759,2004-08-31,1.123
HO,2004,9,0.19766117639420203,HO_2004-11,2004-09-01,1.1375,2004-09-30,1.3861
HO,2004,10,0.05481881844958797,HO_2004-12,2004-10-01,1.386,2004-10-29,1.4641
HO,2004,11,-0.039199018473358486,HO_2005-01,2004-11-01,1.475,2004-11-30,1.4183
