ticker,year,month,return,contract,start_date,start_value,end_date,end_value
PA,2001,1,0.09001515986858591,PA_2001-01,2001-01-02,964.0,2001-01-31,1054.8
PA,2001,2,-0.2063766914571427,PA_2001-02,2001-02-01,1035.0,2001-02-28,842.0
PA,2001,3,-0.10212949507637979,PA_2001-03,2001-03-01,824.0,2001-03-30,744.0
PA,2001,4,-0.059255696209093135,PA_2001-04,2001-04-02,730.0,2001-04-30,688.0
PA,2001,5,-0.05427542320240707,PA_2001-05,2001-05-01,680.5,2001-05-31,644.55
PA,2001,6,-0.06618313851027209,PA_2001-06,2001-06-01,641.0,2001-06-29,599.95
PA,2001,7,-0.2707464040879347,PA_2001-07,2001-07-02,605.0,2001-07-31,461.5
PA,2001,8,-0.018508966054959396,PA_2001-08,2001-08-01,463.5,2001-08-31,455.0
PA,2001,9,-0.23550382225426386,PA_2001-09,2001-09-04,451.8,2001-09-28,357.0
PA,2001,10,-0.026971780756979077,PA_2001-10,2001-10-01,325.05,2001-10-31,316.4
PA,2001,11,0.1007356642722831,PA_2001-11,2001-11-01,317.5,2001-11-30,351.15
PA,2001,12,0.2186892009648295,PA_2001-12,2001-12-03,360.0,2001-12-31,448.0
PA,2002,1,-0.1917619505730416,PA_2002-01,2002-01-02,447.0,2002-01-31,369.0
PA,2002,2,0.002159828053429938,PA_2002-02,2002-02-01,370.0,2002-02-28,370.8
PA,2002,3,0.06342488757921012,PA_2002-03,2002-03-01,365.0,2002-03-28,388.9
PA,2002,4,-0.09108184369480368,PA_2002-04,2002-04-01,389.4,2002-04-30,355.5
PA,2002,5,-0.00843766178583094,PA_2002-05,2002-05-01,351.1,2002-05-31,348.15
PA,2002,6,-0.0847608330307992,PA_2002-06,2002-06-03,347.0,2002-06-28,318.8
PA,2002,7,0.015616690907857084,PA_2002-07,2002-07-01,314.5,2002-07-31,319.45
PA,2002,8,0.02102736719207558,PA_2002-08,2002-08-01,320.0,2002-08-30,326.8
PA,2002,9,-0.009360442759563695,PA_2002-09,2002-09-03,322.0,2002-09-30,319.0
PA,2002,10,-0.024653336063982463,PA_2002-10,2002-10-01,318.25,2002-10-31,310.5
PA,2002,11,-0.15388211530301754,PA_2002-11,2002-11-01,310.25,2002-11-27,266.0
PA,2002,12,-0.09988335850628989,PA_2002-12,2002-12-02,263.0,2002-12-31,238.0
PA,2003,1,0.09937247381320377,PA_2003-01,2003-01-02,234.5,2003-01-31,259.0
PA,2003,2,-0.0958900038159308,PA_2003-02,2003-02-03,267.4,2003-02-28,242.95
PA,2003,3,-0.28637949796945533,PA_2003-03,2003-03-03,242.95,2003-03-31,182.45
PA,2003,4,-0.14864102401628868,PA_2003-04,2003-04-01,181.0,2003-04-30,156.0
PA,2003,5,0.1614036581322739,PA_2003-05,2003-05-01,157.0,2003-05-30,184.5
PA,2003,6,-0.025317807984289897,PA_2003-06,2003-06-02,186.0,2003-06-30,181.35
PA,2003,7,-0.010929070532190317,PA_2003-07,2003-07-01,184.0,2003-07-31,182.0
PA,2003,8,0.10269391997142394,PA_2003-08,2003-08-01,184.0,2003-08-29,203.9
PA,2003,9,0.04103504688352113,PA_2003-09,2003-09-02,206.5,2003-09-30,215.15
PA,2003,10,-0.018327301031027962,PA_2003-10,2003-10-01,212.0,2003-10-31,208.15
PA,2003,11,-0.0817551231008027,PA_2003-11,2003-11-03,207.0,2003-11-26,190.75
