ticker,year,month,return,contract,start_date,start_value,end_date,end_value
PL,2001,1,-0.011578032080947667,PL_2001-01,2001-01-02,608.1,2001-01-31,601.1
PL,2001,2,0.01486402263214934,PL_2001-02,2001-02-01,601.0,2001-02-28,610.0
PL,2001,3,-0.11346070722283295,PL_2001-03,2001-03-01,606.0,2001-03-30,541.0
PL,2001,4,0.09514212669914818,PL_2001-04,2001-04-02,541.0,2001-04-30,595.0
PL,2001,5,0.011842353391591315,PL_2001-05,2001-05-01,596.0,2001-05-31,603.1
PL,2001,6,-0.05516944292839667,PL_2001-06,2001-06-01,585.0,2001-06-29,553.6
PL,2001,7,-0.16051439224376834,PL_2001-07,2001-07-02,557.0,2001-07-31,474.4
PL,2001,8,-0.06763755164994083,PL_2001-08,2001-08-01,474.0,2001-08-31,443.0
PL,2001,9,-0.03633397470402764,PL_2001-09,2001-09-04,440.0,2001-09-28,424.3
PL,2001,10,0.004860276882252663,PL_2001-10,2001-10-01,410.5,2001-10-31,412.5
PL,2001,11,0.08424322311508148,PL_2001-11,2001-11-01,413.0,2001-11-30,449.3
PL,2001,12,0.07601303702580825,PL_2001-12,2001-12-03,449.5,2001-12-31,485.0
PL,2002,1,-0.07684534534980507,PL_2002-01,2002-01-02,484.0,2002-01-31,448.2
PL,2002,2,0.087104544980902,PL_2002-02,2002-02-01,447.2,2002-02-28,487.9
PL,2002,3,0.07545841125159342,PL_2002-03,2002-03-01,481.0,2002-03-28,518.7
PL,2002,4,0.028573372444055948,PL_2002-04,2002-04-01,517.5,2002-04-30,532.5
PL,2002,5,0.027673787545773005,PL_2002-05,2002-05-01,531.0,2002-05-31,545.9
PL,2002,6,-0.016242306101422598,PL_2002-06,2002-06-03,540.0,2002-06-28,531.3
PL,2002,7,-0.021498093638028647,PL_2002-07,2002-07-01,536.0,2002-07-31,524.6
PL,2002,8,0.08249061711409988,PL_2002-08,2002-08-01,521.0,2002-08-30,565.8
PL,2002,9,0.011748892489082828,PL_2002-09,2002-09-03,550.0,2002-09-30,556.5
