ticker,year,month,return,contract,start_date,start_value,end_date,end_value
SV,2001,1,0.037021679011925115,SV_2001-03,2001-01-02,4.64,2001-01-31,4.815
SV,2001,2,-0.07296242375631708,SV_2001-04,2001-02-01,4.832,2001-02-28,4.492
SV,2001,3,-0.051060438407921,SV_2001-05,2001-03-01,4.52,2001-03-30,4.295
SV,2001,4,0.001613461223594803,SV_2001-06,2001-04-02,4.335,2001-04-30,4.342
SV,2001,5,0.013698844358161927,SV_2001-07,2001-05-01,4.35,2001-05-31,4.41
SV,2001,6,-0.03040581701582311,SV_2001-08,2001-06-01,4.441,2001-06-29,4.308
SV,2001,7,-0.023838474006407394,SV_2001-09,2001-07-02,4.33,2001-07-31,4.228
SV,2001,8,-0.01709037561763623,SV_2001-10,2001-08-01,4.249,2001-08-31,4.177
SV,2001,9,0.11102381621676832,SV_2001-11,2001-09-04,4.173,2001-09-28,4.663
SV,2001,10,-0.1012099019315132,SV_2001-12,2001-10-01,4.675,2001-10-31,4.225
SV,2001,11,-0.019134762236931502,SV_2002-01,2001-11-01,4.221,2001-11-30,4.141
SV,2001,12,0.08231918176240338,SV_2002-02,2001-12-03,4.219,2001-12-31,4.581
SV,2002,1,-0.07787273809512536,SV_2002-03,2002-01-02,4.565,2002-01-31,4.223
SV,2002,2,0.04171048858137024,SV_2002-04,2002-02-01,4.32,2002-02-28,4.504
SV,2002,3,0.029462032730316282,SV_2002-05,2002-03-01,4.515,2002-03-28,4.65
SV,2002,4,-0.03657228962334397,SV_2002-06,2002-04-01,4.706,2002-04-30,4.537
SV,2002,5,0.10048020523943352,SV_2002-07,2002-05-01,4.56,2002-05-31,5.042
SV,2002,6,-0.05056974275124973,SV_2002-08,2002-06-03,5.09,2002-06-28,4.839
SV,2002,7,-0.054387675402298566,SV_2002-09,2002-07-01,4.855,2002-07-31,4.598
SV,2002,8,-0.03339910128208622,SV_2002-10,2002-08-01,4.597,2002-08-30,4.446
SV,2002,9,0.015321716406335548,SV_2002-11,2002-09-03,4.469,2002-09-30,4.538
SV,2002,10,-0.009939341902557776,SV_2002-12,2002-10-01,4.55,2002-10-31,4.505
SV,2002,11,-0.0183944172446458,SV_2003-01,2002-11-01,4.499,2002-11-27,4.417
SV,2002,12,0.07971310692114451,SV_2003-02,2002-12-02,4.435,2002-12-31,4.803
SV,2003,1,0.014508026489578635,SV_2003-03,2003-01-02,4.79,2003-01-31,4.86
SV,2003,2,-0.052805651940292145,SV_2003-04,2003-02-03,4.841,2003-02-28,4.592
SV,2003,3,-0.029787089166586945,SV_2003-05,2003-03-03,4.6,2003-03-31,4.465
SV,2003,4,0.043561660737242394,SV_2003-06,2003-04-01,4.447,2003-04-30,4.645
SV,2003,5,-0.028703862340594924,SV_2003-07,2003-05-01,4.665,2003-05-30,4.533
SV,2003,6,0.011015753604485309,SV_2003-08,2003-06-02,4.514,2003-06-30,4.564
SV,2003,7,0.11473592500448461,SV_2003-09,2003-07-01,4.565,2003-07-31,5.12
SV,2003,8,0.002154540055862463,SV_2003-10,2003-08-01,5.1,2003-08-29,5.111
SV,2003,9,0.026836653953559785,SV_2003-11,2003-09-02,5.0,2003-09-30,5.136
SV,2003,10,-0.0108003013507696,SV_2003-12,2003-10-01,5.12,2003-10-31,5.065
SV,2003,11,0.07647653597412446,SV_2004-01,2003-11-03,4.97,2003-11-26,5.365
SV,2003,12,0.08676719165174594,SV_2004-02,2003-12-01,5.461,2003-12-31,5.956
SV,2004,1,0.04165567526883261,SV_2004-03,2004-01-05,5.995,2004-01-30,6.25
SV,2004,2,0.10251302019034136,SV_2004-04,2004-02-02,6.049,2004-02-27,6.702
SV,2004,3,0.1681989700134784,SV_2004-05,2004-03-01,6.715,2004-03-31,7.945
SV,2004,4,-0.2935457489141885,SV_2004-06,2004-04-01,8.153,2004-04-30,6.079
SV,2004,5,-0.008961363432803618,SV_2004-07,2004-05-03,6.165,2004-05-28,6.11
SV,2004,6,-0.04762804898925459,SV_2004-08,2004-06-01,6.063,2004-06-30,5.781
SV,2004,7,0.11797360259359653,SV_2004-09,2004-07-01,5.83,2004-07-30,6.56
SV,2004,8,0.022650349937450593,SV_2004-10,2004-08-02,6.635,2004-08-31,6.787
SV,2004,9,0.01571627226451905,SV_2004-11,2004-09-01,6.818,2004-09-30,6.926
SV,2004,10,0.05269923200085105,SV_2004-12,2004-10-01,6.93,2004-10-29,7.305
SV,2004,11,0.052252670662481425,SV_2005-01,2004-11-01,7.345,2004-11-30,7.739
