ticker,year,month,return,contract,start_date,start_value,end_date,end_value
CO,1999,1,-0.027983539094650234,CO_1999-02,1999-01-04,12.15,1999-01-20,11.81
CO,1999,2,-0.06562499999999993,CO_1999-03,1999-02-01,12.8,1999-02-22,11.96
CO,1999,3,0.25506072874493935,CO_1999-04,1999-03-01,12.35,1999-03-22,15.5
CO,1999,4,0.08414634146341471,CO_1999-05,1999-04-01,16.4,1999-04-20,17.78
CO,1999,5,-0.07945945945945943,CO_1999-06,1999-05-03,18.5,1999-05-20,17.03
CO,1999,6,0.04821428571428554,CO_1999-07,1999-06-01,16.8,1999-06-22,17.61
CO,1999,7,0.001033591731266048,CO_1999-08,1999-07-01,19.35,1999-07-20,19.37
CO,1999,8,0.07107843137254921,CO_1999-09,1999-08-02,20.4,1999-08-23,21.85
CO,1999,9,0.10628674807779293,CO_1999-10,1999-09-01,22.11,1999-09-21,24.46
CO,1999,10,-0.09202453987730064,CO_1999-11,1999-10-01,24.45,1999-10-20,22.2
CO,1999,11,0.19545454545454555,CO_1999-12,1999-11-01,22.0,1999-11-22,26.3
CO,1999,12,0.0775477060495331,CO_2000-01,1999-12-01,24.63,1999-12-21,26.54
CO,2000,1,0.16313725490196074,CO_2000-02,2000-01-04,25.5,2000-01-20,29.66
CO,2000,2,0.0647016534867002,CO_2000-03,2000-02-01,27.82,2000-02-22,29.62
CO,2000,3,-0.08166612003935714,CO_2000-04,2000-03-01,30.49,2000-03-21,28.0
CO,2000,4,0.03637741568776054,CO_2000-05,2000-04-03,26.39,2000-04-19,27.35
CO,2000,5,0.11149961149961163,CO_2000-06,2000-05-01,25.74,2000-05-22,28.61
CO,2000,6,0.1396551724137931,CO_2000-07,2000-06-01,29.0,2000-06-20,33.05
CO,2000,7,-0.007062600321027235,CO_2000-08,2000-07-05,31.15,2000-07-20,30.93
CO,2000,8,0.14108187134502925,CO_2000-09,2000-08-01,27.36,2000-08-22,31.22
CO,2000,9,0.12727272727272743,CO_2000-10,2000-09-01,33.0,2000-09-20,37.2
CO,2000,10,0.08976428802066527,CO_2000-11,2000-10-02,30.97,2000-10-20,33.75
CO,2000,11,0.08442948914041004,CO_2000-12,2000-11-01,32.69,2000-11-17,35.45
