ticker,year,month,return,contract,start_date,start_value,end_date,end_value
CW,1999,1,-0.003616636528028905,CW_1999-03,1999-01-04,276.5,1999-01-29,275.5
CW,1999,2,-0.13412408759124084,CW_1999-03,1999-02-01,274.0,1999-02-26,237.25
CW,1999,3,0.12212212212212203,CW_1999-05,1999-03-01,249.75,1999-03-31,280.25
CW,1999,4,-0.07582515611061558,CW_1999-05,1999-04-01,280.25,1999-04-30,259.0
CW,1999,5,-0.057889822595704965,CW_1999-07,1999-05-03,267.75,1999-05-28,252.25
CW,1999,6,-0.008919722497522264,CW_1999-07,1999-06-01,252.25,1999-06-30,250.0
CW,1999,7,-0.004716981132075526,CW_1999-09,1999-07-01,265.0,1999-07-30,263.75
CW,1999,8,0.0028409090909091717,CW_1999-09,1999-08-02,264.0,1999-08-31,264.75
CW,1999,10,-0.07336956521739135,CW_1999-12,1999-10-01,276.0,1999-10-29,255.75
CW,1999,11,-0.08716944172380015,CW_1999-12,1999-11-01,255.25,1999-11-30,233.0
CW,2000,1,0.029116465863453733,CW_2000-03,2000-01-03,249.0,2000-01-31,256.25
CW,2000,2,-0.03515625,CW_2000-03,2000-02-01,256.0,2000-02-29,247.0
CW,2000,3,0.012548262548262468,CW_2000-05,2000-03-01,259.0,2000-03-31,262.25
CW,2000,4,-0.07802093244529018,CW_2000-05,2000-04-03,262.75,2000-04-28,242.25
CW,2000,5,0.06699029126213585,CW_2000-07,2000-05-01,257.5,2000-05-31,274.75
CW,2000,6,-0.061482820976491825,CW_2000-07,2000-06-01,276.5,2000-06-30,259.5
CW,2000,7,-0.093836246550138,CW_2000-09,2000-07-03,271.75,2000-07-31,246.25
CW,2000,8,0.018274111675126825,CW_2000-09,2000-08-01,246.25,2000-08-31,250.75
CW,2000,10,-0.054730983302411884,CW_2000-12,2000-10-02,269.5,2000-10-31,254.75
CW,2000,11,0.0039215686274509665,CW_2000-12,2000-11-01,255.0,2000-11-30,256.0
CW,2001,1,-0.025000000000000022,CW_2001-03,2001-01-02,280.0,2001-01-31,273.0
CW,2001,2,-0.02752293577981646,CW_2001-03,2001-02-01,272.5,2001-02-28,265.0
CW,2001,3,-0.08438061041292644,CW_2001-05,2001-03-01,278.5,2001-03-30,255.0
CW,2001,4,0.06128404669260701,CW_2001-05,2001-04-02,257.0,2001-04-30,272.75
CW,2001,5,-0.059859154929577496,CW_2001-07,2001-05-01,284.0,2001-05-31,267.0
CW,2001,6,-0.08611111111111114,CW_2001-07,2001-06-01,270.0,2001-06-29,246.75
CW,2001,7,0.08155339805825235,CW_2001-09,2001-07-02,257.5,2001-07-31,278.5
