ticker,year,month,return,contract,start_date,start_value,end_date,end_value
SU,1999,1,-0.09999999999999998,SU_1999-03,1999-01-04,7.9,1999-01-29,7.11
SU,1999,2,-0.10325318246110327,SU_1999-03,1999-02-01,7.07,1999-02-26,6.34
SU,1999,3,-0.04983922829581988,SU_1999-05,1999-03-01,6.22,1999-03-31,5.91
SU,1999,4,-0.07130434782608697,SU_1999-05,1999-04-01,5.75,1999-04-30,5.34
SU,1999,5,0.14155251141552516,SU_1999-07,1999-05-03,4.38,1999-05-28,5.0
SU,1999,6,0.10671936758893286,SU_1999-07,1999-06-01,5.06,1999-06-30,5.6
SU,1999,8,0.14046822742474907,SU_1999-10,1999-08-02,5.98,1999-08-31,6.82
SU,1999,9,0.04484304932735417,SU_1999-10,1999-09-01,6.69,1999-09-30,6.99
SU,2000,1,-0.11869918699186999,SU_2000-03,2000-01-03,6.15,2000-01-31,5.42
SU,2000,2,-0.12264150943396213,SU_2000-03,2000-02-01,5.3,2000-02-29,4.65
SU,2000,3,0.18473895582329325,SU_2000-05,2000-03-01,4.98,2000-03-31,5.9
SU,2000,4,-0.12244897959183665,SU_2000-05,2000-04-03,5.88,2000-04-28,5.16
SU,2000,5,0.15975422427035335,SU_2000-07,2000-05-01,6.51,2000-05-31,7.55
SU,2000,6,0.12285336856010565,SU_2000-07,2000-06-01,7.57,2000-06-30,8.5
SU,2000,8,0.01343570057581589,SU_2000-10,2000-08-01,10.42,2000-08-31,10.56
SU,2000,9,-0.08003766478342744,SU_2000-10,2000-09-01,10.62,2000-09-29,9.77
SU,2001,1,-0.032101167315175094,SU_2001-03,2001-01-02,10.28,2001-01-31,9.95
SU,2001,2,-0.06357214934409694,SU_2001-03,2001-02-01,9.91,2001-02-28,9.28
SU,2001,3,-0.1464757709251101,SU_2001-05,2001-03-01,9.08,2001-03-30,7.75
SU,2001,4,0.19496855345911945,SU_2001-05,2001-04-02,7.95,2001-04-30,9.5
SU,2001,5,0.010638297872340496,SU_2001-07,2001-05-01,8.46,2001-05-31,8.55
SU,2001,6,0.10867052023121371,SU_2001-07,2001-06-01,8.65,2001-06-29,9.59
SU,2001,8,-0.00877192982456143,SU_2001-10,2001-08-01,7.98,2001-08-31,7.91
SU,2001,9,-0.1529709228824273,SU_2001-10,2001-09-04,7.91,2001-09-28,6.7
SU,2002,1,-0.13783783783783787,SU_2002-03,2002-01-02,7.4,2002-01-31,6.38
SU,2002,2,-0.05371248025276454,SU_2002-03,2002-02-01,6.33,2002-02-28,5.99
SU,2002,3,0.024179620034542326,SU_2002-05,2002-03-01,5.79,2002-03-28,5.93
SU,2002,4,-0.03236797274275982,SU_2002-05,2002-04-01,5.87,2002-04-30,5.68
SU,2002,5,0.10280373831775713,SU_2002-07,2002-05-01,5.35,2002-05-31,5.9
SU,2002,6,0.006814310051107331,SU_2002-07,2002-06-03,5.87,2002-06-28,5.91
SU,2002,8,0.04912280701754401,SU_2002-10,2002-08-01,5.7,2002-08-30,5.98
SU,2002,9,0.1502504173622703,SU_2002-10,2002-09-03,5.99,2002-09-30,6.89
SU,2002,11,0.010624169986719778,SU_2003-01,2002-11-01,7.53,2002-11-27,7.61
SU,2002,12,-0.0662420382165605,SU_2003-01,2002-12-02,7.85,2002-12-31,7.33
SU,2003,1,0.12941176470588234,SU_2003-03,2003-01-02,7.65,2003-01-31,8.64
SU,2003,2,0.03009259259259256,SU_2003-03,2003-02-03,8.64,2003-02-28,8.9
SU,2003,3,-0.09753231492361925,SU_2003-05,2003-03-03,8.51,2003-03-31,7.68
