Date,open,high,low,close,volume
1997-08-20,1726,1726,1726,1726,0
1997-08-21,1775,1775,1775,1775,0
1997-08-22,1755,1755,1755,1755,0
1997-08-25,1772,1772,1772,1772,0
1997-08-26,1807,1807,1807,1807,0
1997-08-27,1811,1811,1811,1811,0
1997-08-28,1875,1875,1875,1875,0
1997-08-29,1857,1857,1857,1857,0
1997-09-02,1858,1858,1858,1858,0
1997-09-03,1842,1842,1842,1842,0
1997-09-04,1864,1864,1864,1864,0
1997-09-05,1822,1822,1822,1822,0
1997-09-08,1814,1814,1814,1814,0
1997-09-09,1819,1819,1819,1819,0
1997-09-10,1824,1824,1824,1824,0
1997-09-11,1779,1779,1779,1779,0
1997-09-12,1801,1801,1801,1801,0
1997-09-15,1810,1810,1810,1810,0
1997-09-16,1858,1858,1858,1858,0
1997-09-17,1832,1832,1832,1832,0
1997-09-18,1844,1844,1844,1844,0
1997-09-19,1813,1813,1813,1813,0
1997-09-22,1810,1810,1810,1810,0
1997-09-23,1817,1817,1817,1817,0
1997-09-24,1840,1840,1840,1840,0
1997-09-25,1854,1854,1854,1854,0
1997-09-26,1823,1823,1823,1823,0
1997-09-29,1837,1837,1837,1837,0
1997-09-30,1836,1836,1836,1836,0
1997-10-01,1815,1850,1815,1825,0
1997-10-02,1818,1818,1818,1818,0
1997-10-03,1822,1822,1822,1822,0
1997-10-06,1839,1839,1839,1839,0
1997-10-07,1830,1872,1830,1872,0
1997-10-08,1854,1854,1854,1854,0
1997-10-09,1839,1839,1839,1839,0
1997-10-10,1826,1826,1826,1826,0
1997-10-13,1829,1829,1829,1829,0
1997-10-14,1798,1798,1798,1798,0
1997-10-15,1802,1802,1802,1802,0
1997-10-16,1791,1791,1791,1791,0
1997-10-17,1805,1805,1805,1805,0
1997-10-20,1802,1802,1802,1802,0
1997-10-21,1768,1768,1768,1768,0
1997-10-22,1760,1760,1760,1760,0
1997-10-23,1768,1768,1768,1768,0
1997-10-24,1749,1749,1749,1749,0
1997-10-27,1747,1747,1747,1747,0
1997-10-28,1767,1767,1767,1767,0
1997-10-29,1767,1767,1767,1767,0
1997-10-30,1755,1759,1755,1759,0
1997-10-31,1774,1774,1774,1774,0
1997-11-03,1758,1758,1758,1758,0
1997-11-04,1774,1774,1774,1774,0
1997-11-05,1796,1796,1796,1796,0
1997-11-06,1793,1793,1793,1793,0
1997-11-07,1795,1795,1795,1795,0
1997-11-10,1806,1806,1806,1806,0
1997-11-11,1803,1803,1803,1803,0
1997-11-12,1797,1797,1797,1797,0
1997-11-13,1791,1791,1791,1791,0
1997-11-14,1773,1773,1773,1773,0
1997-11-17,1756,1756,1756,1756,0
1997-11-18,1732,1732,1732,1732,0
1997-11-19,1746,1746,1746,1746,0
1997-11-20,1737,1737,1737,1737,0
1997-11-21,1721,1721,1721,1721,0
1997-11-24,1714,1714,1714,1714,0
1997-11-25,1717,1717,1717,1717,0
1997-11-26,1721,1721,1721,1721,0
1997-12-01,1696,1696,1696,1696,0
1997-12-02,1715,1715,1715,1715,0
1997-12-03,1712,1726,1712,1726,0
1997-12-04,1717,1717,1717,1717,0
1997-12-05,1738,1738,1738,1738,0
1997-12-08,1765,1765,1765,1765,0
1997-12-09,1755,1755,1755,1755,0
1997-12-10,1807,1807,1807,1807,0
1997-12-11,1873,1873,1873,1873,0
1997-12-12,1893,1893,1893,1893,0
1997-12-15,1898,1898,1898,1898,0
1997-12-16,1873,1885,1844,1844,0
1997-12-17,1830,1830,1830,1830,0
1997-12-18,1834,1834,1834,1834,0
1997-12-19,1845,1845,1845,1845,0
1997-12-22,1799,1799,1799,1799,0
1997-12-23,1823,1823,1823,1823,0
1997-12-24,1813,1813,1813,1813,0
1997-12-29,1795,1795,1795,1795,0
1997-12-30,1808,1808,1808,1808,0
1997-12-31,1796,1796,1796,1796,0
1998-01-05,1770,1770,1770,1770,0
1998-01-06,1767,1767,1764,1764,0
1998-01-07,1789,1789,1789,1789,0
1998-01-08,1771,1771,1771,1771,0
