Date,open,high,low,close,volume
2024-01-02,188.65,192.55,188.65,190.15,28911
2024-01-03,190.75,191.05,184.8,186.25,29074
2024-01-04,186.85,187.6,185.05,185.55,21476
2024-01-05,185.85,187.55,182.05,182.8,36245
2024-01-08,181.7,183.7,179.5,181.4,38646
2024-01-09,183.95,186.75,182.75,184.1,36083
2024-01-10,184.3,184.8,180.4,181.15,45522
2024-01-11,182.25,187.95,180.95,184.05,58563
2024-01-12,183.5,186.85,179.0,180.0,58563
2024-01-16,182.0,187.1,181.55,185.25,44513
2024-01-17,184.9,185.15,178.35,179.2,42044
2024-01-18,180.5,182.35,175.55,179.95,47803
2024-01-19,182.0,186.15,181.65,185.15,38166
2024-01-22,184.45,193.15,183.5,192.25,56499
2024-01-23,192.25,194.5,188.6,192.95,57250
2024-01-24,193.8,195.75,188.1,189.45,58079
2024-01-25,189.95,190.5,184.35,186.95,50729
2024-01-26,187.2,194.8,186.0,193.85,46965
2024-01-29,192.85,194.35,188.65,189.25,42943
2024-01-30,190.1,197.45,189.05,194.0,59249
2024-01-31,194.0,195.55,192.05,194.05,49397
2024-02-01,190.25,192.0,187.9,190.95,64771
2024-02-02,191.0,191.7,187.65,189.0,51408
2024-02-05,187.5,189.35,185.7,186.7,44496
2024-02-06,186.1,186.35,183.15,185.1,59764
2024-02-07,186.3,188.65,185.65,187.85,87718
2024-02-08,186.65,187.5,185.35,185.85,90066
2024-02-09,186.85,192.1,186.55,191.5,101494
2024-02-12,190.5,194.05,187.75,191.15,63415
2024-02-13,190.65,192.3,186.6,188.05,51480
2024-02-14,186.5,186.5,182.1,182.8,59085
2024-02-15,183.55,186.45,182.85,185.15,42498
2024-02-16,186.0,187.65,183.8,186.7,42498
2024-02-20,187.2,190.2,184.5,186.25,53897
2024-02-21,187.05,188.85,185.55,188.1,24708
2024-02-22,186.05,188.65,182.8,183.15,31973
2024-02-23,183.15,183.8,179.5,180.3,38649
2024-02-26,180.5,182.45,179.25,179.6,25751
2024-02-27,180.0,184.6,177.5,183.05,43146
2024-02-28,182.4,183.5,180.4,181.75,24265
2024-02-29,181.1,185.7,180.25,184.35,36385
2024-03-01,184.85,185.35,180.45,183.3,38155
2024-03-04,183.5,189.6,183.45,186.9,48087
2024-03-05,186.8,188.9,183.0,183.35,45114
2024-03-06,183.9,187.2,182.7,186.3,30220
2024-03-07,186.7,194.75,184.75,192.2,66355
2024-03-08,190.15,190.8,184.3,185.2,58554
2024-03-11,185.0,185.95,182.25,185.0,37574
2024-03-12,185.1,187.9,184.3,185.9,30809
2024-03-13,186.25,187.15,181.45,182.65,38473
2024-03-14,183.0,184.2,181.25,183.85,36431
2024-03-15,183.95,185.1,182.05,182.95,32401
2024-03-18,182.75,186.15,181.4,181.75,36346
2024-03-19,181.25,183.35,179.35,183.05,42753
2024-03-20,182.65,184.4,181.65,182.4,37471
2024-03-21,183.85,188.4,183.05,185.7,48753
2024-03-22,186.0,188.2,184.55,184.85,57600
2024-03-25,185.15,186.25,183.35,185.65,47342
2024-03-26,185.65,189.45,185.3,188.05,54225
2024-03-27,188.05,192.5,187.15,190.65,76447
2024-03-28,191.05,191.2,187.55,188.85,47809
2024-04-01,188.0,192.7,187.7,191.8,49773
2024-04-02,190.95,198.4,190.75,197.75,97887
2024-04-03,195.5,206.15,195.5,202.8,105032
2024-04-04,205.45,206.9,201.6,205.8,79578
2024-04-05,204.3,212.2,203.2,211.0,112557
2024-04-08,210.15,213.8,207.85,209.45,114598
2024-04-09,208.15,212.8,208.05,211.85,105882
2024-04-10,211.85,213.9,209.7,212.65,76613
2024-04-11,212.95,218.9,212.0,217.35,83690
2024-04-12,218.35,229.75,215.25,220.45,121829
2024-04-15,216.9,230.55,214.8,226.85,82231
2024-04-16,230.6,232.5,225.55,228.4,88008
2024-04-17,228.0,241.7,227.75,240.35,73074
2024-04-18,244.0,245.4,230.45,231.1,62024
