Date,open,high,low,close,volume
2011-01-03,91.31,92.57,91.21,91.55,459184
2011-01-04,91.5,92.07,88.36,89.38,826067
2011-01-05,89.29,90.84,88.1,90.3,911745
2011-01-06,90.47,90.71,87.85,88.38,1076851
2011-01-07,88.18,89.48,87.25,88.03,1098125
2011-01-10,89.0,89.98,88.13,89.25,953400
2011-01-11,89.31,91.39,88.93,91.11,1007431
2011-01-12,92.35,93.46,91.89,92.87,933343
2011-01-13,92.98,93.27,91.83,92.3,940851
2011-01-14,92.07,92.67,91.17,92.57,903578
2011-01-18,92.55,92.89,91.46,92.31,707567
2011-01-19,92.2,93.02,91.46,91.81,683893
2011-01-20,91.63,91.8,88.9,89.59,929563
2011-01-21,89.45,90.22,88.87,89.11,649585
2011-01-24,89.26,89.63,87.27,87.87,839683
2011-01-25,87.7,87.85,86.12,86.19,723309
2011-01-26,86.23,87.78,86.03,87.33,789077
2011-01-27,87.55,87.66,85.42,85.64,1009715
2011-01-28,85.28,89.73,85.11,89.34,1472088
2011-01-31,89.97,92.84,88.4,92.19,1007145
2011-02-01,92.2,92.45,90.44,90.77,919766
2011-02-02,90.51,91.78,90.1,90.86,798486
2011-02-03,90.93,92.05,90.0,90.54,682075
2011-02-04,90.63,91.67,88.45,89.03,783001
2011-02-07,89.06,89.54,87.18,87.48,723152
2011-02-08,87.41,88.11,85.88,86.94,1006455
2011-02-09,87.35,87.95,86.36,86.71,985397
2011-02-10,86.93,87.9,85.96,86.73,1130654
2011-02-11,87.7,87.77,85.1,85.58,959387
2011-02-14,85.5,86.52,84.58,84.81,897007
2011-02-15,88.7,89.57,87.1,87.57,871147
2011-02-16,87.75,88.77,87.09,87.84,942065
2011-02-17,88.12,89.25,87.35,88.84,976236
2011-02-18,89.0,90.96,88.43,89.71,952938
2011-02-22,90.04,98.48,89.77,95.42,1397751
2011-02-23,95.68,100.0,95.14,98.1,1278653
2011-02-24,98.97,103.41,95.62,97.28,1166965
2011-02-25,96.63,99.2,96.17,97.88,672386
2011-02-28,98.5,99.96,96.71,96.97,574252
2011-03-01,96.97,100.69,96.37,99.63,739473
2011-03-02,100.48,102.5,99.21,102.23,942468
2011-03-03,102.39,102.94,100.15,101.91,770794
2011-03-04,101.7,105.17,101.54,104.42,865400
2011-03-07,104.65,106.95,104.25,105.44,902351
2011-03-08,104.85,105.79,103.33,105.02,959285
2011-03-09,104.96,105.92,103.9,104.38,817738
2011-03-10,104.45,105.06,100.62,102.7,929247
2011-03-11,102.64,103.0,99.01,101.16,744460
2011-03-14,100.31,101.6,98.47,101.19,565955
2011-03-15,101.86,101.87,96.71,97.18,873024
2011-03-16,98.06,100.57,97.02,98.95,816508
2011-03-17,99.09,102.96,97.62,102.39,597378
2011-03-18,102.8,104.54,101.01,101.85,675773
2011-03-21,103.02,104.27,102.6,103.09,499436
2011-03-22,102.74,105.18,102.1,104.97,510451
2011-03-23,104.85,106.34,104.38,105.75,519675
2011-03-24,105.52,106.69,104.76,105.6,537199
2011-03-25,105.46,105.95,104.5,105.4,433173
2011-03-28,105.43,105.76,103.6,103.98,386621
2011-03-29,103.94,105.0,102.7,104.79,448466
2011-03-30,104.45,105.15,103.44,104.27,559992
2011-03-31,104.31,106.83,104.12,106.72,546886
2011-04-01,106.62,108.46,106.3,107.94,554646
2011-04-04,108.29,108.78,107.58,108.47,451313
2011-04-05,108.2,108.6,107.5,108.34,523365
2011-04-06,107.99,109.15,107.72,108.83,522046
2011-04-07,108.67,110.44,108.23,110.3,696794
2011-04-08,110.32,113.18,110.11,112.79,719115
2011-04-11,113.28,113.46,108.88,109.92,747902
2011-04-12,108.97,110.24,105.47,106.25,1085755
2011-04-13,106.02,107.43,105.31,107.11,1031639
2011-04-14,107.94,109.14,106.43,108.7,794369
2011-04-15,109.09,110.67,107.77,110.22,578026
2011-04-18,110.05,110.06,107.1,107.69,574331
2011-04-19,108.06,109.1,106.01,108.28,519935
2011-04-20,108.45,111.66,107.96,111.45,520703
2011-04-21,111.37,112.48,111.0,112.29,420991
2011-04-25,112.34,113.48,111.08,112.28,346707
2011-04-26,112.15,112.64,111.12,112.21,448963
2011-04-27,111.89,113.4,110.71,112.76,609202
2011-04-28,113.13,113.97,111.69,112.86,536591
2011-04-29,112.82,114.18,112.25,113.93,366674
2011-05-02,113.89,114.83,110.82,113.52,499312
2011-05-03,112.98,113.22,110.31,111.05,529239
2011-05-04,110.68,111.22,108.48,109.24,610259
2011-05-05,108.78,109.38,98.25,99.8,1131202
2011-05-06,99.76,102.38,94.63,97.18,1055664
2011-05-09,98.11,103.4,97.42,102.55,909483
2011-05-10,102.44,103.95,100.12,103.88,819697
2011-05-11,103.69,104.6,97.5,98.21,1015422
2011-05-12,98.59,100.49,95.25,98.97,978223
2011-05-13,98.81,100.7,97.09,99.65,653297
2011-05-16,99.96,100.12,97.33,97.85,678592
2011-05-17,97.58,98.33,95.55,97.43,845336
2011-05-18,98.18,101.42,97.97,100.56,803153
2011-05-19,100.23,101.24,98.63,98.93,618965
2011-05-20,99.06,100.42,96.35,100.1,603035
2011-05-23,99.68,100.04,96.37,97.7,491529
2011-05-24,97.54,100.08,96.61,99.59,569773
2011-05-25,99.27,101.63,98.2,101.32,604850
2011-05-26,101.24,101.9,99.62,100.23,678008
2011-05-27,100.16,101.24,100.04,100.59,414308
2011-05-31,100.69,103.39,99.6,102.7,580479
2011-06-01,102.68,103.31,99.63,100.29,655628
2011-06-02,99.79,100.93,98.46,100.4,785925
2011-06-03,100.87,100.87,98.12,100.22,695622
2011-06-06,100.42,100.68,98.55,99.01,509468
2011-06-07,98.82,99.75,97.74,99.09,862816
2011-06-08,99.58,101.89,98.02,100.74,1052718
2011-06-09,100.83,102.44,100.74,101.93,839094
2011-06-10,101.84,102.15,98.6,99.29,816977
2011-06-13,98.77,99.32,96.13,97.3,816715
2011-06-14,97.09,99.64,96.51,99.37,741412
2011-06-15,99.68,99.95,94.02,94.81,1047627
