Date,open,high,low,close,volume
2013-01-02,3.651,3.759,3.644,3.736,55729
2013-01-03,3.7315,3.759,3.69,3.717,49808
2013-01-04,3.6935,3.707,3.671,3.6935,49389
2013-01-07,3.7035,3.7135,3.6525,3.678,46671
2013-01-08,3.684,3.6915,3.66,3.672,51503
2013-01-09,3.6795,3.7075,3.6645,3.6705,49055
2013-01-10,3.671,3.718,3.666,3.709,51326
2013-01-11,3.7135,3.718,3.652,3.654,50525
2013-01-14,3.6595,3.689,3.633,3.634,61895
2013-01-15,3.6445,3.651,3.606,3.6375,56882
2013-01-16,3.6395,3.6455,3.5995,3.6065,50595
2013-01-17,3.617,3.667,3.601,3.662,63522
2013-01-18,3.6585,3.6975,3.655,3.679,45051
2013-01-22,3.684,3.7075,3.662,3.705,68405
2013-01-23,3.705,3.7115,3.6765,3.6845,49348
2013-01-24,3.6725,3.6965,3.661,3.6765,45574
2013-01-25,3.6725,3.6995,3.6405,3.652,54312
2013-01-28,3.656,3.677,3.6445,3.6615,45367
2013-01-29,3.6585,3.694,3.6525,3.6915,56008
2013-01-30,3.69,3.756,3.6835,3.75,73529
2013-01-31,3.7475,3.7725,3.717,3.732,89122
2013-02-01,3.7375,3.786,3.72,3.7845,69254
2013-02-04,3.7845,3.7925,3.762,3.7685,55004
2013-02-05,3.768,3.782,3.757,3.77,51833
2013-02-06,3.774,3.783,3.731,3.7405,51553
2013-02-07,3.75,3.7575,3.721,3.727,74138
2013-02-08,3.7305,3.7745,3.7265,3.7595,71327
2013-02-11,3.7625,3.769,3.708,3.7225,64833
2013-02-12,3.7265,3.7485,3.7095,3.744,65841
2013-02-13,3.747,3.762,3.726,3.7425,81074
2013-02-14,3.741,3.7515,3.7275,3.7375,61662
2013-02-15,3.742,3.753,3.719,3.737,74327
2013-02-19,3.744,3.7465,3.6445,3.6495,117069
2013-02-20,3.6745,3.6865,3.609,3.625,111323
2013-02-21,3.6195,3.625,3.5535,3.5695,128326
2013-02-22,3.578,3.606,3.542,3.5505,106145
2013-02-25,3.56,3.5905,3.538,3.561,108597
2013-02-26,3.5435,3.594,3.5335,3.583,112265
2013-02-27,3.5895,3.595,3.564,3.567,72305
2013-02-28,3.578,3.602,3.5445,3.5475,70709
2013-03-01,3.553,3.558,3.4725,3.501,80970
2013-03-04,3.502,3.5265,3.4825,3.5015,63443
2013-03-05,3.52,3.5445,3.5145,3.515,50318
2013-03-06,3.5215,3.5415,3.487,3.493,55101
2013-03-07,3.505,3.5345,3.4925,3.5205,45135
2013-03-08,3.518,3.534,3.499,3.509,52148
2013-03-11,3.508,3.5225,3.475,3.517,57093
2013-03-12,3.52,3.576,3.5,3.5545,72394
2013-03-13,3.549,3.567,3.5215,3.525,54255
2013-03-14,3.5295,3.5495,3.5115,3.5365,50036
2013-03-15,3.5345,3.56,3.515,3.5205,56052
2013-03-18,3.509,3.51,3.41,3.428,87703
2013-03-19,3.4135,3.441,3.388,3.4055,65562
2013-03-20,3.392,3.4535,3.3905,3.4465,53297
2013-03-21,3.438,3.495,3.421,3.435,68481
2013-03-22,3.443,3.477,3.432,3.466,49100
2013-03-25,3.4655,3.4865,3.4385,3.445,58116
2013-03-26,3.452,3.4765,3.4385,3.4425,53209
2013-03-27,3.452,3.46,3.4245,3.4435,61123
2013-03-28,3.4565,3.462,3.3965,3.402,65196
2013-04-01,3.4,3.403,3.34,3.3745,43516
2013-04-02,3.369,3.3855,3.3585,3.3785,63432
2013-04-03,3.373,3.386,3.32,3.333,79587
2013-04-04,3.3265,3.3725,3.306,3.3515,78254
2013-04-05,3.3515,3.37,3.33,3.344,66886
2013-04-08,3.3415,3.394,3.339,3.371,75747
2013-04-09,3.3735,3.4525,3.3735,3.4415,96382
2013-04-10,3.432,3.4435,3.402,3.418,78889
2013-04-11,3.4175,3.442,3.3885,3.4335,87480
2013-04-12,3.4325,3.433,3.327,3.35,91445
2013-04-15,3.343,3.354,3.1935,3.273,172794
2013-04-16,3.273,3.3085,3.223,3.3055,114375
2013-04-17,3.306,3.3155,3.1735,3.1875,147508
2013-04-18,3.1765,3.2115,3.06,3.2045,155863
2013-04-19,3.205,3.205,3.11,3.1485,133569
2013-04-22,3.1465,3.165,3.082,3.131,130896
2013-04-23,3.128,3.132,3.057,3.093,148526
2013-04-24,3.099,3.1995,3.0875,3.165,117678
2013-04-25,3.1715,3.2655,3.16,3.2425,133022
2013-04-26,3.2545,3.289,3.177,3.186,121863
2013-04-29,3.178,3.242,3.1555,3.2265,62816
2013-04-30,3.2235,3.2475,3.172,3.1875,61896
2013-05-01,3.1895,3.196,3.0425,3.08,68244
2013-05-02,3.066,3.1375,3.066,3.1045,85601
2013-05-03,3.1095,3.317,3.106,3.3145,133332
2013-05-06,3.3005,3.33,3.28,3.3105,49221
2013-05-07,3.297,3.3475,3.263,3.3025,93165
2013-05-08,3.3045,3.399,3.291,3.3705,90987
2013-05-09,3.366,3.3785,3.315,3.3405,72522
2013-05-10,3.335,3.3855,3.304,3.353,85799
2013-05-13,3.375,3.3805,3.3375,3.3595,55342
2013-05-14,3.353,3.379,3.275,3.288,68152
2013-05-15,3.293,3.3115,3.224,3.265,76843
2013-05-16,3.278,3.313,3.2315,3.2945,83038
2013-05-17,3.2865,3.3455,3.2805,3.323,60938
2013-05-20,3.3175,3.3725,3.271,3.36,69730
