Date,open,high,low,close,volume
1997-04-15,75.35,75.35,75.35,75.35,0
1997-04-16,75.3,75.3,75.3,75.3,0
1997-04-17,75.1,75.1,75.1,75.1,0
1997-04-18,75.1,75.5,75.1,75.1,0
1997-04-21,75.25,76.0,75.12,75.12,0
1997-04-22,75.0,75.5,75.0,75.12,0
1997-04-23,75.2,75.2,75.2,75.2,0
1997-04-24,75.25,75.75,75.25,75.25,0
1997-04-25,75.35,75.8,75.35,75.35,0
1997-04-28,75.2,76.0,75.2,75.4,0
1997-04-29,75.5,76.5,75.3,75.3,0
1997-04-30,75.3,75.85,75.3,75.85,0
1997-05-01,75.7,75.7,75.7,75.7,0
1997-05-02,75.0,75.38,75.0,75.35,0
1997-05-05,75.0,75.35,75.0,75.15,0
1997-05-06,75.15,75.35,74.75,74.75,0
1997-05-07,74.75,74.75,74.75,74.75,0
1997-05-08,74.75,75.0,74.75,74.8,0
1997-05-09,74.85,74.85,74.85,74.85,0
1997-05-12,75.23,75.23,75.23,75.23,0
1997-05-13,75.05,75.35,74.95,74.95,0
1997-05-14,74.75,75.2,74.75,74.85,0
1997-05-15,75.15,75.15,75.15,75.15,0
1997-05-16,75.0,75.55,75.0,75.1,0
1997-05-19,74.9,75.3,74.85,74.85,0
1997-05-20,74.85,75.3,74.85,74.9,0
1997-05-21,75.1,75.25,74.9,74.9,0
1997-05-22,75.0,75.5,75.0,75.15,0
1997-05-23,74.9,75.25,74.9,75.05,0
1997-05-27,74.85,75.5,74.85,75.1,0
1997-05-28,74.9,75.53,74.9,75.53,0
1997-05-29,75.3,75.8,75.3,75.8,0
1997-05-30,75.5,76.5,75.17,75.17,0
1997-06-02,75.0,75.83,75.0,75.83,0
1997-06-03,75.6,75.9,75.6,75.9,0
1997-06-04,75.75,76.5,75.65,75.65,0
1997-06-05,75.65,76.25,75.65,75.7,0
1997-06-06,75.2,75.2,75.2,75.2,0
1997-06-09,74.93,74.93,74.93,74.93,0
1997-06-10,75.05,75.05,75.05,75.05,0
1997-06-11,75.25,76.05,75.25,76.05,0
1997-06-12,76.0,76.25,76.0,76.1,0
1997-06-13,75.9,75.9,75.9,75.9,0
1997-06-16,74.87,74.87,74.87,74.87,0
1997-06-17,75.4,75.4,75.4,75.4,0
1997-06-18,75.4,75.4,75.4,75.4,0
1997-06-19,75.5,75.5,75.5,75.5,0
1997-06-20,75.58,75.58,75.58,75.58,0
1997-06-23,75.5,76.0,75.4,75.4,0
1997-06-24,76.85,76.85,76.85,76.85,0
1997-06-25,76.6,77.35,76.6,77.35,0
1997-06-26,76.5,77.5,76.5,77.0,0
1997-06-27,77.1,77.1,77.1,77.1,0
1997-06-30,76.9,77.25,76.9,77.0,0
1997-07-01,76.9,77.2,76.8,76.8,0
1997-07-02,76.4,77.0,76.4,76.45,0
1997-07-03,76.4,76.8,75.7,75.7,0
1997-07-07,75.9,76.1,74.75,74.75,0
1997-07-08,73.85,73.85,73.85,73.85,0
1997-07-09,75.03,75.03,75.03,75.03,0
1997-07-10,74.85,74.85,74.73,74.73,0
1997-07-11,74.53,74.53,74.53,74.53,0
1997-07-14,74.5,75.0,74.5,74.53,0
1997-07-15,74.5,74.9,74.5,74.9,0
1997-07-16,75.1,75.3,74.9,74.9,0
1997-07-17,75.0,75.3,75.0,75.3,0
1997-07-18,75.6,75.9,75.3,75.3,0
1997-07-21,75.0,75.0,75.0,75.0,0
1997-07-22,75.3,75.8,75.0,75.0,0
1997-07-23,74.6,75.1,74.6,75.1,0
1997-07-24,75.8,75.8,75.8,75.8,0
1997-07-25,75.5,75.9,75.5,75.7,0
1997-07-28,75.4,76.0,75.25,75.25,0
1997-07-29,75.1,75.55,75.1,75.55,0
1997-07-30,75.5,75.7,75.38,75.38,0
1997-07-31,75.4,75.6,75.2,75.2,0
1997-08-01,75.1,75.25,75.0,75.0,0
1997-08-04,75.18,75.18,75.18,75.18,0
1997-08-05,75.1,75.4,75.1,75.18,0
1997-08-06,74.9,75.9,74.9,75.9,0
1997-08-07,75.3,75.3,75.3,75.3,0
1997-08-08,74.9,75.2,74.9,75.15,0
1997-08-11,74.75,75.0,74.75,74.9,0
1997-08-12,75.7,75.7,75.7,75.7,0
1997-08-13,75.6,75.73,75.6,75.73,0
1997-08-14,75.35,75.35,75.35,75.35,0
1997-08-15,75.35,75.35,75.35,75.35,0
1997-08-18,75.05,75.1,75.05,75.1,0
1997-08-19,75.43,75.43,75.43,75.43,0
1997-08-20,75.2,75.63,75.2,75.63,0
1997-08-21,75.6,76.15,75.6,76.15,0
1997-08-22,76.0,76.25,76.0,76.15,0
1997-08-25,75.5,76.0,75.5,75.95,0
1997-08-26,75.75,76.0,75.65,75.65,0
1997-08-27,75.4,76.3,75.4,76.3,0
1997-08-28,76.1,76.5,76.07,76.07,0
1997-08-29,75.85,76.25,75.6,75.6,0
1997-09-02,75.65,76.0,75.65,75.75,0
1997-09-03,75.5,75.75,75.5,75.67,0
1997-09-04,75.45,75.8,75.45,75.76,0
1997-09-05,75.8,76.2,75.43,75.43,0
1997-09-08,75.3,75.93,75.3,75.93,0
1997-09-09,75.8,76.1,75.8,75.95,0
1997-09-10,76.03,76.03,76.03,76.03,0
1997-09-11,75.75,76.0,75.75,75.95,0
