Date,open,high,low,close,volume
2009-06-15,699.0,709.75,699.0,699.0,0
2009-06-16,689.75,699.0,689.75,689.75,0
2009-06-17,690.25,690.25,689.75,690.25,0
2009-06-18,685.5,690.25,685.5,685.5,0
2009-06-19,683.75,685.5,683.75,683.75,0
2009-06-22,674.5,683.75,674.5,674.5,0
2009-06-23,675.5,675.5,674.5,675.5,0
2009-06-24,670.0,675.5,670.0,670.0,0
2009-06-25,663.25,670.0,663.25,663.25,0
2009-06-26,667.0,667.0,663.25,667.0,0
2009-06-29,664.0,667.0,664.0,664.0,0
2009-06-30,648.25,664.0,648.25,648.25,0
2009-07-01,643.75,648.25,643.75,643.75,0
2009-07-02,637.0,643.75,637.0,637.0,0
2009-07-06,626.5,637.0,626.5,626.5,0
2009-07-07,617.5,626.5,617.5,617.5,0
2009-07-08,624.25,624.25,617.5,624.25,0
2009-07-09,629.75,629.75,624.25,629.75,0
2009-07-10,625.5,629.75,625.5,625.5,0
2009-07-13,646.0,646.0,625.5,646.0,0
2009-07-14,632.75,646.0,632.75,632.75,0
2009-07-15,636.5,636.5,632.75,636.5,0
2009-07-16,635.0,636.5,635.0,635.0,0
2009-07-17,644.25,644.25,635.0,644.25,0
2009-07-20,652.0,652.0,644.25,652.0,0
2009-07-21,645.25,652.0,645.25,645.25,0
2009-07-22,634.5,645.25,634.5,634.5,0
2009-07-23,644.5,644.5,634.5,644.5,0
2009-07-24,630.5,644.5,630.5,630.5,0
2009-07-27,635.25,635.25,630.5,635.25,0
2009-07-28,632.5,635.25,632.5,632.5,0
2009-07-29,627.75,632.5,627.75,627.75,0
2009-07-30,632.25,632.25,627.75,632.25,0
2009-07-31,643.25,643.25,632.25,643.25,0
2009-08-03,663.25,663.25,643.25,663.25,0
2009-08-04,654.25,663.25,654.25,654.25,0
2009-08-05,643.0,654.25,643.0,643.0,0
2009-08-06,617.0,643.0,617.0,617.0,0
2009-08-07,608.5,617.0,608.5,608.5,0
2009-08-10,613.0,613.0,608.5,613.0,0
2009-08-11,607.5,613.0,607.5,607.5,0
2009-08-12,612.25,612.25,607.5,612.25,0
2009-08-13,601.75,612.25,601.75,601.75,0
2009-08-14,601.75,601.75,601.75,601.75,1
2009-08-17,592.25,601.75,592.25,592.25,0
2009-08-18,590.75,592.25,590.75,590.75,0
2009-08-19,590.75,590.75,590.75,590.75,0
2009-08-20,595.0,595.0,590.75,595.0,0
2009-08-21,588.75,595.0,588.75,588.75,0
2009-08-24,603.75,603.75,588.75,603.75,0
2009-08-25,603.5,603.75,603.5,603.5,0
2009-08-26,610.75,610.75,603.5,610.75,0
2009-08-27,609.0,610.75,609.0,609.0,0
2009-08-28,601.25,609.0,601.25,601.25,0
2009-08-31,604.25,604.25,601.25,604.25,0
2009-09-01,592.0,604.25,592.0,592.0,0
2009-09-02,591.5,592.0,591.5,591.5,0
2009-09-03,586.5,591.5,586.5,586.5,0
2009-09-04,583.0,586.5,583.0,583.0,0
2009-09-08,571.0,583.0,571.0,571.0,4
2009-09-09,567.5,571.0,567.5,567.5,20
2009-09-10,568.75,568.75,567.5,568.75,20
2009-09-11,577.25,577.25,568.75,577.25,15
2009-09-14,564.0,577.25,564.0,564.0,0
2009-09-15,575.0,579.75,575.0,579.75,31
2009-09-16,570.0,573.75,570.0,573.75,0
2009-09-17,569.0,569.5,569.0,569.5,0
2009-09-18,564.5,569.5,564.5,564.5,0
2009-09-21,561.0,562.5,561.0,562.5,0
2009-09-22,561.75,562.5,561.75,561.75,0
2009-09-23,563.0,565.0,563.0,565.0,0
2009-09-24,571.0,584.25,571.0,584.25,4
2009-09-25,574.0,574.0,568.25,568.25,0
2009-09-28,568.5,571.25,568.5,571.25,0
2009-09-29,564.0,571.25,564.0,564.0,0
2009-09-30,557.0,582.25,557.0,582.25,44
2009-10-01,570.5,582.25,570.5,570.5,13
2009-10-02,566.0,566.0,562.25,562.25,0
2009-10-05,560.75,562.25,560.75,560.75,0
2009-10-06,572.0,577.75,572.0,577.75,12
2009-10-07,579.75,579.75,577.75,579.75,0
2009-10-08,589.0,590.5,589.0,590.5,9
2009-10-09,586.0,586.0,585.5,585.5,4
2009-10-12,608.75,608.75,585.5,608.75,0
2009-10-13,622.0,622.0,620.25,620.25,3
2009-10-14,626.0,626.0,618.0,624.5,2
2009-10-15,613.0,613.0,612.5,612.5,2
2009-10-16,608.0,608.0,605.25,605.25,0
2009-10-19,622.0,624.0,622.0,623.0,6
2009-10-20,616.0,619.0,616.0,619.0,0
2009-10-21,663.0,663.0,638.75,638.75,10
2009-10-22,642.0,642.0,638.75,642.0,40
2009-10-23,648.5,648.5,642.0,648.5,22
2009-10-26,627.5,648.5,627.5,627.5,14
2009-10-27,612.0,612.0,606.5,606.5,0
2009-10-28,598.25,606.5,598.25,598.25,0
2009-10-29,608.0,608.0,606.5,606.5,0
2009-10-30,595.5,606.5,595.5,595.5,4
2009-11-02,600.0,616.0,600.0,616.0,1
2009-11-03,614.5,616.0,614.5,614.5,4
2009-11-04,607.0,619.25,607.0,619.25,0
2009-11-05,617.0,617.0,613.25,613.25,0
2009-11-06,605.0,605.0,600.5,600.5,0
2009-11-09,603.0,623.5,603.0,623.5,2
2009-11-10,620.0,626.75,620.0,626.75,2
2009-11-11,639.0,639.0,638.0,638.0,20
2009-11-12,643.0,643.0,638.0,638.0,2
2009-11-13,643.0,643.0,638.0,643.0,0
2009-11-16,665.75,665.75,643.0,665.75,4
2009-11-17,673.25,673.25,665.75,673.25,8
2009-11-18,661.0,673.25,661.0,661.0,66
2009-11-19,658.0,661.0,658.0,658.0,11
2009-11-20,655.0,658.0,655.0,655.0,0
2009-11-23,652.0,655.0,652.0,652.0,10
2009-11-24,635.0,635.0,629.25,629.25,11
2009-11-25,648.25,648.25,629.25,648.25,0
2009-11-27,647.25,648.25,647.25,647.25,4
2009-11-30,666.0,666.0,647.25,666.0,3
2009-12-01,661.75,666.0,661.75,661.75,11
2009-12-02,654.25,661.75,654.25,654.25,0
2009-12-03,652.0,655.0,650.75,650.75,20
2009-12-04,640.0,640.0,639.75,639.75,11
2009-12-07,629.5,639.75,629.5,629.5,6
2009-12-08,621.75,629.5,621.75,621.75,0
2009-12-09,620.0,620.0,618.25,618.25,0
2009-12-10,624.0,624.0,616.0,619.0,0
2009-12-11,621.0,621.0,619.0,621.0,0
2009-12-14,627.5,627.5,621.0,627.5,0
2009-12-15,619.25,627.5,619.25,619.25,0
2009-12-16,615.0,623.75,615.0,623.75,0
2009-12-17,611.0,611.0,609.75,609.75,0
2009-12-18,619.0,619.0,609.75,619.0,0
2009-12-21,611.75,619.0,611.75,611.75,2
2009-12-22,616.0,616.0,611.75,616.0,15
2009-12-23,622.0,622.0,616.0,622.0,12
2009-12-24,618.75,622.0,618.75,618.75,9
2009-12-28,642.5,642.5,618.75,642.5,0
2009-12-29,636.0,636.0,634.25,634.25,1
2009-12-30,636.75,636.75,634.25,636.75,18
2009-12-31,633.5,636.75,633.5,633.5,4
2010-01-04,646.75,646.75,633.5,646.75,3
2010-01-05,639.75,646.75,639.75,639.75,23
2010-01-06,653.25,653.25,639.75,653.25,0
2010-01-07,645.75,653.25,645.75,645.75,6
2010-01-08,656.75,656.75,645.75,656.75,20
2010-01-11,661.5,661.5,656.75,661.5,11
2010-01-12,620.0,629.5,620.0,629.5,27
2010-01-13,631.75,631.75,629.5,631.75,0
2010-01-14,623.75,631.75,623.75,623.75,37
2010-01-15,613.0,613.0,607.0,607.0,27
2010-01-19,600.25,607.0,600.25,600.25,45
2010-01-20,597.75,600.25,597.75,597.75,37
2010-01-21,598.5,598.5,597.75,598.5,0
2010-01-22,598.25,598.5,598.25,598.25,0
2010-01-25,596.5,598.25,596.5,596.5,10
2010-01-26,593.5,596.5,593.5,593.5,6
2010-01-27,585.0,593.5,585.0,585.0,11
2010-01-28,587.5,587.5,585.0,587.5,32
2010-01-29,574.5,587.5,574.5,574.5,9
2010-02-01,578.5,578.5,574.5,578.5,59
2010-02-02,591.5,591.5,578.5,591.5,14
2010-02-03,577.0,591.5,577.0,577.0,77
2010-02-04,583.5,583.5,577.0,583.5,37
2010-02-05,582.5,583.5,582.5,582.5,8
2010-02-08,591.75,591.75,582.5,591.75,4
2010-02-09,589.75,591.75,589.75,589.75,32
2010-02-10,601.5,601.5,589.75,601.5,37
2010-02-11,598.25,601.5,598.25,598.25,23
2010-02-12,590.75,598.25,590.75,590.75,18
2010-02-16,607.5,607.5,590.75,607.5,4
2010-02-17,597.75,607.5,597.75,597.75,4
2010-02-18,588.75,597.75,588.75,588.75,55
2010-02-19,593.75,593.75,588.75,593.75,5
2010-02-22,604.0,604.0,593.75,604.0,6
2010-02-23,594.5,604.0,594.5,594.5,24
2010-02-24,601.0,601.0,594.5,601.0,8
2010-02-25,591.75,601.0,591.75,591.75,10
2010-02-26,605.25,605.25,591.75,605.25,3
2010-03-01,591.0,605.25,591.0,591.0,10
2010-03-02,591.5,591.5,591.0,591.5,10
2010-03-03,601.25,601.25,591.5,601.25,13
2010-03-04,589.0,601.25,589.0,589.0,11
