Date,open,high,low,close,volume
1998-04-01,320.9,320.9,320.9,320.9,0
1998-04-02,323.1,323.1,323.1,323.1,0
1998-04-03,328.9,328.9,328.9,328.9,0
1998-04-06,330.0,330.0,330.0,330.0,0
1998-04-07,330.6,330.6,330.6,330.6,0
1998-04-08,329.7,329.7,329.7,329.7,0
1998-04-09,328.9,328.9,328.9,328.9,0
1998-04-13,331.8,331.8,331.8,331.8,0
1998-04-14,329.2,329.2,329.2,329.2,0
1998-04-15,328.1,328.1,328.1,328.1,0
1998-04-16,328.8,328.8,328.8,328.8,0
1998-04-17,328.5,328.5,328.5,328.5,0
1998-04-20,328.7,328.7,328.7,328.7,0
1998-04-21,331.8,331.8,331.8,331.8,0
1998-04-22,334.2,334.2,334.2,334.2,0
1998-04-23,335.1,335.1,335.1,335.1,0
1998-04-24,333.7,333.7,333.7,333.7,0
1998-04-27,331.0,331.0,331.0,331.0,0
1998-04-28,329.1,329.1,329.1,329.1,0
1998-04-29,331.4,331.4,331.4,331.4,0
1998-04-30,327.7,327.7,327.7,327.7,0
1998-05-01,322.7,322.7,322.7,322.7,0
1998-05-04,324.5,324.5,324.5,324.5,0
1998-05-05,323.7,323.7,323.7,323.7,0
1998-05-06,320.6,320.6,320.6,320.6,0
1998-05-07,318.6,318.6,318.6,318.6,0
1998-05-08,319.7,319.7,319.7,319.7,0
1998-05-11,320.3,320.3,320.3,320.3,0
1998-05-12,318.0,318.0,318.0,318.0,0
1998-05-13,318.3,318.3,318.3,318.3,0
1998-05-14,318.8,318.8,318.8,318.8,0
1998-05-15,321.1,321.1,321.1,321.1,0
1998-05-18,319.4,319.4,319.4,319.4,0
1998-05-19,318.4,318.4,318.4,318.4,0
1998-05-20,319.0,319.0,319.0,319.0,0
1998-05-21,320.4,320.4,320.4,320.4,0
1998-05-22,319.2,319.2,319.2,319.2,0
1998-05-26,314.8,314.8,314.8,314.8,0
1998-05-27,312.9,312.9,312.9,312.9,0
1998-05-28,312.3,312.3,312.3,312.3,0
1998-05-29,311.9,311.9,311.9,311.9,0
1998-06-01,307.3,307.3,307.3,307.3,0
1998-06-02,309.9,309.9,309.9,309.9,0
1998-06-03,312.0,312.0,312.0,312.0,0
1998-06-04,312.3,312.3,312.3,312.3,0
1998-06-05,310.3,310.3,310.3,310.3,0
1998-06-08,315.4,315.4,315.4,315.4,0
1998-06-09,312.4,312.4,312.4,312.4,0
1998-06-10,311.8,311.8,311.8,311.8,0
1998-06-11,305.2,305.2,305.2,305.2,0
1998-06-12,303.5,303.5,303.5,303.5,0
1998-06-15,302.6,302.6,302.6,302.6,0
1998-06-16,306.1,306.1,306.1,306.1,0
1998-06-17,311.2,311.2,311.2,311.2,0
1998-06-18,310.9,310.9,310.9,310.9,0
1998-06-19,317.2,317.2,317.2,317.2,0
1998-06-22,313.5,313.5,313.5,313.5,0
1998-06-23,312.8,312.8,312.8,312.8,0
1998-06-24,310.6,310.6,310.6,310.6,0
1998-06-25,310.6,311.5,310.6,311.5,0
1998-06-26,311.3,311.3,311.3,311.3,0
1998-06-29,311.2,311.2,311.2,311.2,0
1998-06-30,314.5,314.5,314.5,314.5,0
1998-07-01,313.8,313.8,313.8,313.8,0
1998-07-02,311.2,311.2,311.2,311.2,0
1998-07-06,310.5,310.5,310.5,310.5,0
1998-07-07,312.0,312.2,312.0,312.2,0
1998-07-08,310.5,310.5,310.5,310.5,0
1998-07-09,308.9,308.9,308.9,308.9,0
1998-07-10,308.0,308.0,308.0,308.0,0
1998-07-13,308.9,308.9,308.9,308.9,0
1998-07-14,310.7,310.7,310.7,310.7,0
1998-07-15,311.3,311.3,311.3,311.3,0
1998-07-16,311.1,311.1,311.1,311.1,0
1998-07-17,312.3,312.3,312.3,312.3,0
1998-07-20,314.0,314.0,314.0,314.0,0
1998-07-21,313.1,313.1,313.1,313.1,0
1998-07-22,312.2,312.2,312.2,312.2,0
1998-07-23,311.1,311.1,311.1,311.1,0
1998-07-24,308.7,308.7,308.7,308.7,0
1998-07-27,307.5,307.5,307.5,307.5,0
1998-07-28,309.0,309.0,309.0,309.0,0
1998-07-29,307.1,307.1,307.1,307.1,0
1998-07-30,305.9,305.9,305.9,305.9,0
1998-07-31,303.2,303.2,303.2,303.2,0
1998-08-03,300.6,300.6,300.6,300.6,0
1998-08-04,305.2,305.2,305.2,305.2,0
1998-08-05,304.5,304.5,304.5,304.5,0
1998-08-06,304.4,304.4,304.4,304.4,0
1998-08-07,303.6,303.6,303.6,303.6,0
1998-08-10,304.5,304.5,304.5,304.5,0
1998-08-11,300.9,300.9,300.9,300.9,0
1998-08-12,299.7,299.7,299.7,299.7,0
1998-08-13,302.3,302.3,302.3,302.3,0
1998-08-14,301.2,301.2,301.2,301.2,0
1998-08-17,302.6,302.6,302.6,302.6,0
1998-08-18,302.5,302.5,302.5,302.5,0
1998-08-19,300.9,300.9,300.9,300.9,0
1998-08-20,302.7,302.7,302.7,302.7,0
1998-08-21,301.8,301.8,301.8,301.8,0
1998-08-24,301.5,301.5,301.5,301.5,0
1998-08-25,299.9,299.9,299.9,299.9,0
1998-08-26,298.9,298.9,298.9,298.9,0
1998-08-27,292.9,292.9,292.9,292.9,0
1998-08-28,290.1,290.1,290.1,290.1,0
1998-08-31,291.0,291.0,291.0,291.0,0
1998-09-01,294.3,294.3,294.3,294.3,0
1998-09-02,295.4,295.4,295.4,295.4,0
1998-09-03,300.4,300.4,300.4,300.4,0
1998-09-04,302.2,302.2,302.2,302.2,0
1998-09-08,301.3,301.3,301.3,301.3,0
1998-09-09,299.3,299.3,299.3,299.3,0
1998-09-10,305.4,305.4,305.4,305.4,0
1998-09-11,308.4,308.4,308.4,308.4,0
1998-09-14,305.1,305.1,305.1,305.1,0
1998-09-15,304.5,304.5,304.5,304.5,0
1998-09-16,302.2,302.2,302.2,302.2,0
1998-09-17,304.2,305.4,304.2,305.4,0
1998-09-18,305.6,305.6,305.6,305.6,0
1998-09-21,303.0,303.0,303.0,303.0,0
1998-09-22,303.0,303.0,302.0,302.0,0
1998-09-23,304.0,304.0,304.0,304.0,0
1998-09-24,307.6,307.6,307.6,307.6,0
1998-09-25,307.2,307.2,307.2,307.2,0
1998-09-28,309.1,309.1,309.1,309.1,0
1998-09-29,307.8,307.8,307.8,307.8,0
1998-09-30,309.6,309.6,309.6,309.6,0
1998-10-01,312.0,312.0,312.0,312.0,0
1998-10-02,312.5,312.5,312.5,312.5,0
1998-10-05,308.4,308.4,308.4,308.4,0
1998-10-06,307.7,307.7,307.7,307.7,0
1998-10-07,312.2,312.2,312.2,312.2,0
1998-10-08,310.8,310.8,310.8,310.8,0
1998-10-09,307.7,307.7,307.7,307.7,0
1998-10-12,307.6,307.6,307.6,307.6,0
1998-10-13,308.1,308.1,308.1,308.1,0
1998-10-14,307.4,307.4,307.4,307.4,0
1998-10-15,308.3,309.1,308.3,309.1,0
1998-10-16,310.9,310.9,310.9,310.9,0
1998-10-19,306.9,306.9,306.9,306.9,0
