Date,open,high,low,close,volume
1999-08-16,52.55,52.55,52.0,52.0,0
1999-08-17,51.5,51.5,51.5,51.5,0
1999-08-18,51.4,51.5,51.4,51.4,0
1999-08-19,51.0,51.0,51.0,51.0,0
1999-08-20,51.025,51.3,51.025,51.025,0
1999-08-23,51.0,52.0,51.0,51.0,0
1999-08-24,50.9,50.9,50.9,50.9,0
1999-08-25,50.85,50.85,50.85,50.85,0
1999-08-26,50.7,50.7,50.5,50.7,0
1999-08-27,50.4,50.4,50.4,50.4,0
1999-08-30,50.1,50.1,50.1,50.1,0
1999-08-31,50.2,50.2,49.95,50.2,0
1999-09-01,50.0,50.25,49.9,50.25,0
1999-09-02,50.25,50.6,50.05,50.6,0
1999-09-03,50.35,50.8,50.3,50.65,0
1999-09-07,50.7,50.7,50.5,50.6,0
1999-09-08,50.85,50.85,50.5,50.5,0
1999-09-09,50.5,50.8,49.0,49.75,0
1999-09-10,50.0,50.35,49.5,50.35,0
1999-09-13,50.6,50.8,50.1,50.6,0
1999-09-14,50.9,51.4,50.55,51.275,0
1999-09-15,51.25,51.5,51.25,51.25,0
1999-09-16,51.4,51.4,51.05,51.4,0
1999-09-17,51.425,51.425,51.35,51.425,0
1999-09-20,51.95,51.95,51.95,51.95,0
1999-09-21,52.1,52.1,51.85,51.9,0
1999-09-22,51.9,52.3,51.9,52.3,0
1999-09-23,52.3,52.4,52.25,52.35,0
1999-09-24,52.6,53.4,52.6,53.4,0
1999-09-27,54.7,54.7,54.7,54.7,0
1999-09-28,53.5,53.9,52.9,53.9,0
1999-09-29,52.5,53.675,52.5,53.675,0
1999-09-30,53.9,53.9,53.4,53.9,0
1999-10-01,53.9,54.45,53.85,54.4,0
1999-10-04,54.3,54.35,53.7,53.7,0
1999-10-05,53.1,53.1,53.1,53.1,0
1999-10-06,53.025,53.05,53.0,53.025,0
1999-10-07,53.25,53.6,53.025,53.525,0
1999-10-08,53.25,53.7,53.2,53.7,0
1999-10-11,53.2,53.475,53.2,53.475,0
1999-10-12,53.8,53.85,53.7,53.85,0
1999-10-13,53.85,54.475,53.85,54.475,0
1999-10-14,54.45,54.65,54.0,54.65,0
1999-10-15,54.25,54.9,54.15,54.9,0
1999-10-18,54.75,55.0,54.425,55.0,0
1999-10-19,54.55,55.45,54.525,55.375,0
1999-10-20,55.3,55.3,54.55,54.725,0
1999-10-21,54.575,54.7,54.45,54.7,0
1999-10-22,54.6,54.975,54.6,54.95,0
1999-10-25,54.75,55.0,54.25,54.5,0
1999-10-26,54.5,54.8,54.25,54.8,0
1999-10-27,54.05,54.2,53.9,54.15,0
1999-10-28,54.1,54.25,53.825,53.825,0
1999-10-29,54.1,54.3,53.8,54.3,0
1999-11-01,53.8,53.9,53.6,53.9,0
1999-11-02,53.9,54.1,53.625,53.9,0
1999-11-03,53.8,53.85,53.7,53.85,0
1999-11-04,53.65,53.9,53.45,53.9,0
1999-11-05,53.85,53.9,53.55,53.9,0
1999-11-08,53.8,53.85,53.4,53.5,0
1999-11-09,54.0,54.45,54.0,54.45,0
1999-11-10,54.05,54.35,53.65,53.975,0
1999-11-11,54.2,54.2,53.5,54.1,0
1999-11-12,53.775,54.125,53.75,53.975,0
1999-11-15,54.0,54.0,53.525,53.525,0
1999-11-16,53.55,53.775,53.525,53.675,0
1999-11-17,53.525,53.6,53.3,53.525,0
1999-11-18,53.4,53.725,53.325,53.725,0
1999-11-19,53.5,53.975,53.5,53.975,0
