Date,open,high,low,close,volume
2002-01-02,0.5535,0.58,0.5525,0.5786,39427
2002-01-03,0.579,0.5825,0.5525,0.56,42504
2002-01-04,0.561,0.5875,0.56,0.5859,42564
2002-01-07,0.586,0.589,0.566,0.5719,45596
2002-01-08,0.572,0.575,0.561,0.5682,33848
2002-01-09,0.566,0.57,0.536,0.5379,65052
2002-01-10,0.54,0.555,0.536,0.5533,41225
2002-01-11,0.555,0.557,0.536,0.5394,40681
2002-01-14,0.5395,0.54,0.509,0.5166,56067
2002-01-15,0.5189,0.534,0.516,0.5207,40938
2002-01-16,0.519,0.535,0.5095,0.5321,44605
2002-01-17,0.5322,0.538,0.508,0.5145,52253
2002-01-18,0.522,0.5315,0.515,0.5166,39073
2002-01-22,0.5185,0.529,0.511,0.5181,40895
2002-01-23,0.5204,0.5345,0.52,0.5285,41292
2002-01-24,0.528,0.5385,0.5236,0.535,36810
2002-01-25,0.538,0.543,0.519,0.5376,58192
2002-01-28,0.5376,0.542,0.528,0.532,45361
2002-01-29,0.53,0.5325,0.52,0.5221,54605
2002-01-30,0.5225,0.5225,0.501,0.5131,64304
2002-01-31,0.514,0.534,0.512,0.5316,72755
2002-02-01,0.53,0.557,0.521,0.5531,47647
2002-02-04,0.545,0.551,0.536,0.5381,34022
2002-02-05,0.5381,0.5395,0.529,0.5369,31509
2002-02-06,0.5365,0.545,0.526,0.5279,30517
2002-02-07,0.528,0.5295,0.51,0.5194,53623
2002-02-08,0.521,0.537,0.52,0.5334,41284
2002-02-11,0.5355,0.57,0.5275,0.5619,41267
2002-02-12,0.5605,0.566,0.5435,0.546,49114
2002-02-13,0.545,0.567,0.5378,0.554,33898
2002-02-14,0.554,0.5615,0.551,0.5562,31146
2002-02-15,0.5535,0.56,0.548,0.5589,33049
2002-02-19,0.5505,0.554,0.5428,0.544,32284
2002-02-20,0.545,0.545,0.529,0.5309,40246
2002-02-21,0.5358,0.562,0.5336,0.5508,53244
2002-02-22,0.5515,0.555,0.544,0.5478,40483
2002-02-25,0.546,0.5478,0.526,0.5274,42917
2002-02-26,0.526,0.5575,0.526,0.5538,53409
2002-02-27,0.552,0.5695,0.5469,0.5545,60665
2002-02-28,0.5565,0.574,0.554,0.5715,58513
2002-03-01,0.57,0.5965,0.5665,0.5887,43268
2002-03-04,0.584,0.592,0.579,0.5845,27311
2002-03-05,0.5845,0.6045,0.5845,0.6014,48861
2002-03-06,0.601,0.6079,0.591,0.5993,35656
2002-03-07,0.6007,0.645,0.6007,0.6189,54289
2002-03-08,0.6196,0.625,0.608,0.6194,33248
2002-03-11,0.6255,0.6422,0.6242,0.6345,30745
2002-03-12,0.6345,0.638,0.6226,0.6349,35189
2002-03-13,0.637,0.655,0.634,0.6482,57414
