Date,open,high,low,close,volume
2018-01-02,122.25,123.5,122.2,123.35,57204
2018-01-03,123.325,123.35,122.35,122.95,55983
2018-01-04,123.075,123.625,122.1,122.25,66174
2018-01-05,121.85,121.925,119.25,119.25,75285
2018-01-08,119.0,119.0,116.775,117.225,105908
2018-01-09,119.325,119.95,118.55,119.525,93438
2018-01-10,119.75,120.2,118.3,118.675,95540
2018-01-11,118.3,119.075,118.05,118.875,84309
2018-01-12,118.9,119.625,118.475,119.45,75270
2018-01-16,119.5,120.625,119.5,120.375,61894
2018-01-17,120.075,123.175,119.975,122.775,95130
2018-01-18,122.875,123.6,122.6,123.475,64387
2018-01-19,123.525,123.85,122.125,122.725,67904
2018-01-22,123.35,124.1,123.325,123.975,52763
2018-01-23,124.05,125.05,123.65,124.8,57986
2018-01-24,124.975,125.45,124.5,125.15,55247
2018-01-25,125.3,126.3,122.275,122.6,81101
2018-01-26,122.7,125.1,122.025,124.625,68422
2018-01-29,125.5,126.125,124.8,125.0,58201
2018-01-30,124.6,124.9,122.725,124.175,64958
2018-01-31,123.95,124.225,122.5,122.925,53477
2018-02-01,123.5,125.925,123.25,125.925,87775
2018-02-02,125.925,126.75,125.3,126.125,55479
2018-02-05,125.975,127.2,125.125,125.475,61689
2018-02-06,124.55,125.625,124.3,124.575,44257
2018-02-07,124.65,125.375,123.8,123.975,47143
2018-02-08,123.975,125.775,123.45,123.725,52260
2018-02-09,123.6,124.925,122.8,123.625,57500
2018-02-12,123.625,125.4,123.375,125.0,50128
2018-02-13,125.525,125.975,124.65,124.775,48037
2018-02-14,125.025,125.775,124.875,125.225,33895
2018-02-15,125.45,127.425,125.225,127.25,60896
2018-02-16,127.175,127.875,126.875,127.65,56636
2018-02-20,127.9,127.95,127.2,127.725,42152
2018-02-21,127.725,127.75,124.725,126.225,81011
2018-02-22,125.825,126.125,124.925,125.375,51744
2018-02-23,125.35,125.45,124.275,124.85,46238
2018-02-26,124.0,124.75,123.55,124.0,63839
2018-02-27,124.25,125.675,124.15,124.25,57222
2018-02-28,124.25,125.175,122.925,123.275,79863
2018-03-01,123.65,123.9,122.325,123.325,75371
2018-03-02,123.35,123.8,121.9,122.175,70382
2018-03-05,114.5,115.7,114.15,115.35,56953
2018-03-06,115.35,116.475,114.5,114.775,78410
2018-03-07,114.875,115.525,114.5,114.825,74459
2018-03-08,114.975,115.0,112.6,113.275,107744
2018-03-09,113.7,114.575,112.675,114.3,97833
2018-03-12,114.45,114.575,112.85,113.275,90694
2018-03-13,113.45,113.65,112.1,113.15,87714
2018-03-14,114.0,114.8,112.9,113.25,81243
2018-03-15,113.25,113.95,111.5,112.3,69285
2018-03-16,111.95,112.275,111.325,111.75,63777
2018-03-19,112.05,112.1,109.9,110.15,73980
2018-03-20,110.1,110.4,108.9,109.0,83120
2018-03-21,109.0,109.125,106.65,107.375,97808
2018-03-22,107.3,108.775,107.075,108.4,71663
2018-03-23,108.45,108.575,106.0,106.2,74492
