Date,open,high,low,close,volume
1998-10-15,2.16,2.16,2.14,2.16,0
1998-10-16,2.154,2.154,2.154,2.154,0
1998-10-19,2.154,2.159,2.154,2.159,0
1998-10-20,2.169,2.169,2.169,2.169,0
1998-10-21,2.169,2.169,2.169,2.169,0
1998-10-22,2.18,2.18,2.175,2.179,0
1998-10-23,2.18,2.192,2.18,2.192,0
1998-10-26,2.215,2.215,2.215,2.215,0
1998-10-27,2.207,2.207,2.196,2.196,0
1998-10-28,2.2,2.2,2.196,2.196,0
1998-10-29,2.203,2.203,2.203,2.203,0
1998-10-30,2.197,2.197,2.197,2.197,0
1998-11-02,2.197,2.197,2.197,2.197,0
1998-11-03,2.222,2.222,2.222,2.222,0
1998-11-04,2.215,2.215,2.215,2.215,0
1998-11-05,2.23,2.23,2.23,2.23,0
1998-11-06,2.217,2.217,2.217,2.217,0
1998-11-09,2.195,2.195,2.195,2.195,0
1998-11-10,2.21,2.21,2.205,2.205,0
1998-11-11,2.195,2.195,2.195,2.195,0
1998-11-12,2.21,2.21,2.205,2.205,0
1998-11-13,2.225,2.225,2.205,2.21,0
1998-11-16,2.195,2.195,2.195,2.195,0
1998-11-17,2.19,2.191,2.19,2.191,0
1998-11-18,2.195,2.195,2.186,2.186,0
1998-11-19,2.187,2.187,2.187,2.187,0
1998-11-20,2.196,2.196,2.18,2.188,0
1998-11-23,2.19,2.19,2.19,2.19,0
1998-11-25,2.19,2.191,2.19,2.191,0
1998-12-01,2.15,2.16,2.15,2.157,0
1998-12-03,2.15,2.155,2.14,2.155,0
1998-12-04,2.155,2.155,2.15,2.15,0
1998-12-07,2.16,2.17,2.16,2.165,0
1998-12-08,2.15,2.15,2.146,2.146,0
1998-12-09,2.143,2.151,2.143,2.146,0
1998-12-10,2.155,2.155,2.155,2.155,0
1998-12-11,2.14,2.14,2.14,2.14,0
1998-12-14,2.155,2.155,2.146,2.146,0
1998-12-15,2.146,2.146,2.146,2.146,0
1998-12-16,2.18,2.18,2.18,2.18,0
1998-12-17,2.18,2.18,2.149,2.149,0
1998-12-18,2.15,2.15,2.149,2.149,0
1998-12-21,2.139,2.139,2.139,2.139,0
1998-12-22,2.145,2.145,2.145,2.145,0
1998-12-23,2.144,2.144,2.134,2.134,0
1998-12-24,2.134,2.134,2.134,2.134,0
1998-12-29,2.125,2.125,2.117,2.117,0
1998-12-30,2.127,2.127,2.122,2.122,0
1998-12-31,2.122,2.122,2.122,2.122,0
1999-01-04,2.152,2.152,2.137,2.137,0
1999-01-05,2.122,2.122,2.122,2.122,0
1999-01-06,2.117,2.117,2.114,2.114,0
1999-01-07,2.1,2.1,2.097,2.097,0
1999-01-08,2.093,2.093,2.093,2.093,0
1999-01-11,2.11,2.11,2.095,2.095,0
1999-01-12,2.108,2.108,2.108,2.108,0
1999-01-13,2.125,2.125,2.104,2.104,0
1999-01-14,2.115,2.116,2.115,2.116,0
1999-01-15,2.116,2.116,2.116,2.116,0
1999-01-19,2.2,2.2,2.1,2.116,0
1999-01-20,2.116,2.13,2.116,2.122,0
1999-01-21,2.15,2.16,2.15,2.152,0
1999-01-22,2.152,2.152,2.142,2.147,0
1999-01-25,2.138,2.138,2.138,2.138,0
1999-01-26,2.15,2.15,2.143,2.145,0
1999-01-27,2.175,2.175,2.155,2.166,0
1999-01-29,2.199,2.199,2.179,2.179,0
1999-02-01,2.184,2.184,2.175,2.175,0
1999-02-02,2.184,2.205,2.184,2.205,0
1999-02-03,2.185,2.187,2.18,2.187,0
1999-02-04,2.205,2.205,2.18,2.187,0
1999-02-05,2.193,2.195,2.193,2.195,0
1999-02-08,2.195,2.195,2.195,2.195,0
1999-02-09,2.195,2.199,2.195,2.199,0
1999-02-10,2.185,2.189,2.185,2.189,0
1999-02-11,2.19,2.19,2.186,2.186,0
1999-02-12,2.181,2.181,2.181,2.181,0
1999-02-16,2.171,2.171,2.171,2.171,0
1999-02-17,2.17,2.17,2.164,2.164,0
1999-02-18,2.164,2.164,2.164,2.164,0
1999-02-19,2.154,2.154,2.154,2.154,0
1999-02-22,2.14,2.141,2.138,2.138,0
1999-02-23,2.135,2.145,2.134,2.134,0
1999-02-24,2.14,2.14,2.138,2.138,0
1999-02-25,2.138,2.138,2.126,2.126,0
1999-02-26,2.22,2.22,2.107,2.107,0
1999-03-01,2.12,2.135,2.12,2.13,0
1999-03-02,2.14,2.14,2.132,2.132,0
1999-03-04,2.137,2.147,2.137,2.145,0
1999-03-05,2.165,2.18,2.155,2.167,0
1999-03-08,2.19,2.19,2.177,2.177,0
1999-03-09,2.195,2.197,2.195,2.197,0
1999-03-10,2.215,2.215,2.195,2.213,0
1999-03-11,2.2,2.2,2.17,2.17,0
1999-03-12,2.17,2.17,2.149,2.149,0
1999-03-15,2.17,2.17,2.13,2.137,0
1999-03-16,2.155,2.155,2.12,2.135,0
1999-03-17,2.14,2.145,2.14,2.141,0
1999-03-18,2.12,2.135,2.11,2.125,0
1999-03-19,2.14,2.14,2.125,2.138,0
1999-03-22,2.17,2.17,2.158,2.158,0
1999-03-23,2.155,2.17,2.155,2.159,0
1999-03-24,2.159,2.175,2.159,2.162,0
1999-03-25,2.172,2.18,2.172,2.179,0
1999-03-26,2.17,2.18,2.165,2.18,0
1999-03-29,2.17,2.175,2.165,2.172,0
1999-03-30,2.175,2.192,2.175,2.192,0
1999-03-31,2.2,2.222,2.188,2.188,0
1999-04-01,2.19,2.19,2.185,2.188,0
1999-04-05,2.18,2.181,2.18,2.181,0
1999-04-06,2.17,2.184,2.17,2.175,0
1999-04-07,2.205,2.205,2.17,2.177,0
1999-04-08,2.19,2.2,2.18,2.18,0
1999-04-09,2.2,2.205,2.19,2.196,0
1999-04-12,2.185,2.2,2.185,2.2,0
1999-04-13,2.21,2.225,2.21,2.215,0
1999-04-14,2.19,2.22,2.19,2.22,0
1999-04-15,2.25,2.25,2.23,2.241,0
1999-04-16,2.255,2.26,2.25,2.251,0
1999-04-19,2.26,2.265,2.255,2.261,0
1999-04-20,2.261,2.261,2.25,2.26,0
1999-04-21,2.16,2.265,2.16,2.265,0
1999-04-22,2.275,2.275,2.275,2.275,0
1999-04-23,2.273,2.279,2.273,2.279,0
1999-04-26,2.279,2.303,2.279,2.303,0
1999-04-27,2.31,2.33,2.31,2.314,0
1999-04-28,2.314,2.315,2.314,2.315,0
1999-04-29,2.335,2.335,2.305,2.305,0
1999-04-30,2.3,2.3,2.275,2.275,0
1999-05-03,2.285,2.312,2.285,2.312,0
1999-05-04,2.33,2.335,2.32,2.33,0
1999-05-05,2.24,2.34,2.24,2.335,0
1999-05-06,2.325,2.325,2.31,2.315,0
1999-05-07,2.31,2.315,2.31,2.315,0
1999-05-10,2.315,2.325,2.315,2.325,0
1999-05-11,2.335,2.335,2.315,2.315,0
1999-05-12,2.295,2.315,2.295,2.308,0
1999-05-13,2.325,2.328,2.325,2.328,0
1999-05-14,2.33,2.333,2.325,2.333,0
1999-05-17,2.35,2.36,2.345,2.348,0
1999-05-18,2.331,2.334,2.33,2.334,0
1999-05-19,2.335,2.335,2.335,2.335,0
1999-05-20,2.34,2.34,2.32,2.33,0
1999-05-21,2.33,2.34,2.328,2.34,0
1999-05-24,2.34,2.34,2.325,2.335,0
1999-05-25,2.335,2.335,2.335,2.335,0
1999-05-26,2.35,2.35,2.33,2.335,0
1999-05-27,2.345,2.35,2.345,2.349,0
1999-05-28,2.359,2.359,2.359,2.359,0
1999-06-01,2.36,2.365,2.349,2.349,0
1999-06-02,2.355,2.37,2.355,2.363,0
1999-06-03,2.37,2.37,2.365,2.368,0
1999-06-04,2.365,2.38,2.365,2.38,0
1999-06-07,2.397,2.397,2.392,2.392,0
1999-06-08,2.385,2.385,2.378,2.378,0
1999-06-09,2.38,2.39,2.38,2.39,0
1999-06-10,2.373,2.373,2.361,2.361,0
1999-06-11,2.36,2.361,2.355,2.361,0
1999-06-14,2.36,2.36,2.35,2.355,0
1999-06-15,2.358,2.365,2.358,2.358,0
1999-06-16,2.348,2.348,2.345,2.345,0
1999-06-17,2.34,2.34,2.329,2.329,0
1999-06-18,2.33,2.335,2.33,2.332,0
1999-06-21,2.32,2.32,2.304,2.304,0
1999-06-22,2.315,2.315,2.304,2.304,0
1999-06-23,2.315,2.315,2.309,2.315,0
1999-06-24,2.325,2.325,2.32,2.325,0
1999-06-25,2.32,2.32,2.32,2.32,0
1999-06-28,2.31,2.313,2.305,2.313,0
1999-06-29,2.328,2.333,2.328,2.33,0
1999-06-30,2.324,2.324,2.324,2.324,0
1999-07-01,2.305,2.305,2.305,2.305,0
1999-07-02,2.3,2.305,2.3,2.3,0
1999-07-06,2.28,2.29,2.28,2.29,0
1999-07-07,2.29,2.3,2.285,2.285,0
1999-07-08,2.295,2.305,2.295,2.295,0
1999-07-09,2.294,2.305,2.294,2.305,0
1999-07-12,2.3,2.31,2.3,2.305,0
1999-07-13,2.32,2.32,2.32,2.32,0
1999-07-14,2.325,2.333,2.32,2.323,0
1999-07-15,2.31,2.335,2.31,2.335,0
1999-07-16,2.345,2.355,2.343,2.343,0
1999-07-19,2.35,2.35,2.346,2.346,0
1999-07-20,2.355,2.365,2.346,2.346,0
1999-07-21,2.36,2.37,2.36,2.366,0
1999-07-22,2.375,2.39,2.375,2.388,0
1999-07-23,2.4,2.43,2.4,2.413,0
1999-07-26,2.415,2.415,2.405,2.413,0
1999-07-27,2.41,2.413,2.4,2.403,0
1999-07-28,2.388,2.398,2.36,2.368,0
1999-07-29,2.39,2.4,2.35,2.35,0
1999-07-30,2.35,2.38,2.35,2.355,0
1999-08-02,2.34,2.365,2.34,2.365,0
1999-08-03,2.365,2.38,2.365,2.375,0
1999-08-04,2.385,2.395,2.375,2.385,0
1999-08-05,2.395,2.405,2.385,2.385,0
1999-08-06,2.4,2.405,2.39,2.403,0
1999-08-09,2.403,2.415,2.4,2.403,0
1999-08-10,2.415,2.42,2.405,2.405,0
1999-08-11,2.4,2.4,2.4,2.4,0
1999-08-12,2.415,2.415,2.4,2.4,0
1999-08-13,2.4,2.415,2.4,2.405,0
1999-08-16,2.425,2.425,2.407,2.407,0
1999-08-17,2.407,2.414,2.407,2.409,0
1999-08-18,2.41,2.44,2.41,2.44,0
1999-08-19,2.49,2.49,2.48,2.48,0
1999-08-20,2.495,2.505,2.49,2.5,0
1999-08-23,2.49,2.54,2.49,2.54,0
1999-08-24,2.52,2.535,2.52,2.532,0
1999-08-25,2.535,2.55,2.51,2.515,0
1999-08-26,2.515,2.515,2.49,2.495,0
1999-08-27,2.495,2.495,2.475,2.485,0
1999-08-30,2.485,2.5,2.485,2.5,0
1999-08-31,2.505,2.505,2.488,2.488,0
1999-09-01,2.485,2.495,2.465,2.49,0
1999-09-02,2.461,2.465,2.406,2.406,0
1999-09-03,2.42,2.45,2.415,2.43,0
1999-09-07,2.455,2.46,2.45,2.46,0
1999-09-08,2.47,2.47,2.45,2.455,0
1999-09-09,2.48,2.54,2.48,2.531,0
1999-09-10,2.53,2.56,2.5,2.533,0
1999-09-13,2.53,2.56,2.53,2.535,0
1999-09-14,2.5,2.535,2.5,2.511,0
1999-09-15,2.495,2.535,2.495,2.522,0
1999-09-16,2.522,2.53,2.515,2.525,0
1999-09-17,2.51,2.575,2.51,2.56,0
1999-09-20,2.56,2.565,2.56,2.56,0
1999-09-21,2.55,2.555,2.53,2.545,0
1999-09-22,2.55,2.56,2.537,2.537,0
1999-09-23,2.57,2.665,2.57,2.612,0
1999-09-24,2.63,2.63,2.59,2.615,0
1999-09-27,2.63,2.63,2.615,2.615,0
1999-09-28,2.615,2.615,2.58,2.58,0
1999-09-29,2.58,2.6,2.569,2.569,0
1999-09-30,2.55,2.57,2.55,2.565,0
1999-10-01,2.57,2.59,2.56,2.562,0
1999-10-04,2.57,2.57,2.525,2.53,0
1999-10-05,2.55,2.55,2.51,2.512,0
1999-10-06,2.46,2.52,2.46,2.519,0
1999-10-07,2.536,2.55,2.536,2.538,0
1999-10-08,2.535,2.56,2.53,2.542,0
1999-10-11,2.545,2.562,2.545,2.562,0
1999-10-12,2.57,2.61,2.57,2.596,0
1999-10-13,2.615,2.615,2.595,2.606,0
1999-10-14,2.595,2.6,2.58,2.58,0
1999-10-15,2.615,2.615,2.6,2.605,0
1999-10-18,2.61,2.61,2.598,2.598,0
1999-10-19,2.61,2.615,2.6,2.6,0
1999-10-20,2.585,2.6,2.585,2.592,0
1999-10-21,2.595,2.605,2.59,2.602,0
1999-10-22,2.602,2.61,2.602,2.605,0
1999-10-25,2.595,2.595,2.595,2.595,0
1999-10-26,2.59,2.597,2.59,2.597,0
1999-10-27,2.61,2.62,2.605,2.607,0
1999-10-28,2.605,2.61,2.57,2.58,0
1999-10-29,2.58,2.58,2.565,2.575,0
1999-11-01,2.565,2.57,2.55,2.565,0
1999-11-02,2.555,2.565,2.55,2.555,0
1999-11-03,2.58,2.58,2.57,2.57,0
1999-11-04,2.565,2.57,2.555,2.555,0
1999-11-05,2.54,2.58,2.54,2.57,0
1999-11-08,2.54,2.545,2.53,2.535,0
1999-11-09,2.525,2.54,2.525,2.535,0
