Date,open,high,low,close,volume
2000-02-11,584.0,590.85,584.0,590.85,0
2000-02-14,606.0,606.0,606.0,606.0,0
2000-02-15,646.35,646.35,646.35,646.35,0
2000-02-16,663.0,693.15,663.0,693.15,0
2000-02-17,691.55,691.55,691.55,691.55,0
2000-02-18,687.25,687.25,687.25,687.25,0
2000-02-22,745.0,815.0,745.0,803.8,0
2000-02-24,683.9,683.9,683.9,683.9,0
2000-02-25,676.5,676.5,676.5,676.5,0
2000-02-28,700.0,709.2,700.0,709.2,0
2000-02-29,700.5,700.5,700.5,700.5,0
2000-03-01,675.0,675.0,673.4,673.4,0
2000-03-02,647.0,649.4,647.0,649.4,0
2000-03-03,640.5,640.5,640.5,640.5,0
2000-03-06,640.5,640.5,640.5,640.5,0
2000-03-07,650.0,656.0,650.0,656.0,0
2000-03-08,665.0,700.0,665.0,700.0,0
2000-03-09,680.0,680.0,680.0,680.0,0
2000-03-10,693.0,693.0,693.0,693.0,0
2000-03-13,678.0,678.0,678.0,678.0,0
2000-03-14,683.0,683.0,683.0,683.0,0
2000-03-15,692.0,692.0,692.0,692.0,0
2000-03-16,706.0,706.0,706.0,706.0,0
2000-03-17,703.0,703.0,703.0,703.0,0
2000-03-20,671.4,671.4,671.4,671.4,0
2000-03-21,648.0,648.0,648.0,648.0,0
2000-03-23,635.0,635.0,635.0,635.0,0
2000-03-24,611.0,611.0,611.0,611.0,0
2000-03-27,607.75,607.75,607.75,607.75,0
2000-03-31,575.0,590.5,575.0,590.5,0
2000-04-03,580.0,580.0,577.0,577.0,0
2000-04-04,587.35,587.35,587.35,587.35,0
2000-04-05,590.7,590.7,590.7,590.7,0
2000-04-06,581.0,581.0,581.0,581.0,0
2000-04-07,574.0,574.0,574.0,574.0,0
2000-04-11,561.2,561.2,561.2,561.2,0
2000-04-12,558.0,558.0,558.0,558.0,0
2000-04-13,558.7,558.7,558.7,558.7,0
2000-04-14,578.95,578.95,578.95,578.95,0
