Date,open,high,low,close,volume
1998-03-12,376.9,376.9,376.9,376.9,0
1998-03-16,391.5,391.5,391.5,391.5,0
1998-03-17,384.8,384.8,384.8,384.8,0
1998-03-18,398.3,398.3,398.3,398.3,0
1998-03-19,400.0,400.0,398.5,398.5,0
1998-03-20,401.3,401.3,401.3,401.3,0
1998-03-23,409.8,409.8,409.8,409.8,0
1998-03-24,410.0,410.0,403.3,403.3,0
1998-03-25,398.0,398.0,394.7,394.7,0
1998-03-26,404.2,404.2,404.2,404.2,0
1998-03-31,396.0,396.0,396.0,396.0,0
1998-04-01,398.0,398.0,396.0,396.0,0
1998-04-02,395.0,395.0,395.0,395.0,0
1998-04-03,401.7,401.7,401.7,401.7,0
1998-04-07,402.0,402.0,402.0,402.0,0
1998-04-08,404.8,404.8,404.8,404.8,0
1998-04-09,408.5,408.5,408.5,408.5,0
1998-04-13,413.6,413.6,413.6,413.6,0
1998-04-14,416.6,416.6,416.6,416.6,0
1998-04-15,404.4,404.4,404.4,404.4,0
1998-04-16,395.2,395.2,395.2,395.2,0
1998-04-17,396.1,396.1,396.1,396.1,0
1998-04-20,404.0,404.0,402.4,402.4,0
1998-04-21,403.4,403.4,403.4,403.4,0
1998-04-22,407.2,407.2,407.2,407.2,0
1998-04-23,401.9,401.9,401.9,401.9,0
1998-04-24,400.0,400.0,396.3,396.3,0
1998-04-27,395.0,395.0,394.5,394.5,0
1998-04-28,391.0,391.0,391.0,391.0,0
1998-04-29,393.7,393.7,393.7,393.7,0
1998-04-30,392.0,392.0,389.4,389.4,0
1998-05-01,391.0,391.0,383.5,383.5,0
1998-05-04,386.0,386.0,386.0,386.0,0
1998-05-05,388.5,388.5,388.5,388.5,0
1998-05-06,385.5,385.5,385.5,385.5,0
1998-05-07,384.1,384.1,384.1,384.1,0
1998-05-08,386.5,386.5,386.5,386.5,0
1998-05-11,380.0,380.0,380.0,380.0,0
1998-05-12,380.0,380.0,378.2,378.2,0
1998-05-13,392.5,392.5,392.5,392.5,0
1998-05-14,390.6,390.6,390.6,390.6,0
1998-05-15,394.9,394.9,394.9,394.9,0
1998-05-18,384.7,384.7,384.7,384.7,0
1998-05-19,382.8,382.8,382.8,382.8,0
1998-05-20,371.7,371.7,371.7,371.7,0
1998-05-21,375.0,375.0,374.5,374.5,0
1998-05-22,370.2,370.2,370.2,370.2,0
1998-05-26,371.2,371.2,371.2,371.2,0
1998-05-27,366.6,366.6,366.6,366.6,0
1998-05-28,360.7,360.7,360.7,360.7,0
1998-05-29,360.0,364.7,360.0,364.7,0
1998-06-01,359.8,359.8,359.8,359.8,0
1998-06-02,362.0,362.0,362.0,362.0,0
1998-06-03,356.5,356.5,356.5,356.5,0
1998-06-04,361.2,361.2,361.2,361.2,0
1998-06-05,358.9,358.9,358.9,358.9,0
1998-06-08,363.2,363.2,363.2,363.2,0
1998-06-09,357.2,357.2,357.2,357.2,0
1998-06-10,356.1,356.1,356.1,356.1,0
1998-06-11,355.0,355.0,349.8,349.8,0
1998-06-12,349.5,349.5,349.5,349.5,0
1998-06-15,350.0,350.0,348.0,348.0,0
1998-06-16,356.4,356.4,356.4,356.4,0
1998-06-17,361.4,361.4,361.4,361.4,0
1998-06-18,359.0,359.0,359.0,359.0,0
1998-06-19,365.0,365.0,364.0,364.0,0
1998-06-22,359.9,359.9,359.9,359.9,0
1998-06-23,357.7,357.7,357.7,357.7,0
1998-06-24,355.1,355.1,355.1,355.1,0
1998-06-25,355.4,355.4,355.4,355.4,0
1998-06-26,353.9,353.9,353.9,353.9,0
1998-06-29,354.0,354.0,354.0,354.0,0
1998-06-30,361.6,361.6,361.6,361.6,0
1998-07-01,370.5,370.5,370.5,370.5,0
1998-07-02,369.1,369.1,369.1,369.1,0
1998-07-06,373.8,373.8,373.8,373.8,0
1998-07-07,377.0,381.5,377.0,381.5,0
1998-07-08,382.6,382.6,382.6,382.6,0
1998-07-09,385.5,385.5,385.0,385.0,0
1998-07-10,378.8,378.8,378.8,378.8,0
1998-07-13,378.2,378.2,378.2,378.2,0
1998-07-14,383.4,383.4,383.4,383.4,0
1998-07-15,390.3,390.3,390.3,390.3,0
1998-07-16,398.0,398.0,398.0,398.0,0
1998-07-17,397.0,397.0,397.0,397.0,0
1998-07-20,393.0,393.0,391.6,391.6,0
1998-07-21,387.5,387.5,385.0,385.0,0
1998-07-22,381.5,381.5,381.5,381.5,0
1998-07-23,382.5,382.5,380.7,380.7,0
1998-07-24,378.3,378.3,378.3,378.3,0
1998-07-27,376.0,376.0,376.0,376.0,0
1998-07-28,384.0,384.0,384.0,384.0,0
1998-07-29,379.0,379.0,379.0,379.0,0
1998-07-30,379.2,379.2,379.2,379.2,0
1998-07-31,375.6,375.6,375.6,375.6,0
1998-08-03,371.0,371.0,370.2,370.2,0
1998-08-04,376.0,376.0,376.0,376.0,0
1998-08-05,379.4,379.4,379.4,379.4,0
1998-08-06,386.0,387.1,386.0,387.1,0
1998-08-07,385.5,385.5,382.6,382.6,0
1998-08-10,381.8,381.8,381.8,381.8,0
1998-08-11,377.4,377.4,377.4,377.4,0
1998-08-12,374.7,374.7,374.7,374.7,0
1998-08-13,377.8,377.8,377.8,377.8,0
1998-08-14,370.6,370.6,370.6,370.6,0
1998-08-17,366.5,366.5,366.5,366.5,0
1998-08-18,370.9,370.9,370.9,370.9,0
1998-08-19,372.3,372.3,372.3,372.3,0
1998-08-20,374.3,374.3,374.3,374.3,0
1998-08-21,370.8,370.8,370.8,370.8,0
1998-08-24,373.2,373.2,373.2,373.2,0
1998-08-25,367.3,367.3,367.3,367.3,0
1998-08-26,362.5,362.5,362.5,362.5,0
1998-08-27,355.2,355.2,355.2,355.2,0
1998-08-28,356.1,356.1,356.1,356.1,0
1998-08-31,360.0,360.0,360.0,360.0,0
1998-09-01,365.7,365.7,365.7,365.7,0
1998-09-02,371.9,371.9,371.9,371.9,0
1998-09-03,369.5,372.1,369.5,372.1,0
1998-09-04,369.2,369.2,369.2,369.2,0
1998-09-08,362.5,363.4,362.5,363.4,0
1998-09-09,362.2,362.2,362.2,362.2,0
1998-09-10,367.5,368.1,367.5,368.1,0
1998-09-11,369.1,369.1,369.1,369.1,0
1998-09-14,368.5,369.9,368.5,369.9,0
1998-09-15,370.6,370.6,370.6,370.6,0
1998-09-16,363.9,363.9,363.9,363.9,0
1998-09-17,362.0,362.6,362.0,362.6,0
1998-09-18,359.0,365.4,359.0,365.4,0
1998-09-21,357.8,357.8,357.8,357.8,0
1998-09-22,354.7,354.7,354.7,354.7,0
1998-09-23,356.7,356.7,356.7,356.7,0
1998-09-24,361.1,361.1,361.1,361.1,0
1998-09-25,355.6,355.6,355.6,355.6,0
1998-09-28,354.3,354.3,354.3,354.3,0
1998-09-29,350.5,352.5,348.5,348.5,0
1998-09-30,353.0,356.4,353.0,356.4,0
1998-10-01,356.0,357.0,353.9,353.9,0
1998-10-02,352.0,352.0,350.5,350.5,0
1998-10-05,356.3,356.3,339.9,339.9,0
1998-10-06,341.5,344.7,341.5,344.7,0
1998-10-07,350.0,354.0,350.0,354.0,0
1998-10-08,358.9,358.9,352.0,352.0,0
1998-10-09,350.5,350.5,346.5,346.5,0
1998-10-12,344.5,344.8,344.5,344.8,0
1998-10-13,345.8,345.8,345.8,345.8,0
1998-10-14,341.0,343.0,341.0,342.5,0
1998-10-15,343.0,344.5,343.0,344.5,0
1998-10-16,349.5,349.5,348.2,348.2,0
1998-10-19,342.5,342.5,339.5,339.5,0
1998-10-20,338.5,339.0,338.0,338.5,0
1998-10-21,340.5,343.0,340.5,343.0,0
1998-10-22,341.0,341.0,338.4,338.4,0
1998-10-23,341.0,341.2,340.0,341.2,0
1998-10-26,341.5,342.2,341.5,342.2,0
1998-10-27,344.5,346.4,344.5,345.1,0
1998-10-28,341.0,341.0,340.6,340.6,0
1998-10-29,340.0,341.0,338.2,338.2,0
1998-10-30,334.5,338.0,333.5,337.9,0
1998-11-02,334.5,341.5,333.5,339.8,0
1998-11-03,341.0,344.0,340.5,342.5,0
1998-11-04,345.0,348.1,345.0,348.1,0
1998-11-05,348.0,351.0,347.8,347.8,0
1998-11-06,343.0,344.0,342.0,343.0,0
1998-11-09,339.5,340.6,339.0,339.3,0
1998-11-10,340.5,341.0,338.5,338.8,0
1998-11-11,343.0,343.0,341.1,341.1,0
1998-11-12,346.0,353.0,345.5,352.0,0
1998-11-13,354.0,354.0,349.0,349.8,0
1998-11-16,350.0,353.2,349.0,353.2,0
1998-11-17,351.0,351.0,349.0,349.9,0
1998-11-18,352.5,355.5,352.5,353.4,0
1998-11-19,361.0,362.3,358.5,362.3,0
1998-11-20,359.5,363.5,356.5,357.5,0
1998-11-23,355.0,355.0,351.2,352.9,0
1998-11-24,353.5,355.5,352.0,355.1,0
1998-11-25,356.5,358.0,354.5,354.5,0
1998-11-30,354.5,356.5,353.5,355.8,0
1998-12-01,354.0,355.0,351.0,353.1,0
1998-12-02,350.0,351.0,347.5,347.7,0
1998-12-03,347.5,349.0,347.0,348.7,0
1998-12-04,351.0,351.0,349.0,349.5,0
1998-12-07,350.0,351.5,348.5,349.0,0
1998-12-08,349.5,349.5,347.9,347.9,0
1998-12-09,352.0,355.0,352.0,353.7,0
1998-12-10,356.0,357.0,352.0,352.0,0
1998-12-11,354.9,354.9,349.0,352.0,0
1998-12-15,353.5,355.5,351.5,353.5,0
1998-12-16,356.8,360.0,354.0,358.5,0
1998-12-17,359.5,360.0,349.0,351.5,0
1998-12-18,351.5,351.5,348.0,348.2,0
1998-12-21,349.0,350.0,345.5,347.5,0
1998-12-22,346.0,350.0,344.5,346.8,0
1998-12-23,345.0,349.8,344.3,349.2,0
1998-12-24,348.5,349.0,347.0,348.0,0
1998-12-28,349.0,351.8,347.0,351.0,0
1998-12-29,353.8,360.4,351.9,360.1,0
1998-12-30,362.5,365.5,360.1,363.9,0
1998-12-31,364.5,369.5,363.9,367.2,0
1999-01-04,366.0,367.5,360.0,366.8,0
1999-01-05,364.5,367.1,358.0,359.6,0
1999-01-06,363.0,365.5,357.1,358.1,0
1999-01-07,360.5,362.5,358.1,362.2,0
1999-01-08,362.5,364.9,358.0,362.4,0
1999-01-11,362.0,366.9,360.0,365.8,0
1999-01-12,364.0,367.5,355.0,357.0,0
1999-01-13,355.5,357.9,353.5,355.8,0
1999-01-14,354.0,357.0,354.0,354.9,0
1999-01-15,354.5,355.1,351.5,353.5,0
1999-01-19,353.5,355.8,352.5,355.5,0
1999-01-20,355.0,357.0,354.5,355.7,0
1999-01-21,355.5,357.0,354.5,354.7,0
1999-01-22,353.0,354.5,350.2,351.1,0
1999-01-25,351.1,355.0,349.8,353.5,0
1999-01-26,352.0,353.9,352.0,352.7,0
1999-01-27,350.8,352.5,346.0,347.1,0
1999-01-28,345.3,348.0,342.2,344.1,0
1999-01-29,345.5,348.0,344.0,346.9,0
1999-02-01,347.5,349.8,347.0,349.6,0
1999-02-02,348.0,357.0,348.0,355.6,0
