Date,open,high,low,close,volume
2022-02-15,2.1048,2.1048,2.1048,2.1048,0
2022-02-16,2.1268,2.1268,2.1268,2.1268,1
2022-02-17,2.1167,2.1167,2.1167,2.1167,0
2022-02-18,2.1427,2.1427,2.1427,2.1427,0
2022-02-22,2.1682,2.1682,2.1682,2.1682,0
2022-02-23,2.1901,2.1901,2.1901,2.1901,0
2022-02-24,2.15,2.15,2.15,2.15,0
2022-02-25,2.121,2.121,2.121,2.121,0
2022-02-28,2.1418,2.1418,2.1418,2.1418,0
2022-03-01,2.1792,2.1792,2.1792,2.1792,0
2022-03-02,2.2725,2.2725,2.2725,2.2725,0
2022-03-03,2.2752,2.2752,2.2752,2.2752,0
2022-03-04,2.4254,2.4254,2.4254,2.4254,24
2022-03-07,2.4384,2.4384,2.4384,2.4384,5
2022-03-08,2.3957,2.3957,2.3957,2.3957,21
2022-03-09,2.1921,2.1921,2.1921,2.1921,5
2022-03-10,2.1913,2.2121,2.1812,2.1913,5
2022-03-11,2.2738,2.2738,2.2738,2.2738,0
2022-03-14,2.19,2.19,2.19,2.19,0
2022-03-15,2.147,2.147,2.147,2.147,11
2022-03-16,2.1275,2.1275,2.1275,2.1275,0
2022-03-17,2.2407,2.2407,2.2407,2.2407,0
2022-03-18,2.2519,2.2519,2.2519,2.2519,0
2022-03-21,2.296,2.296,2.296,2.296,0
2022-03-22,2.2845,2.2845,2.2845,2.2845,0
2022-03-23,2.3289,2.3289,2.3289,2.3289,0
2022-03-24,2.2801,2.2801,2.2801,2.2801,0
2022-03-25,2.3145,2.3145,2.3145,2.3145,0
2022-03-28,2.2143,2.2143,2.2143,2.2143,0
2022-03-29,2.2195,2.2195,2.2195,2.2195,0
2022-03-30,2.287,2.287,2.287,2.287,0
2022-03-31,2.2598,2.2598,2.2598,2.2598,0
2022-04-01,2.3222,2.3222,2.3222,2.3222,0
2022-04-04,2.3706,2.3706,2.3706,2.3706,0
2022-04-05,2.3572,2.3572,2.3572,2.3572,0
2022-04-06,2.2896,2.2896,2.2896,2.2896,0
2022-04-07,2.333,2.333,2.333,2.333,0
2022-04-08,2.3585,2.3585,2.3585,2.3585,0
2022-04-11,2.3123,2.3123,2.3123,2.3123,0
2022-04-12,2.3838,2.3838,2.3838,2.3838,0
2022-04-13,2.4189,2.4189,2.4189,2.4189,0
2022-04-14,2.435,2.435,2.435,2.435,5
2022-04-18,2.4319,2.4319,2.4319,2.4319,2
2022-04-19,2.3449,2.3449,2.3449,2.3449,0
2022-04-20,2.3599,2.3599,2.3599,2.3599,0
2022-04-21,2.3995,2.3995,2.3995,2.3995,0
2022-04-22,2.3527,2.3527,2.3527,2.3527,0
2022-04-25,2.3145,2.3145,2.3145,2.3145,0
2022-04-26,2.3367,2.3367,2.3367,2.3367,0
2022-04-27,2.3328,2.3328,2.3328,2.3328,0
2022-04-28,2.3398,2.3398,2.3398,2.3398,0
2022-04-29,2.3196,2.3196,2.3196,2.3196,0
2022-05-02,2.3411,2.3411,2.3411,2.3411,0
2022-05-03,2.3654,2.3654,2.3654,2.3654,0
2022-05-04,2.469,2.469,2.469,2.469,0
2022-05-05,2.4774,2.4774,2.4774,2.4774,0
2022-05-06,2.4796,2.4796,2.4796,2.4796,0
2022-05-09,2.3561,2.3561,2.3561,2.3561,0
2022-05-10,2.3188,2.3188,2.3188,2.3188,0
2022-05-11,2.4207,2.4207,2.4207,2.4207,0
2022-05-12,2.409,2.409,2.409,2.409,0
2022-05-13,2.4597,2.4597,2.4597,2.4597,0
2022-05-16,2.4769,2.4769,2.4769,2.4769,0
2022-05-17,2.4496,2.4496,2.4496,2.4496,0
2022-05-18,2.3825,2.3825,2.3825,2.3825,0
2022-05-19,2.4122,2.4122,2.4122,2.4122,36
2022-05-20,2.3996,2.3996,2.3996,2.3996,0
2022-05-23,2.4117,2.4117,2.4117,2.4117,0
2022-05-24,2.4057,2.4057,2.4057,2.4057,0
2022-05-25,2.4401,2.4401,2.4401,2.4401,0
2022-05-26,2.4342,2.4342,2.4342,2.4342,0
2022-05-27,2.4271,2.4271,2.4271,2.4271,0
2022-05-31,2.3935,2.3935,2.3935,2.3935,1
2022-06-01,2.426,2.426,2.426,2.426,1
2022-06-02,2.4877,2.4877,2.4877,2.4877,0
2022-06-03,2.5129,2.5129,2.5129,2.5129,1
2022-06-06,2.5011,2.5011,2.5011,2.5011,0
2022-06-07,2.5566,2.5566,2.5566,2.5566,15
2022-06-08,2.5739,2.5739,2.5739,2.5739,23
2022-06-09,2.5705,2.5705,2.5705,2.5705,18
2022-06-10,2.5697,2.5697,2.5465,2.5564,17
2022-06-13,2.5547,2.5547,2.5547,2.5547,13
2022-06-14,2.5241,2.5241,2.5241,2.5241,34
2022-06-15,2.4925,2.4925,2.4925,2.4925,57
2022-06-16,2.5212,2.5212,2.5212,2.5212,86
2022-06-17,2.4188,2.4188,2.4188,2.4188,28
2022-06-21,2.4252,2.4252,2.4252,2.4252,30
2022-06-22,2.4148,2.4148,2.4148,2.4148,3
2022-06-23,2.3337,2.3337,2.3337,2.3337,16
2022-06-24,2.377,2.377,2.377,2.377,29
2022-06-27,2.398,2.398,2.398,2.398,2
2022-06-28,2.4788,2.4788,2.4788,2.4788,0
2022-06-29,2.4214,2.4214,2.4214,2.4214,0
2022-06-30,2.3768,2.3768,2.3768,2.3768,5
2022-07-01,2.4115,2.4115,2.4115,2.4115,0
2022-07-05,2.2339,2.2339,2.2339,2.2339,4
2022-07-06,2.1735,2.1735,2.1735,2.1735,2
2022-07-07,2.2687,2.2687,2.2687,2.2687,0
2022-07-08,2.3148,2.3148,2.3148,2.3148,0
2022-07-11,2.3319,2.3319,2.3319,2.3319,0
2022-07-12,2.1976,2.1976,2.1976,2.1976,0
2022-07-13,2.2163,2.2163,2.2163,2.2163,0
2022-07-14,2.184,2.184,2.184,2.184,3
2022-07-15,2.2124,2.2124,2.2124,2.2124,0
2022-07-18,2.2913,2.2913,2.2913,2.2913,12
2022-07-19,2.3096,2.3096,2.3096,2.3096,21
2022-07-20,2.3025,2.3025,2.3025,2.3025,2
2022-07-21,2.2523,2.2523,2.2523,2.2523,0
2022-07-22,2.2388,2.2388,2.2388,2.2388,0
2022-07-25,2.2824,2.2824,2.2824,2.2824,0
2022-07-26,2.2879,2.2879,2.2879,2.2879,21
2022-07-27,2.3439,2.3439,2.3439,2.3439,0
2022-07-28,2.3266,2.3266,2.3266,2.3266,0
2022-07-29,2.3775,2.3775,2.3438,2.3438,47
2022-08-01,2.281,2.281,2.2712,2.281,0
2022-08-02,2.3104,2.3104,2.3104,2.3104,0
2022-08-03,2.2615,2.3335,2.2615,2.2615,0
2022-08-04,2.1977,2.1977,2.1977,2.1977,0
2022-08-05,2.2025,2.2025,2.191,2.2025,0
2022-08-08,2.2275,2.2648,2.2225,2.2648,26
2022-08-09,2.265,2.2721,2.25,2.2649,21
2022-08-10,2.31,2.3255,2.2521,2.3255,13
2022-08-11,2.3456,2.3456,2.3456,2.3456,0
2022-08-12,2.3245,2.3245,2.3218,2.3245,0
2022-08-15,2.2724,2.2724,2.2606,2.2724,0
2022-08-16,2.2396,2.2396,2.2396,2.2396,2
2022-08-17,2.2436,2.2713,2.2436,2.2713,10
2022-08-18,2.2988,2.2988,2.2706,2.2979,33
2022-08-19,2.3149,2.3149,2.2659,2.3149,0
2022-08-22,2.2982,2.3179,2.2643,2.2982,28
2022-08-23,2.3082,2.3199,2.3082,2.3199,35
2022-08-24,2.2971,2.2971,2.2854,2.2971,2
2022-08-25,2.2463,2.2463,2.2463,2.2463,0
2022-08-26,2.2501,2.2501,2.2447,2.2501,30
2022-08-29,2.2985,2.2985,2.2985,2.2985,0
2022-08-30,2.2107,2.2107,2.2107,2.2107,23
2022-08-31,2.1759,2.1759,2.1759,2.1759,12
2022-09-01,2.1357,2.1357,2.1357,2.1357,8
2022-09-02,2.173,2.173,2.173,2.173,9
2022-09-06,2.1423,2.1423,2.1423,2.1423,0
2022-09-07,2.0865,2.1455,2.0664,2.0664,15
2022-09-08,2.1037,2.1037,2.1037,2.1037,0
2022-09-09,2.1844,2.1844,2.1844,2.1844,0
2022-09-12,2.1874,2.2043,2.1874,2.2043,28
2022-09-13,2.1973,2.1973,2.1672,2.1973,2
2022-09-14,2.2229,2.2229,2.1807,2.2229,8
2022-09-15,2.1457,2.1457,2.1457,2.1457,0
2022-09-16,2.1432,2.1432,2.1432,2.1432,3
2022-09-19,2.1532,2.1532,2.1017,2.1532,3
2022-09-20,2.1144,2.1144,2.1144,2.1144,0
2022-09-21,2.1118,2.1451,2.1118,2.1118,28
2022-09-22,2.127,2.1494,2.127,2.127,0
2022-09-23,2.04,2.04,2.04,2.04,0
2022-09-26,2.03,2.0477,1.9869,1.9869,40
2022-09-27,2.0267,2.0267,2.0267,2.0267,13
2022-09-28,2.0962,2.0962,2.0197,2.0962,38
2022-09-29,2.0491,2.0491,2.0491,2.0491,15
2022-09-30,2.025,2.025,2.02,2.025,28
2022-10-03,2.1,2.1,2.0874,2.0874,188
2022-10-04,2.1577,2.1577,2.1577,2.1577,1
2022-10-05,2.1973,2.1973,2.1469,2.1973,0
2022-10-06,2.2111,2.2111,2.1893,2.2111,2
2022-10-07,2.2639,2.2639,2.2639,2.2639,5
2022-10-10,2.2037,2.2037,2.2037,2.2037,0
2022-10-11,2.18,2.1891,2.18,2.1891,3
2022-10-12,2.1694,2.1694,2.1551,2.1694,3
2022-10-13,2.1875,2.2205,2.1468,2.2205,229
2022-10-14,2.1669,2.1669,2.1669,2.1669,1
2022-10-17,2.1584,2.1687,2.1584,2.1584,29
2022-10-18,2.1684,2.1731,2.1383,2.1731,45
2022-10-19,2.179,2.2002,2.161,2.2002,139
2022-10-20,2.167,2.167,2.167,2.167,29
2022-10-21,2.17,2.17,2.1696,2.1696,37
2022-10-24,2.1496,2.1596,2.147,2.1596,32
2022-10-25,2.1951,2.1951,2.1951,2.1951,11
2022-10-26,2.22,2.2272,2.22,2.2272,50
2022-10-27,2.2358,2.2358,2.2358,2.2358,46
2022-10-28,2.1998,2.1998,2.1998,2.1998,8
2022-10-31,2.1874,2.1874,2.1761,2.1874,22
2022-11-01,2.2311,2.2311,2.2311,2.2311,16
2022-11-02,2.263,2.2675,2.262,2.2675,204
2022-11-03,2.23,2.2459,2.2299,2.2459,176
2022-11-04,2.29,2.3122,2.29,2.3122,402
2022-11-07,2.2904,2.2904,2.2904,2.2904,65
2022-11-08,2.2477,2.2477,2.2477,2.2477,94
2022-11-09,2.1953,2.1953,2.1953,2.1953,47
2022-11-10,2.2252,2.2252,2.2252,2.2252,27
2022-11-11,2.2808,2.2808,2.2808,2.2808,109
2022-11-14,2.2675,2.2675,2.2279,2.2279,101
2022-11-15,2.235,2.2752,2.235,2.252,62
2022-11-16,2.2248,2.2248,2.2206,2.2248,52
2022-11-17,2.1783,2.1783,2.1783,2.1783,31
2022-11-18,2.1424,2.1424,2.1379,2.1424,42
2022-11-21,2.1644,2.1644,2.0875,2.1644,387
2022-11-22,2.1887,2.1911,2.1887,2.1887,5
2022-11-23,2.1767,2.1767,2.1473,2.1767,28
2022-11-25,2.119,2.119,2.119,2.119,44
2022-11-28,2.137,2.137,2.1032,2.137,273
2022-11-29,2.1686,2.1686,2.1349,2.1686,212
2022-11-30,2.2499,2.2499,2.2499,2.2499,125
2022-12-01,2.24,2.24,2.2273,2.2273,495
2022-12-02,2.225,2.225,2.2033,2.2101,4762
2022-12-05,2.1575,2.2512,2.1575,2.1581,4325
2022-12-06,2.11,2.11,2.1055,2.1055,4778
2022-12-07,2.0675,2.0675,2.0389,2.0389,4634
2022-12-08,2.0285,2.0513,2.0096,2.0096,4919
2022-12-09,2.0204,2.0204,2.0026,2.0089,848
2022-12-12,2.043,2.043,2.008,2.043,622
2022-12-13,2.0859,2.09,2.0675,2.0803,306
2022-12-14,2.0901,2.1404,2.0889,2.1357,962
2022-12-15,2.0948,2.095,2.08,2.0852,215
2022-12-16,2.0449,2.05,2.0275,2.0275,2122
2022-12-19,2.0435,2.057,2.038,2.054,619
2022-12-20,2.0551,2.083,2.0405,2.0816,516
2022-12-21,2.1105,2.1364,2.11,2.1276,309
2022-12-22,2.11,2.125,2.0943,2.1091,671
2022-12-23,2.2039,2.214,2.2039,2.2093,1099
2022-12-27,2.194,2.2174,2.194,2.1945,621
2022-12-28,2.18,2.188,2.1607,2.186,246
2022-12-29,2.171,2.178,2.1573,2.1771,54
2022-12-30,2.1891,2.253,2.1891,2.2524,222
2023-01-03,2.18,2.1857,2.153,2.1577,241
2023-01-04,2.0906,2.0989,2.0821,2.0877,1325
2023-01-05,2.1299,2.1299,2.0813,2.0929,410
2023-01-06,2.0813,2.0848,2.0759,2.0803,310
2023-01-09,2.1337,2.1337,2.1148,2.1191,91
2023-01-10,2.1466,2.1466,2.1252,2.1264,172
2023-01-11,2.1626,2.1984,2.1602,2.1958,488
2023-01-12,2.213,2.2255,2.2113,2.2195,874
2023-01-13,2.2152,2.2614,2.2152,2.2576,554
2023-01-17,2.2654,2.2821,2.253,2.2553,344
2023-01-18,2.2828,2.2989,2.2379,2.2436,483
2023-01-19,2.2749,2.2749,2.2704,2.2724,643
2023-01-20,2.2825,2.2935,2.2825,2.2917,923
2023-01-23,2.301,2.3028,2.3008,2.3012,334
2023-01-24,2.3024,2.3024,2.2717,2.2717,697
2023-01-25,2.2751,2.2751,2.248,2.248,387
2023-01-26,2.2699,2.2704,2.2677,2.268,160
2023-01-27,2.2862,2.2862,2.2373,2.2416,864
2023-01-30,2.197,2.197,2.1946,2.197,187
2023-01-31,2.1914,2.2408,2.1859,2.2352,310
2023-02-01,2.1614,2.1683,2.1614,2.1662,155
2023-02-02,2.1683,2.1683,2.1464,2.1529,660
2023-02-03,2.18,2.18,2.0595,2.0661,894
2023-02-06,2.0664,2.0935,2.04,2.0932,328
2023-02-07,2.1153,2.1525,2.1141,2.1518,331
2023-02-08,2.1535,2.1882,2.1528,2.1882,109
2023-02-09,2.1685,2.1847,2.158,2.1766,402
2023-02-10,2.2111,2.2169,2.2082,2.2157,738
2023-02-13,2.2009,2.2266,2.1947,2.2266,205
2023-02-14,2.202,2.2144,2.1955,2.2144,102
2023-02-15,2.228,2.228,2.2174,2.2174,121
2023-02-16,2.2157,2.2254,2.2074,2.2214,476
2023-02-17,2.1593,2.2,2.153,2.1959,522
2023-02-21,2.2008,2.2039,2.1883,2.1892,218
2023-02-22,2.1375,2.1462,2.137,2.1454,311
2023-02-23,2.1655,2.1676,2.1642,2.1666,94
2023-02-24,2.1242,2.1872,2.1242,2.1862,267
2023-02-27,2.1695,2.1748,2.168,2.1721,97
2023-02-28,2.2122,2.2122,2.1996,2.2112,287
2023-03-01,2.2006,2.2347,2.2003,2.2343,383
2023-03-02,2.2344,2.2532,2.229,2.2503,865
2023-03-03,2.2301,2.2987,2.2043,2.2937,444
2023-03-06,2.2716,2.3135,2.261,2.3135,359
2023-03-07,2.2973,2.2973,2.237,2.2463,404
2023-03-08,2.2201,2.2374,2.211,2.2289,211
2023-03-09,2.229,2.235,2.1815,2.1815,903
2023-03-10,2.1811,2.2119,2.171,2.2115,537
2023-03-13,2.1351,2.1655,2.117,2.165,356
2023-03-14,2.1238,2.155,2.099,2.1051,449
2023-03-15,2.0517,2.0517,1.967,2.0021,1459
2023-03-16,2.002,2.0333,1.965,2.0317,699
2023-03-17,2.0171,2.047,1.985,2.0048,577
2023-03-20,1.9886,2.0339,1.9879,2.0331,333
2023-03-21,2.0455,2.0513,2.033,2.0507,208
2023-03-22,2.0592,2.077,2.049,2.077,147
2023-03-23,2.0726,2.095,2.055,2.0651,464
2023-03-24,2.0275,2.0529,2.009,2.0505,562
2023-03-27,2.0805,2.1329,2.0798,2.1329,331
2023-03-28,2.126,2.1452,2.123,2.1398,1003
2023-03-29,2.1505,2.1505,2.1079,2.115,1125
2023-03-30,2.1356,2.137,2.113,2.1321,82
2023-03-31,2.1569,2.1739,2.131,2.172,253
2023-04-03,2.245,2.259,2.2406,2.2471,1057
2023-04-04,2.249,2.264,2.2265,2.2329,3181
2023-04-05,2.2399,2.2632,2.2314,2.2564,1296
2023-04-06,2.2521,2.2731,2.2478,2.2702,1296
2023-04-10,2.262,2.279,2.251,2.2661,873
2023-04-11,2.295,2.3049,2.257,2.3011,1260
2023-04-12,2.2808,2.3285,2.2808,2.3264,529
2023-04-13,2.3121,2.317,2.3015,2.3086,575
2023-04-14,2.3043,2.3125,2.295,2.3106,1117
2023-04-17,2.2955,2.2992,2.2686,2.2765,423
2023-04-18,2.2821,2.289,2.2643,2.2796,1314
2023-04-19,2.2285,2.2408,2.223,2.2257,1317
2023-04-20,2.1865,2.1865,2.167,2.1707,1148
2023-04-21,2.188,2.2,2.1861,2.1946,541
2023-04-24,2.185,2.2214,2.179,2.2214,385
2023-04-25,2.1765,2.1765,2.1583,2.1601,688
2023-04-26,2.1573,2.1611,2.1049,2.1072,1234
2023-04-27,2.1068,2.113,2.095,2.1001,690
2023-04-28,2.1116,2.144,2.109,2.1402,755
2023-05-01,2.1018,2.1339,2.0962,2.133,607
2023-05-02,2.1099,2.1099,2.0348,2.044,1764
2023-05-03,2.0,2.0023,1.959,1.9664,2171
2023-05-04,1.9786,1.985,1.948,1.9633,1719
2023-05-05,2.0,2.03,1.9982,2.0234,1592
2023-05-08,2.0579,2.0811,2.0528,2.0806,1478
2023-05-09,2.061,2.1018,2.041,2.1018,1253
2023-05-10,2.1016,2.1028,2.0754,2.0897,1735
2023-05-11,2.0531,2.0669,2.051,2.0545,949
2023-05-12,2.0576,2.06,2.0166,2.0194,922
2023-05-15,2.029,2.057,2.026,2.0514,1577
2023-05-16,2.0512,2.061,2.0368,2.0451,1451
2023-05-17,2.0505,2.1124,2.0499,2.1094,2104
2023-05-18,2.1032,2.1032,2.0776,2.0861,1412
2023-05-19,2.1209,2.1209,2.069,2.0733,1223
2023-05-22,2.0636,2.0882,2.0631,2.0832,1331
2023-05-23,2.1061,2.1169,2.0949,2.103,2509
2023-05-24,2.1254,2.1453,2.1089,2.1443,1891
2023-05-25,2.1072,2.1151,2.0671,2.0872,1333
2023-05-26,2.0969,2.117,2.0969,2.1128,1530
2023-05-30,2.0754,2.0777,2.0221,2.0273,1207
2023-05-31,2.0161,2.0248,1.9775,1.9983,2129
2023-06-01,1.9923,2.0481,1.9854,2.0255,1573
2023-06-02,2.0568,2.0864,2.0568,2.0775,3822
2023-06-05,2.1026,2.1186,2.0784,2.0844,2770
2023-06-06,2.0785,2.0934,2.0465,2.0876,6115
2023-06-07,2.1036,2.1251,2.0901,2.1164,3745
2023-06-08,2.1154,2.1215,2.0368,2.0854,2788
2023-06-09,2.0975,2.0975,2.056,2.0586,2808
2023-06-12,2.0362,2.0362,1.9864,1.992,2099
2023-06-13,2.0345,2.0597,2.0345,2.0481,2968
2023-06-14,2.0673,2.0676,2.024,2.0281,1644
2023-06-15,2.0425,2.0965,2.0248,2.0922,2557
2023-06-16,2.0915,2.133,2.0888,2.1302,2750
2023-06-20,2.1091,2.1176,2.0643,2.0854,3114
2023-06-21,2.0854,2.1124,2.0625,2.1089,2933
2023-06-22,2.0653,2.0719,2.0329,2.0491,2128
2023-06-23,2.0198,2.0362,1.9915,2.0307,1881
2023-06-26,2.0348,2.0583,2.0248,2.0446,1346
2023-06-27,2.0593,2.0593,1.9986,2.0022,2080
2023-06-28,2.001,2.0549,1.9942,2.0537,2660
2023-06-29,2.0561,2.0731,2.0408,2.0654,2055
2023-06-30,2.0573,2.0993,2.0573,2.0981,3020
2023-07-03,2.0841,2.1028,2.05,2.0519,1825
2023-07-05,2.0932,2.1126,2.0839,2.1052,4447
2023-07-06,2.1065,2.1098,2.0562,2.1071,4277
2023-07-07,2.1099,2.1535,2.099,2.1515,5440
2023-07-10,2.1394,2.1648,2.1317,2.1466,3524
2023-07-11,2.1574,2.1962,2.1574,2.1943,4480
2023-07-12,2.1911,2.2286,2.1856,2.2249,5136
2023-07-13,2.2245,2.2503,2.2095,2.247,4208
2023-07-14,2.2463,2.2486,2.2058,2.2151,3933
2023-07-17,2.1937,2.2299,2.1821,2.1961,3838
2023-07-18,2.2084,2.2345,2.1929,2.2308,7013
2023-07-19,2.2327,2.2573,2.2187,2.2375,7813
2023-07-20,2.2369,2.259,2.2246,2.2555,5899
2023-07-21,2.2689,2.2956,2.2549,2.2948,5869
2023-07-24,2.2822,2.3483,2.2726,2.3316,10199
2023-07-25,2.3187,2.3395,2.3058,2.337,5576
