Date,open,high,low,close,volume
2019-06-17,971.25,971.25,971.25,971.25,0
2019-06-18,970.0,970.0,970.0,970.0,0
2019-06-19,964.75,964.75,964.75,964.75,0
2019-06-20,973.75,973.75,973.75,973.75,0
2019-06-21,962.75,962.75,962.75,962.75,0
2019-06-24,966.0,966.0,966.0,966.0,0
2019-06-25,961.5,961.5,961.5,961.5,0
2019-06-26,957.75,957.75,957.75,957.75,0
2019-06-27,958.0,958.0,958.0,958.0,0
2019-06-28,969.0,969.0,969.0,969.0,0
2019-07-01,960.0,960.0,960.0,960.0,0
2019-07-02,954.5,954.5,954.5,954.5,0
2019-07-03,961.0,961.0,961.0,961.0,0
2019-07-05,951.0,951.0,951.0,951.0,0
2019-07-08,953.75,953.75,953.75,953.75,0
2019-07-09,962.0,962.0,962.0,962.0,0
2019-07-10,969.0,969.0,969.0,969.0,0
2019-07-11,972.5,972.5,972.5,972.5,0
2019-07-12,983.0,983.0,983.0,983.0,0
2019-07-15,974.0,974.0,974.0,974.0,0
2019-07-16,962.75,962.75,962.75,962.75,0
2019-07-17,957.75,957.75,957.75,957.75,0
2019-07-18,958.0,958.0,958.0,958.0,0
2019-07-19,971.75,971.75,971.75,971.75,0
2019-07-22,961.5,961.5,961.5,961.5,0
2019-07-23,961.5,961.5,961.5,961.5,0
2019-07-24,966.0,966.0,966.0,966.0,0
2019-07-25,961.0,961.0,961.0,961.0,0
2019-07-26,964.0,964.0,964.0,964.0,0
2019-07-29,969.0,969.0,969.0,969.0,0
2019-07-30,966.25,966.25,966.25,966.25,0
2019-07-31,957.25,957.25,957.25,957.25,0
2019-08-01,947.5,947.5,947.5,947.5,0
2019-08-02,947.75,947.75,947.75,947.75,0
2019-08-05,947.75,947.75,947.75,947.75,0
2019-08-06,944.75,944.75,944.75,944.75,0
2019-08-07,944.75,944.75,944.75,944.75,0
2019-08-08,959.25,959.25,959.25,959.25,0
2019-08-09,966.75,966.75,966.75,966.75,0
2019-08-12,961.75,961.75,961.75,961.75,3
2019-08-13,966.75,966.75,966.75,966.75,0
2019-08-14,955.0,955.0,955.0,955.0,2
2019-08-15,948.5,948.5,948.5,948.5,0
2019-08-16,958.25,958.25,958.25,958.25,0
2019-08-19,946.0,946.0,946.0,946.0,0
2019-08-20,946.0,946.0,946.0,946.0,7
2019-08-21,949.5,949.5,949.5,949.5,16
2019-08-22,946.0,946.0,946.0,946.0,2
2019-08-23,943.25,943.25,943.25,943.25,2
2019-08-26,951.5,951.5,951.5,951.5,0
2019-08-27,947.5,947.5,947.5,947.5,22
2019-08-28,952.75,952.75,952.75,952.75,0
2019-08-29,953.5,953.5,953.5,953.5,0
2019-08-30,953.5,953.5,953.5,953.5,5
2019-09-03,955.5,955.5,955.5,955.5,0
2019-09-04,959.0,959.0,959.0,959.0,3
2019-09-05,946.75,946.75,946.75,946.75,10
2019-09-06,945.5,945.5,945.5,945.5,4
2019-09-09,949.0,949.0,949.0,949.0,4
2019-09-10,950.25,950.25,950.25,950.25,114
2019-09-11,948.75,948.75,948.75,948.75,11
2019-09-12,967.75,967.75,967.75,967.75,50
2019-09-13,966.5,966.5,966.5,966.5,54
2019-09-16,970.25,970.25,970.25,970.25,17
2019-09-17,969.25,969.25,969.25,969.25,5
2019-09-18,964.5,964.5,964.5,964.5,6
2019-09-19,960.75,960.75,960.75,960.75,11
2019-09-20,953.75,953.75,953.75,953.75,2
2019-09-23,955.5,955.5,955.5,955.5,43
2019-09-24,954.5,954.5,954.5,954.5,56
2019-09-25,952.75,952.75,952.75,952.75,36
2019-09-26,952.75,952.75,952.75,952.75,36
2019-09-27,949.0,949.0,949.0,949.0,77
2019-09-30,956.5,956.5,956.5,956.5,121
2019-10-01,957.25,957.25,957.25,957.25,86
2019-10-02,960.75,960.75,960.75,960.75,60
2019-10-03,960.5,960.5,960.5,960.5,41
2019-10-04,960.25,960.25,960.25,960.25,83
2019-10-07,960.75,960.75,960.75,960.75,57
2019-10-08,966.5,966.5,966.5,966.5,103
2019-10-09,966.5,966.5,966.5,966.5,197
2019-10-10,962.5,962.5,962.5,962.5,107
2019-10-11,963.75,963.75,963.75,963.75,179
2019-10-14,965.25,965.25,965.25,965.25,49
2019-10-15,963.75,963.75,963.75,963.75,34
2019-10-16,962.0,962.0,962.0,962.0,84
2019-10-17,959.5,959.5,959.5,959.5,406
2019-10-18,963.0,963.0,963.0,963.0,192
2019-10-21,965.5,965.5,965.5,965.5,118
2019-10-22,967.75,967.75,967.75,967.75,77
2019-10-23,966.5,966.5,966.5,966.5,426
2019-10-24,971.75,971.75,971.75,971.75,183
2019-10-25,965.0,965.0,965.0,965.0,215
2019-10-28,968.25,968.25,968.25,968.25,74
