Date,open,high,low,close,volume
2018-01-02,15.08,15.34,15.04,15.33,99638
2018-01-03,15.35,15.37,15.18,15.31,100997
2018-01-04,15.27,15.34,14.85,15.25,110662
2018-01-05,15.18,15.24,14.98,15.08,77149
2018-01-08,14.99,15.05,14.54,14.78,152824
2018-01-09,14.74,14.77,14.42,14.73,137262
2018-01-10,14.7,14.85,14.53,14.65,117859
2018-01-11,14.54,14.58,14.11,14.18,164969
2018-01-12,14.25,14.29,13.96,14.18,155522
2018-01-16,14.1,14.11,13.57,13.59,207753
2018-01-17,13.64,13.74,13.35,13.42,183108
2018-01-18,13.46,13.59,13.02,13.08,188543
2018-01-19,13.15,13.45,13.02,13.25,145681
2018-01-22,13.31,13.47,13.16,13.17,112740
2018-01-23,13.1,13.28,13.1,13.19,111405
2018-01-24,13.19,13.25,13.04,13.16,126392
2018-01-25,13.23,13.38,13.09,13.24,155321
2018-01-26,13.29,13.45,13.21,13.36,112131
2018-01-29,13.45,13.7,13.4,13.67,180072
2018-01-30,13.69,13.75,13.48,13.72,184356
2018-01-31,13.72,13.72,13.17,13.23,199250
2018-02-01,13.23,13.44,13.23,13.37,173650
2018-02-02,13.4,13.66,13.36,13.63,142156
2018-02-05,13.66,13.92,13.28,13.9,213122
2018-02-06,13.9,14.04,13.7,13.84,192448
2018-02-07,13.84,14.04,13.62,14.0,231533
2018-02-08,14.0,14.03,13.55,13.58,212862
2018-02-09,13.63,13.77,13.49,13.55,274881
2018-02-12,13.6,13.7,13.43,13.61,232449
2018-02-13,13.53,13.6,13.29,13.44,243097
2018-02-14,13.4,13.48,13.26,13.31,189549
2018-02-15,13.39,13.59,13.32,13.51,193981
2018-02-16,13.55,13.55,13.2,13.28,139698
2018-02-20,13.38,13.44,13.23,13.29,140504
2018-02-21,13.25,13.37,13.21,13.27,118400
2018-02-22,13.28,13.63,13.28,13.58,133952
2018-02-23,13.58,13.59,13.42,13.46,132791
2018-02-26,13.43,13.56,13.31,13.43,116520
