Date,open,high,low,close,volume
2000-01-31,5.321,5.321,5.321,5.321,0
2000-02-01,5.257,5.257,5.257,5.257,0
2000-02-02,5.244,5.244,5.244,5.244,0
2000-02-03,5.292,5.292,5.292,5.292,0
2000-02-04,5.576,5.576,5.576,5.576,0
2000-02-07,5.289,5.289,5.289,5.289,0
2000-02-08,5.344,5.344,5.344,5.344,0
2000-02-09,5.434,5.434,5.434,5.434,0
2000-02-10,5.429,5.429,5.429,5.429,0
2000-02-11,5.354,5.354,5.354,5.354,0
2000-02-14,5.274,5.274,5.274,5.274,0
2000-02-16,5.309,5.309,5.309,5.309,0
2000-02-17,5.269,5.269,5.269,5.269,0
2000-02-18,5.287,5.287,5.287,5.287,0
2000-02-22,5.297,5.297,5.297,5.297,0
2000-02-23,5.283,5.283,5.283,5.283,0
2000-02-25,5.067,5.067,5.067,5.067,0
2000-02-28,5.089,5.089,5.089,5.089,0
2000-02-29,5.087,5.087,5.087,5.087,0
2000-03-01,5.112,5.112,5.112,5.112,0
2000-03-02,5.042,5.042,5.042,5.042,0
2000-03-03,5.132,5.132,5.132,5.132,0
2000-03-06,5.086,5.086,5.086,5.086,0
2000-03-07,5.102,5.102,5.102,5.102,0
2000-03-08,5.11,5.11,5.11,5.11,0
2000-03-09,5.13,5.13,5.13,5.13,0
2000-03-10,5.097,5.097,5.097,5.097,0
2000-03-13,5.097,5.097,5.097,5.097,0
2000-03-14,5.112,5.112,5.112,5.112,0
2000-03-15,5.145,5.145,5.145,5.145,0
2000-03-16,5.123,5.123,5.123,5.123,0
2000-03-17,5.11,5.11,5.11,5.11,0
2000-03-20,5.2,5.2,5.048,5.048,0
2000-03-21,5.138,5.138,5.138,5.138,0
2000-03-22,5.147,5.147,5.147,5.147,0
2000-03-23,5.103,5.103,5.103,5.103,0
2000-03-24,5.128,5.128,5.128,5.128,0
2000-03-27,5.1,5.1,5.1,5.1,0
2000-03-28,5.083,5.083,5.083,5.083,0
2000-03-29,4.96,4.96,4.96,4.96,0
2000-03-30,4.963,4.963,4.963,4.963,0
2000-03-31,5.02,5.02,5.02,5.02,0
