Date,open,high,low,close,volume
1999-01-15,251.0,252.0,251.0,251.0,0
1999-01-19,250.0,251.0,250.0,251.0,0
1999-01-20,251.5,253.0,251.25,252.75,0
1999-01-21,254.0,254.5,252.0,253.5,0
1999-01-22,255.0,255.0,253.5,253.5,0
1999-01-25,250.5,255.5,250.0,255.25,0
1999-01-26,255.0,256.5,255.0,255.5,0
1999-01-27,255.5,255.5,254.5,254.5,0
1999-01-28,254.0,255.0,253.5,255.0,0
1999-01-29,256.0,256.0,255.0,255.0,0
1999-02-01,254.0,256.0,253.5,256.0,0
1999-02-02,256.0,256.75,256.0,256.0,0
1999-02-03,256.0,256.0,255.0,255.25,0
1999-02-04,255.0,256.0,255.0,255.5,0
1999-02-05,255.0,255.5,255.0,255.5,0
1999-02-08,255.5,256.0,255.25,256.0,0
1999-02-09,256.0,256.0,255.0,255.0,0
1999-02-10,255.75,257.75,255.75,257.0,0
1999-02-11,257.0,257.0,255.0,255.0,0
1999-02-12,255.0,255.0,254.0,254.0,0
1999-02-16,254.5,255.0,253.0,253.5,0
1999-02-17,253.75,253.75,252.5,253.25,0
1999-02-18,253.5,256.0,253.5,255.25,0
1999-02-19,255.25,255.5,254.0,255.5,0
1999-02-22,254.5,254.5,251.5,254.0,0
1999-02-23,255.0,255.5,254.5,254.5,0
1999-02-24,254.0,254.0,251.0,251.0,0
1999-02-25,250.5,251.5,250.0,250.0,0
1999-02-26,250.0,250.0,249.0,249.0,0
1999-03-01,249.0,251.5,249.0,249.0,0
1999-03-02,251.0,254.5,251.0,252.0,0
1999-03-03,252.0,253.25,252.0,252.5,0
1999-03-04,254.0,255.75,253.5,253.5,0
1999-03-05,253.0,254.0,252.5,253.25,0
1999-03-08,255.0,258.75,255.0,258.5,0
1999-03-09,258.5,258.75,256.5,257.5,0
1999-03-10,257.0,260.0,257.0,259.5,0
1999-03-11,259.0,260.0,259.0,259.5,0
1999-03-12,258.0,258.5,258.0,258.25,0
1999-03-15,256.5,257.0,256.25,256.75,0
1999-03-16,257.5,260.0,257.5,258.5,0
1999-03-17,259.5,262.0,259.5,260.5,0
1999-03-18,259.5,261.0,259.25,259.75,0
1999-03-19,260.0,262.0,260.0,262.0,0
1999-03-22,262.0,264.0,262.0,263.5,0
1999-03-23,262.5,262.5,261.0,261.0,0
1999-03-24,261.5,261.75,261.0,261.5,0
1999-03-25,260.5,262.5,260.5,262.25,0
1999-03-26,262.5,264.5,262.5,264.25,0
1999-03-29,262.0,263.0,262.0,263.0,0
1999-03-30,262.5,265.0,262.5,264.0,0
1999-03-31,263.0,263.0,259.0,259.0,0
1999-04-01,259.0,259.75,258.0,258.0,0
1999-04-05,256.5,258.0,256.5,258.0,0
1999-04-06,256.5,258.0,256.5,258.0,0
1999-04-07,257.5,259.75,257.5,259.25,0
1999-04-08,258.0,259.0,257.0,257.0,0
1999-04-09,257.0,259.0,257.0,258.5,0
1999-04-12,257.5,258.0,256.0,256.0,0
1999-04-13,256.25,257.0,256.25,256.25,0
1999-04-14,258.0,259.0,257.0,257.5,0
1999-04-15,257.0,260.0,257.0,259.5,0
1999-04-16,257.0,259.5,257.0,257.5,0
1999-04-19,259.0,260.0,258.5,259.0,0
1999-04-20,260.0,262.5,260.0,262.5,0
1999-04-21,260.0,261.25,260.0,261.25,0
1999-04-22,258.0,262.0,258.0,258.0,0
1999-04-23,259.5,259.5,257.5,258.5,0
1999-04-26,256.25,256.25,254.5,255.0,0
1999-04-27,256.0,256.5,252.0,252.25,0
1999-04-28,253.5,254.0,252.0,252.75,0
1999-04-29,254.0,254.0,251.0,251.0,0
1999-04-30,251.0,252.0,251.0,251.0,0
1999-05-03,253.0,253.5,251.0,253.0,0
1999-05-04,254.0,256.5,254.0,255.75,0
1999-05-05,254.0,255.0,254.0,254.0,0
1999-05-06,252.5,254.0,252.5,253.5,0
1999-05-07,252.0,253.5,251.75,253.25,0
1999-05-10,252.5,255.0,252.5,255.0,0
1999-05-11,255.0,256.5,255.0,256.0,0
1999-05-12,256.5,259.0,256.5,256.75,0
1999-05-13,258.25,258.5,257.0,257.5,0
1999-05-14,258.0,258.5,254.0,254.5,0
1999-05-17,255.5,257.0,255.5,255.75,0
1999-05-18,254.5,254.5,252.75,253.75,0
1999-05-19,252.75,254.5,252.75,253.25,0
1999-05-20,253.25,254.0,253.25,253.75,0
1999-05-21,253.25,253.5,252.5,252.75,0
1999-05-24,252.0,252.0,248.25,248.75,0
1999-05-25,249.5,251.25,249.0,251.0,0
1999-05-26,250.0,251.25,250.0,251.0,0
1999-05-27,251.0,252.5,251.0,252.25,0
1999-05-28,253.5,254.75,253.5,253.75,0
1999-06-01,250.5,251.5,250.0,251.25,0
1999-06-02,251.5,252.0,250.5,251.5,0
1999-06-03,252.5,257.5,252.5,257.0,0
1999-06-04,256.5,257.25,254.25,254.5,0
1999-06-07,257.0,259.75,257.0,258.75,0
1999-06-08,256.5,257.5,256.0,257.5,0
1999-06-09,255.5,257.0,255.0,255.5,0
1999-06-10,254.5,255.5,254.25,255.25,0
1999-06-11,254.25,255.0,252.5,253.0,0
1999-06-14,250.25,253.25,250.25,253.0,0
1999-06-15,251.75,252.0,249.0,249.25,0
1999-06-16,249.75,251.5,249.25,251.0,0
1999-06-17,252.0,253.0,250.5,252.0,0
1999-06-18,252.5,254.0,252.5,253.5,0
1999-06-21,255.0,255.0,251.0,252.25,0
1999-06-22,252.25,252.25,249.5,249.75,0
1999-06-23,250.0,250.25,249.5,250.0,0
1999-06-24,248.0,248.0,247.0,247.5,0
1999-06-25,247.5,248.75,247.5,247.75,0
1999-06-28,247.0,249.0,246.75,247.5,0
1999-06-29,250.0,251.0,249.5,249.5,0
1999-06-30,250.5,251.0,249.5,250.75,0
1999-07-01,248.5,248.5,246.0,246.0,0
1999-07-02,246.0,246.0,243.25,243.25,0
1999-07-06,243.0,243.0,236.0,238.5,0
1999-07-07,238.5,240.5,238.0,240.0,0
1999-07-08,240.0,241.5,236.75,237.0,0
1999-07-09,238.0,238.0,234.0,235.0,0
1999-07-12,237.5,237.5,232.5,234.75,0
1999-07-13,233.25,234.75,233.25,234.5,0
1999-07-14,235.5,239.5,235.5,238.5,0
1999-07-15,237.5,243.0,237.5,242.75,0
1999-07-16,243.5,243.5,235.5,236.0,0
1999-07-19,238.0,240.0,237.5,238.25,0
1999-07-20,238.75,242.5,237.75,242.0,0
1999-07-21,244.0,251.75,244.0,248.75,0
1999-07-22,248.0,250.0,245.0,245.5,0
1999-07-23,249.75,252.0,248.5,250.0,0
1999-07-26,243.5,248.0,243.0,246.75,0
1999-07-27,246.0,246.0,242.0,242.75,0
1999-07-28,243.0,244.5,241.0,241.25,0
1999-07-29,240.0,244.0,240.0,243.75,0
1999-07-30,241.5,245.0,241.5,243.75,0
1999-08-02,245.25,252.5,245.25,251.75,0
1999-08-03,251.75,255.75,251.0,253.0,0
1999-08-04,253.0,258.0,251.5,257.75,0
1999-08-05,254.75,256.75,253.0,256.25,0
