direction,run,date,baseline_ticker,gps_ticker,baseline_value,gps_value
long,1,2016-01-01,GD,GD,982.4642244886455,982.4642244886455
long,1,2016-02-01,ZC,ZC,949.7047721141297,949.7047721141297
long,1,2016-03-01,HO,HO,1020.5806714714034,1020.5806714714034
long,1,2016-04-01,CP,CP,1087.337580902262,1087.337580902262
long,1,2016-05-01,NG,HE,1043.740902396866,1074.9902535701056
long,1,2016-06-01,CF,ZS,1126.888262946195,1151.1810167884555
long,1,2016-07-01,SU,SV,1118.9783922826414,1064.5581233621065
long,1,2016-08-01,ZW,CT,965.1194067415139,969.1427900644475
long,1,2016-09-01,NG,CF,799.3176439899572,1016.2846828564179
long,1,2016-10-01,ZS,NG,807.2978080079947,1060.1325748334073
long,1,2016-11-01,SU,CP,755.626580799152,1184.970009999872
long,1,2016-12-01,CT,SV,731.1749763221417,1243.5713483692487
long,1,2017-01-01,GD,LE,785.8021118778448,1298.9123399921953
long,1,2017-02-01,HO,GD,778.5902030555354,1315.101503083269
long,1,2017-03-01,CO,ZS,726.1978681508092,1218.3162739902154
long,1,2017-04-01,NG,CF,650.9076438484412,1186.2956352618946
long,1,2017-05-01,HO,SV,720.4565445583424,1240.0366325983657
long,1,2017-06-01,CF,HE,719.436209914123,1508.1982266687487
long,1,2017-07-01,SU,CT,731.4091882453666,1419.2832058959375
long,1,2017-08-01,CF,SV,679.3423049683132,1278.087151966164
long,1,2017-09-01,NG,HE,565.7117292012014,1131.8401789958184
long,1,2017-10-01,ZS,CT,560.6781073675745,1179.0473820413156
long,1,2017-11-01,SU,CC,604.3245348543036,1165.059592303115
long,1,2017-12-01,CT,SV,678.9590067012394,1215.9450744294445
long,1,2018-01-01,GD,HE,726.6979049352573,1245.7392305547303
long,1,2018-02-01,CP,CC,699.0680245785964,1361.833872216587
long,1,2018-03-01,HO,ZS,685.4041684846424,1365.6443853799171
long,1,2018-04-01,NG,CF,674.4617185205344,1260.9047971021348
long,1,2018-05-01,HO,SV,725.6569984298221,1267.0250938262914
long,1,2018-06-01,CF,LE,696.8646936580884,1264.3291840572392
long,1,2018-07-01,SU,ZW,631.299792866426,1582.2290121306878
long,1,2018-08-01,CF,SV,518.1818676564778,1394.375343352602
long,1,2018-09-01,NG,GD,525.1173875116077,1385.3975639154924
long,1,2018-10-01,ZS,GD,556.8039430385154,1424.1371940181034
long,1,2018-11-01,SU,ZC,519.9906317601581,1460.8782415584028
long,1,2018-12-01,CP,SV,479.042126013667,1621.8453386188319
long,1,2019-01-01,GD,CC,505.71199663364314,1516.5397329504576
long,1,2019-02-01,ZC,CO,501.16203089503983,1426.8249086598219
long,1,2019-03-01,HO,CC,492.246590432408,1429.6368586273995
long,1,2019-04-01,NG,CP,430.63856981953984,1498.6692229636055
long,1,2019-05-01,HO,SV,395.98914679660953,1430.4146342203899
long,1,2019-06-01,CF,ZC,401.2609411129123,1509.8044972386058
long,1,2019-07-01,CC,HE,390.51761253865743,1308.3446911928163
long,1,2019-08-01,CT,LE,392.6467768367282,1275.6581025860635
long,1,2019-09-01,NG,CF,454.2839860071396,1404.99925819479
long,1,2019-10-01,ZS,LE,468.9658504137501,1492.3752502713962
long,1,2019-11-01,NG,CC,357.5871558954571,1874.1630686262167
long,1,2019-12-01,CP,SV,384.1472831087785,2192.1238889873594
long,1,2020-01-01,GD,CF,395.9991812505182,1615.0279946512762
long,1,2020-02-01,HO,CF,388.8709893182645,1587.1800206094995
long,1,2020-03-01,CT,ZS,328.7514690239911,1520.4320392063323
long,1,2020-04-01,NG,CT,330.691399249665,1544.8083050219418
long,1,2020-05-01,HO,SU,325.1439229284277,1665.7028035337269
long,1,2020-06-01,CO,ZW,378.7883592083002,1573.5974505944787
long,1,2020-07-01,CC,HO,392.59156673428805,1473.8622358490459
long,1,2020-08-01,GD,NG,395.21604517812,2677.493241052791
long,1,2020-09-01,SU,ZS,505.6403139030821,2954.9164211703323
long,1,2020-10-01,CP,SV,502.49470863496714,2971.797406353712
long,1,2020-11-01,NG,ZC,440.5696269499529,2846.459066497602
long,1,2020-12-01,CT,ZW,496.1742485286464,3201.4866150290836
long,1,2021-01-01,GD,ZS,457.04766624537626,3775.1872682941203
long,1,2021-02-01,HO,CO,552.7578821382583,4488.075837268342
long,1,2021-03-01,ZW,CF,575.2498512864994,3460.397727915378
long,1,2021-04-01,NG,ZC,582.1454900027765,4432.905229245935
long,1,2021-05-01,HO,SV,690.3158040035858,4880.255706780454
long,1,2021-06-01,CO,ZS,470.46875777267485,4623.215269124833
long,1,2021-07-01,CC,ZW,426.7488364452,4985.6521314938445
long,1,2021-08-01,GD,CP,431.05409526810223,4782.482433105082
long,1,2021-09-01,SU,NG,394.3890798937367,5401.029816398634
long,1,2021-10-01,CO,SV,413.45728794968903,5104.338540680891
long,1,2021-11-01,NG,ZW,311.9086017198569,5107.976263439787
long,1,2021-12-01,CT,CC,331.2526637235579,5568.462941299757
long,1,2022-01-01,SV,HO,330.2311436971226,8658.367126334553
long,1,2022-02-01,HO,GD,335.7940928336789,9084.54777710882
long,1,2022-03-01,ZW,HO,358.3492159035454,10077.04831156643
long,1,2022-04-01,CT,HO,438.70194954954354,12043.391145641952
long,1,2022-05-01,HO,GD,440.9452659615357,11406.103755653112
long,1,2022-06-01,ZW,HE,362.81510192001355,11450.815688997835
long,1,2022-07-01,CF,HO,350.5339592880768,7695.850728654985
long,1,2022-08-01,GD,CP,322.46509721764994,8193.459840816515
long,1,2022-09-01,SU,CO,300.7259984738488,7490.450635845689
long,1,2022-10-01,ZS,HE,321.3922269181025,8369.628823951854
long,1,2022-11-01,CF,ZW,308.15753883453897,7279.343716095261
long,1,2022-12-01,CP,SU,309.7786652170356,7645.734027182067
long,1,2023-01-01,SV,CP,254.738213146438,9347.81876129931
long,1,2023-02-01,HO,GD,241.4816089434995,8842.595058598174
long,1,2023-03-01,ZW,CO,216.02295625879978,8312.068611217304
long,1,2023-04-01,CT,LE,206.0732611297951,8526.69127459307
long,1,2023-05-01,CO,SU,202.6447271664358,7860.493198478129
long,1,2023-06-01,ZW,CP,210.0307647104474,8351.329712675875
long,1,2023-07-01,NG,CP,169.19075252578023,9120.37260636986
long,1,2023-08-01,NG,CC,201.25503687980395,9510.659076543308
long,1,2023-09-01,ZW,HE,186.07361760347666,8207.664912630895
long,1,2023-10-01,ZC,SU,191.59816042611976,7684.222873251527
long,1,2023-11-01,CF,ZS,212.7082887417279,7750.451595684471
long,1,2023-12-01,GD,SU,221.70090619281626,6536.892825220705
long,1,2024-01-01,ZC,NG,215.1760195650398,5269.856510885295
long,1,2024-02-01,CC,CF,252.63148936646647,5172.3423858070055
long,1,2024-03-01,SV,ZC,250.43487418430152,5036.98353451874
long,1,2024-04-01,SU,LE,210.05490361435085,4779.199278824171
long,1,2024-05-01,CO,SU,187.00597798879727,4244.751867006481
long,1,2024-06-01,ZW,CP,162.26044443044145,4350.580122592002
long,1,2024-07-01,NG,CP,117.37846797805358,3622.2932731332803
long,1,2024-08-01,NG,HO,161.46289670155466,3777.4530724225297
long,1,2024-09-01,ZW,CT,154.49963563532114,3931.504394316772
long,1,2024-10-01,ZC,SV,145.43808152889562,4431.414657415403
long,1,2024-11-01,CF,LE,184.19033628979892,4689.014069628393
long,1,2024-12-01,GD,CF,183.57669138464848,4953.360641869219
short,1,2016-01-01,ZS,ZS,956.4596481167591,956.4596481167591
short,1,2016-02-01,NG,NG,1429.1051622706111,1429.1051622706111
short,1,2016-03-01,SU,SU,1255.989048112583,1255.989048112583
short,1,2016-04-01,SU,SU,1092.3512582560884,1092.3512582560884
short,1,2016-05-01,SU,SU,1030.5048460209384,1030.5048460209384
short,1,2016-06-01,CP,CP,899.5486987263092,899.5486987263092
short,1,2016-07-01,HO,HO,990.8187380367682,990.8187380367682
short,1,2016-08-01,NG,NG,1042.0447912537575,1042.0447912537575
short,1,2016-09-01,HO,HO,1110.3434939108495,1110.3434939108495
short,1,2016-10-01,CF,CF,913.8263043690552,913.8263043690552
short,1,2016-11-01,CO,CO,872.1517424692239,872.1517424692239
short,1,2016-12-01,HE,HE,892.9402732881649,892.9402732881649
short,1,2017-01-01,ZS,ZS,808.2628193037218,808.2628193037218
short,1,2017-02-01,NG,NG,893.9455630417419,893.9455630417419
short,1,2017-03-01,SU,SU,1004.9729878483297,1004.9729878483297
short,1,2017-04-01,SU,SU,995.8603714391802,995.8603714391802
short,1,2017-05-01,CO,CO,1021.5438034462459,1021.5438034462459
short,1,2017-06-01,CT,CT,1056.7008551641954,1056.7008551641954
short,1,2017-07-01,HO,HO,1053.7734611298145,1053.7734611298145
short,1,2017-08-01,NG,NG,821.4516547047298,821.4516547047298
short,1,2017-09-01,HO,ZS,751.0505526145043,754.5699478475668
short,1,2017-10-01,CF,CP,740.1693748529142,606.4480398205329
short,1,2017-11-01,ZS,CT,764.1875936385522,614.1923720864783
short,1,2017-12-01,HE,CC,811.365720486277,632.9456681084032
short,1,2018-01-01,NG,SV,739.19199670843,619.3407266482819
short,1,2018-02-01,NG,CO,852.7235502844254,654.2723881362695
short,1,2018-03-01,SU,ZC,929.3400791626276,626.9935069356993
short,1,2018-04-01,ZW,GD,829.2450087885742,630.8331687199887
short,1,2018-05-01,SU,CP,805.8687775241975,626.675631106281
short,1,2018-06-01,CT,GD,869.2618934664525,664.7527295941501
short,1,2018-07-01,HO,CP,837.4675922494816,746.9885329478179
short,1,2018-08-01,HE,LE,849.5223302946558,677.289942151937
short,1,2018-09-01,ZC,ZS,835.0887187860617,711.6505829484698
short,1,2018-10-01,CF,CC,780.954964944422,679.9363912069836
short,1,2018-11-01,ZS,CO,724.8012636325625,803.8267273104555
short,1,2018-12-01,HE,CC,817.5595682838142,674.2403585193117
short,1,2019-01-01,NG,SV,903.0555382639739,589.6873076660174
short,1,2019-02-01,NG,ZS,1027.0095444911217,549.3976955135619
