Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2016-01-01,[SV | 50.0%],[GD | 30.0%],[CF | 10.0%],[SU | 10.0%],,[GD | 20.0%],[CT | 20.0%],[SU | 20.0%],[HO | 10.0%],[HE | 10.0%]
2016-02-01,[CO | 30.0%],[ZC | 10.0%],[ZS | 10.0%],[HO | 10.0%],[GD | 10.0%],[CF | 30.0%],[CP | 30.0%],[SV | 10.0%],[ZW | 10.0%],[CO | 10.0%]
2016-03-01,[HO | 40.0%],[CO | 20.0%],[NG | 10.0%],[CP | 10.0%],[CT | 10.0%],[HO | 30.0%],[CO | 30.0%],[GD | 10.0%],[NG | 10.0%],[ZC | 10.0%]
2016-04-01,[CP | 20.0%],[HO | 20.0%],[ZS | 20.0%],[CO | 20.0%],[SU | 10.0%],[SV | 20.0%],[ZS | 20.0%],[HO | 20.0%],[ZC | 10.0%],[LE | 10.0%]
2016-05-01,[NG | 50.0%],[HE | 20.0%],[CP | 10.0%],[ZW | 10.0%],[ZS | 10.0%],[ZW | 40.0%],[CF | 10.0%],[CO | 10.0%],[HO | 10.0%],[ZS | 10.0%]
2016-06-01,[SU | 50.0%],[CF | 20.0%],[NG | 10.0%],[CO | 10.0%],[CC | 10.0%],[LE | 30.0%],[HO | 10.0%],[HE | 10.0%],[CC | 10.0%],[CO | 10.0%]
2016-07-01,[SV | 30.0%],[ZW | 20.0%],[SU | 10.0%],[CF | 10.0%],[LE | 10.0%],[CP | 20.0%],[SV | 10.0%],[CF | 10.0%],[GD | 10.0%],[CO | 10.0%]
2016-08-01,[ZW | 20.0%],[CF | 20.0%],[CT | 20.0%],[SV | 20.0%],[CP | 10.0%],[SV | 30.0%],[CT | 20.0%],[LE | 10.0%],[ZC | 10.0%],[CF | 10.0%]
2016-09-01,[NG | 40.0%],[SU | 20.0%],[HE | 20.0%],[CP | 10.0%],[GD | 10.0%],[HE | 30.0%],[GD | 20.0%],[CF | 10.0%],[CC | 10.0%],[CO | 10.0%]
2016-10-01,[ZC | 40.0%],[ZS | 30.0%],[ZW | 10.0%],[SV | 10.0%],[SU | 10.0%],[ZC | 40.0%],[LE | 20.0%],[ZW | 20.0%],[CF | 10.0%],[NG | 10.0%]
2016-11-01,[SV | 40.0%],[HE | 20.0%],[ZW | 20.0%],[SU | 10.0%],[GD | 10.0%],[CF | 20.0%],[GD | 20.0%],[CC | 20.0%],[HE | 20.0%],[ZW | 10.0%]
2016-12-01,[CT | 40.0%],[SU | 30.0%],[ZC | 10.0%],[ZW | 10.0%],[CC | 10.0%],[SU | 20.0%],[ZS | 20.0%],[ZW | 20.0%],[SV | 10.0%],[ZC | 10.0%]
2017-01-01,[SV | 60.0%],[GD | 20.0%],[HE | 10.0%],[ZC | 10.0%],,[GD | 60.0%],[CC | 10.0%],[NG | 10.0%],[CF | 10.0%],[HE | 10.0%]
2017-02-01,[CP | 30.0%],[HO | 20.0%],[SV | 20.0%],[ZS | 10.0%],[CF | 10.0%],[GD | 30.0%],[CP | 20.0%],[CT | 10.0%],[SV | 10.0%],[LE | 10.0%]
2017-03-01,[CO | 40.0%],[HO | 30.0%],[CT | 20.0%],[CP | 10.0%],,[ZS | 20.0%],[CT | 20.0%],[HE | 20.0%],[ZC | 10.0%],[CF | 10.0%]
2017-04-01,[NG | 30.0%],[CO | 20.0%],[CC | 20.0%],[HO | 10.0%],[ZC | 10.0%],[ZS | 30.0%],[CO | 20.0%],[SV | 10.0%],[CC | 10.0%],[SU | 10.0%]
2017-05-01,[NG | 40.0%],[ZS | 20.0%],[HO | 10.0%],[ZC | 10.0%],[HE | 10.0%],[HO | 30.0%],[NG | 20.0%],[ZC | 10.0%],[HE | 10.0%],[CO | 10.0%]
2017-06-01,[CF | 30.0%],[SU | 30.0%],[NG | 30.0%],[CO | 10.0%],,[HE | 10.0%],[CP | 10.0%],[CT | 10.0%],[CF | 10.0%],[CC | 10.0%]
2017-07-01,[SV | 30.0%],[ZW | 30.0%],[CC | 20.0%],[SU | 10.0%],[HE | 10.0%],[HE | 30.0%],[LE | 20.0%],[ZW | 20.0%],[CT | 10.0%],[CF | 10.0%]
2017-08-01,[CF | 30.0%],[HO | 30.0%],[ZW | 20.0%],[CC | 10.0%],[CT | 10.0%],[SV | 20.0%],[ZS | 20.0%],[CF | 20.0%],[GD | 10.0%],[CT | 10.0%]
2017-09-01,[NG | 40.0%],[SU | 40.0%],[CP | 10.0%],[GD | 10.0%],,[HE | 30.0%],[SU | 20.0%],[CP | 10.0%],[CC | 10.0%],[NG | 10.0%]
2017-10-01,[ZS | 30.0%],[ZC | 30.0%],[ZW | 10.0%],[HE | 10.0%],[SV | 10.0%],[ZC | 50.0%],[CT | 10.0%],[GD | 10.0%],[SU | 10.0%],[SV | 10.0%]
2017-11-01,[SV | 30.0%],[CP | 20.0%],[SU | 10.0%],[CT | 10.0%],[GD | 10.0%],[CC | 20.0%],[CF | 20.0%],[CT | 10.0%],[SV | 10.0%],[NG | 10.0%]
2017-12-01,[CT | 30.0%],[ZW | 20.0%],[SU | 20.0%],[ZC | 20.0%],[ZS | 10.0%],[ZS | 20.0%],[ZW | 20.0%],[SV | 10.0%],[NG | 10.0%],[SU | 10.0%]
2018-01-01,[SV | 50.0%],[GD | 20.0%],[ZC | 20.0%],[HE | 10.0%],,[GD | 40.0%],[HE | 20.0%],[ZS | 20.0%],[SV | 10.0%],[ZC | 10.0%]
2018-02-01,[CP | 30.0%],[CO | 30.0%],[SV | 20.0%],[HO | 10.0%],[LE | 10.0%],[CO | 30.0%],[CP | 30.0%],[CC | 10.0%],[GD | 10.0%],[HO | 10.0%]
2018-03-01,[CT | 30.0%],[HO | 20.0%],[CO | 20.0%],[NG | 10.0%],[ZC | 10.0%],[CT | 20.0%],[HO | 20.0%],[ZS | 10.0%],[CP | 10.0%],[CO | 10.0%]
2018-04-01,[NG | 30.0%],[HO | 20.0%],[CO | 20.0%],[ZS | 10.0%],[ZC | 10.0%],[NG | 20.0%],[ZS | 20.0%],[CF | 10.0%],[HE | 10.0%],[ZW | 10.0%]
2018-05-01,[HE | 30.0%],[HO | 20.0%],[NG | 20.0%],[CP | 10.0%],[ZW | 10.0%],[HE | 40.0%],[SV | 10.0%],[CC | 10.0%],[CF | 10.0%],[ZW | 10.0%]
2018-06-01,[NG | 50.0%],[CF | 30.0%],[SU | 20.0%],,,[LE | 20.0%],[CF | 20.0%],[ZS | 20.0%],[HE | 10.0%],[NG | 10.0%]
2018-07-01,[SV | 40.0%],[SU | 20.0%],[ZW | 20.0%],[CC | 20.0%],,[SU | 30.0%],[LE | 20.0%],[CP | 20.0%],[CO | 10.0%],[GD | 10.0%]
2018-08-01,[CF | 20.0%],[HO | 20.0%],[CT | 20.0%],[CO | 10.0%],[CC | 10.0%],[SV | 30.0%],[HO | 20.0%],[CT | 20.0%],[CP | 10.0%],[CF | 10.0%]
2018-09-01,[NG | 30.0%],[SU | 30.0%],[CP | 10.0%],[HO | 10.0%],[GD | 10.0%],[HO | 20.0%],[CC | 20.0%],[ZW | 20.0%],[GD | 10.0%],[SU | 10.0%]
2018-10-01,[ZS | 30.0%],[ZC | 20.0%],[ZW | 10.0%],[HE | 10.0%],[SV | 10.0%],[SU | 40.0%],[ZC | 20.0%],[GD | 10.0%],[ZS | 10.0%],[HO | 10.0%]
2018-11-01,[SV | 30.0%],[CT | 20.0%],[CP | 20.0%],[SU | 10.0%],[GD | 10.0%],[HE | 20.0%],[ZC | 10.0%],[CC | 10.0%],[ZS | 10.0%],[CF | 10.0%]
2018-12-01,[CP | 20.0%],[CT | 20.0%],[SU | 20.0%],[ZC | 20.0%],[CF | 10.0%],[ZC | 30.0%],[CP | 20.0%],[SV | 10.0%],[NG | 10.0%],[HE | 10.0%]
2019-01-01,[GD | 30.0%],[ZC | 20.0%],[SV | 20.0%],[CF | 10.0%],[HE | 10.0%],[ZC | 30.0%],[CC | 10.0%],[CP | 10.0%],[SU | 10.0%],[GD | 10.0%]
2019-02-01,[CO | 20.0%],[CP | 20.0%],[SV | 20.0%],[ZC | 10.0%],[HO | 10.0%],[CP | 30.0%],[CO | 20.0%],[CF | 10.0%],[LE | 10.0%],[ZC | 10.0%]
2019-03-01,[CT | 30.0%],[CC | 20.0%],[CO | 20.0%],[HO | 10.0%],[ZC | 10.0%],[CT | 30.0%],[CC | 10.0%],[HE | 10.0%],[SV | 10.0%],[CO | 10.0%]
2019-04-01,[NG | 20.0%],[ZS | 20.0%],[ZW | 20.0%],[CO | 20.0%],[HO | 10.0%],[CO | 30.0%],[CF | 20.0%],[HO | 20.0%],[CP | 10.0%],[SV | 10.0%]
2019-05-01,[HE | 30.0%],[SU | 30.0%],[HO | 10.0%],[CP | 10.0%],[NG | 10.0%],[HO | 20.0%],[ZS | 20.0%],[HE | 20.0%],[SV | 10.0%],[ZC | 10.0%]
2019-06-01,[NG | 60.0%],[CF | 20.0%],[HE | 20.0%],,,[CO | 30.0%],[NG | 20.0%],[ZC | 10.0%],[GD | 10.0%],[LE | 10.0%]
2019-07-01,[SV | 30.0%],[CC | 20.0%],[NG | 20.0%],[ZW | 10.0%],[LE | 10.0%],[CP | 20.0%],[NG | 20.0%],[HE | 10.0%],[CT | 10.0%],[SV | 10.0%]
2019-08-01,[CT | 30.0%],[SV | 20.0%],[ZS | 10.0%],[HO | 10.0%],[CC | 10.0%],[SV | 20.0%],[SU | 20.0%],[LE | 10.0%],[ZS | 10.0%],[HO | 10.0%]
2019-09-01,[NG | 40.0%],[SU | 20.0%],[CO | 10.0%],[CT | 10.0%],[HO | 10.0%],[CF | 20.0%],[SU | 20.0%],[CP | 20.0%],[HO | 10.0%],[LE | 10.0%]
2019-10-01,[ZS | 20.0%],[ZC | 20.0%],[SU | 20.0%],[CT | 10.0%],[HE | 10.0%],[LE | 20.0%],[ZC | 20.0%],[SU | 20.0%],[ZW | 20.0%],[CT | 10.0%]
2019-11-01,[NG | 40.0%],[SV | 30.0%],[CP | 20.0%],[LE | 10.0%],,[CC | 20.0%],[CT | 20.0%],[NG | 20.0%],[GD | 10.0%],[SV | 10.0%]
2019-12-01,[SU | 30.0%],[CP | 20.0%],[CT | 20.0%],[ZC | 20.0%],[CF | 10.0%],[SU | 20.0%],[ZC | 20.0%],[SV | 10.0%],[HO | 10.0%],[LE | 10.0%]
2020-01-01,[GD | 30.0%],[CF | 20.0%],[ZS | 10.0%],[HE | 10.0%],[HO | 10.0%],[SV | 40.0%],[CF | 20.0%],[HO | 20.0%],[GD | 10.0%],[CC | 10.0%]
2020-02-01,[HO | 20.0%],[CO | 20.0%],[SV | 20.0%],[CT | 10.0%],[CC | 10.0%],[LE | 20.0%],[ZS | 20.0%],[CF | 10.0%],[CP | 10.0%],[SV | 10.0%]
2020-03-01,[CT | 30.0%],[SV | 30.0%],[CO | 20.0%],[HE | 10.0%],[NG | 10.0%],[HO | 30.0%],[ZS | 10.0%],[CP | 10.0%],[GD | 10.0%],[CF | 10.0%]
2020-04-01,[HO | 30.0%],[CO | 30.0%],[CC | 20.0%],[NG | 10.0%],[ZS | 10.0%],[CO | 20.0%],[ZW | 20.0%],[CT | 10.0%],[ZC | 10.0%],[NG | 10.0%]
2020-05-01,[HE | 30.0%],[NG | 30.0%],[ZC | 20.0%],[HO | 10.0%],[SU | 10.0%],[SU | 30.0%],[NG | 20.0%],[CP | 10.0%],[ZC | 10.0%],[HE | 10.0%]
2020-06-01,[NG | 30.0%],[CO | 20.0%],[CF | 20.0%],[SU | 10.0%],[HE | 10.0%],[NG | 30.0%],[SV | 20.0%],[ZW | 10.0%],[HE | 10.0%],[SU | 10.0%]
2020-07-01,[CC | 20.0%],[SV | 20.0%],[NG | 20.0%],[CO | 10.0%],[ZW | 10.0%],[HO | 30.0%],[GD | 30.0%],[SU | 10.0%],[NG | 10.0%],[CF | 10.0%]
2020-08-01,[GD | 50.0%],[SV | 20.0%],[NG | 10.0%],[HO | 10.0%],[CT | 10.0%],[HO | 30.0%],[NG | 20.0%],[CP | 10.0%],[CC | 10.0%],[SV | 10.0%]
2020-09-01,[SU | 30.0%],[HE | 20.0%],[CO | 10.0%],[CT | 10.0%],[LE | 10.0%],[CP | 20.0%],[HE | 20.0%],[ZS | 10.0%],[GD | 10.0%],[CO | 10.0%]
2020-10-01,[ZC | 30.0%],[SU | 30.0%],[CP | 10.0%],[CT | 10.0%],[SV | 10.0%],[SV | 20.0%],[SU | 20.0%],[GD | 10.0%],[NG | 10.0%],[LE | 10.0%]
2020-11-01,[NG | 30.0%],[CP | 20.0%],[SV | 20.0%],[ZW | 10.0%],[CT | 10.0%],[ZS | 20.0%],[ZC | 10.0%],[CT | 10.0%],[NG | 10.0%],[CC | 10.0%]
2020-12-01,[ZC | 30.0%],[CT | 20.0%],[CF | 20.0%],[LE | 10.0%],[SU | 10.0%],[ZC | 30.0%],[ZW | 20.0%],[LE | 20.0%],[SV | 10.0%],[CT | 10.0%]
2021-01-01,[GD | 20.0%],[ZC | 20.0%],[ZW | 20.0%],[SU | 10.0%],[CT | 10.0%],[SU | 20.0%],[ZS | 20.0%],[ZW | 10.0%],[CC | 10.0%],[CF | 10.0%]
2021-02-01,[HO | 30.0%],[CO | 20.0%],[CP | 20.0%],[SV | 20.0%],[ZS | 10.0%],[CC | 30.0%],[GD | 20.0%],[CO | 10.0%],[SV | 10.0%],[ZS | 10.0%]
2021-03-01,[NG | 40.0%],[ZW | 30.0%],[CT | 20.0%],[ZC | 10.0%],,[CF | 30.0%],[CT | 20.0%],[ZS | 10.0%],[ZW | 10.0%],[GD | 10.0%]
