Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2016-01-01,[ZW | 29.4%],[CO | 18.3%],[ZS | 16.3%],[LE | 11.1%],[NG | 8.5%],[ZW | 14.7%],[LE | 14.3%],[ZS | 13.6%],[CO | 12.6%],[ZC | 8.3%]
2016-02-01,[NG | 22.2%],[HE | 20.5%],[SU | 16.5%],[ZW | 8.1%],[CC | 7.9%],[HE | 14.8%],[SU | 11.7%],[NG | 11.0%],[CC | 10.4%],[GD | 9.6%]
2016-03-01,[SU | 61.6%],[CF | 13.0%],[ZW | 8.0%],[GD | 4.0%],[ZS | 3.4%],[SU | 24.0%],[CF | 13.0%],[ZW | 10.1%],[GD | 9.4%],[CC | 7.3%]
2016-04-01,[SU | 42.7%],[CT | 20.4%],[ZW | 7.7%],[ZC | 6.2%],[SV | 5.6%],[SU | 18.6%],[CT | 15.1%],[LE | 11.2%],[HE | 8.2%],[ZW | 7.6%]
2016-05-01,[CT | 25.9%],[SU | 19.3%],[CF | 14.5%],[SV | 13.4%],[CC | 6.0%],[CT | 17.3%],[SU | 11.9%],[CF | 9.3%],[ZC | 8.4%],[SV | 8.4%]
2016-06-01,[SV | 61.4%],[ZC | 10.9%],[GD | 8.5%],[CT | 4.9%],[CP | 4.2%],[SV | 26.0%],[GD | 12.4%],[ZC | 9.8%],[HE | 8.8%],[CP | 7.5%]
2016-07-01,[ZC | 25.4%],[CT | 22.1%],[ZS | 15.1%],[NG | 10.9%],[HO | 7.7%],[CT | 17.1%],[ZC | 13.9%],[ZS | 12.5%],[HO | 9.6%],[CC | 8.5%]
2016-08-01,[NG | 67.7%],[SU | 6.9%],[HE | 6.2%],[CC | 4.2%],[CP | 4.1%],[NG | 19.5%],[HE | 10.9%],[SU | 9.9%],[CC | 8.8%],[CP | 8.5%]
2016-09-01,[ZS | 45.1%],[HO | 11.5%],[ZC | 7.7%],[SV | 7.6%],[CO | 7.0%],[ZS | 19.0%],[HO | 10.8%],[CO | 10.1%],[ZC | 8.8%],[SV | 7.6%]
2016-10-01,[CC | 21.9%],[CP | 18.9%],[CF | 15.2%],[NG | 12.3%],[CO | 8.7%],[CC | 12.9%],[CF | 11.7%],[CP | 9.1%],[HO | 8.4%],[HE | 8.2%]
2016-11-01,[CO | 21.8%],[CP | 20.1%],[HO | 19.0%],[NG | 11.6%],[SU | 9.2%],[CP | 14.0%],[CO | 13.8%],[HO | 12.1%],[SU | 9.7%],[CT | 8.4%]
2016-12-01,[HO | 36.6%],[NG | 22.8%],[HE | 11.1%],[CO | 10.3%],[SV | 10.0%],[HO | 14.8%],[HE | 12.0%],[SV | 10.2%],[GD | 10.1%],[CO | 10.0%]
2017-01-01,[CO | 44.5%],[ZW | 16.6%],[ZS | 8.0%],[HO | 7.9%],[LE | 5.6%],[CO | 15.9%],[LE | 12.7%],[ZW | 11.5%],[ZS | 9.2%],[CP | 8.8%]
2017-02-01,[NG | 23.8%],[HE | 23.5%],[ZW | 15.2%],[SU | 13.0%],[ZC | 4.1%],[HE | 13.1%],[NG | 12.3%],[SU | 9.7%],[ZW | 8.0%],[CC | 7.2%]
2017-03-01,[SU | 75.9%],[GD | 5.7%],[CF | 4.9%],[ZW | 3.3%],[CC | 3.0%],[SU | 17.3%],[GD | 13.3%],[CC | 9.0%],[CF | 8.6%],[ZW | 8.3%]
2017-04-01,[SU | 41.5%],[CT | 12.8%],[LE | 11.7%],[SV | 8.2%],[GD | 5.9%],[SU | 15.0%],[LE | 14.5%],[GD | 10.3%],[CT | 9.5%],[SV | 8.2%]
2017-05-01,[CT | 30.2%],[SV | 16.2%],[CP | 13.1%],[SU | 10.1%],[CF | 9.0%],[CT | 14.1%],[CP | 11.1%],[GD | 9.1%],[CF | 8.6%],[SV | 8.3%]
2017-06-01,[SV | 34.9%],[ZC | 26.4%],[ZW | 8.4%],[CT | 7.2%],[HE | 6.6%],[SV | 15.7%],[ZC | 12.4%],[GD | 10.2%],[HE | 9.4%],[CT | 9.2%]
2017-07-01,[NG | 27.3%],[ZC | 20.5%],[ZS | 14.6%],[CO | 12.5%],[HO | 10.7%],[ZS | 13.8%],[ZC | 10.3%],[NG | 9.8%],[HO | 9.1%],[CT | 9.0%]
2017-08-01,[NG | 47.4%],[HE | 11.7%],[LE | 11.1%],[CP | 9.5%],[CT | 3.0%],[LE | 12.9%],[NG | 12.8%],[HE | 11.3%],[CP | 10.8%],[CT | 7.0%]
2017-09-01,[ZS | 48.4%],[ZC | 11.3%],[ZW | 6.9%],[SV | 6.8%],[HO | 5.6%],[ZS | 17.9%],[LE | 9.9%],[ZC | 8.2%],[HO | 7.2%],[CP | 7.1%]
2017-10-01,[CC | 21.2%],[CP | 18.4%],[NG | 16.0%],[CF | 8.1%],[CO | 7.1%],[CC | 11.0%],[CF | 10.5%],[CP | 10.4%],[NG | 7.8%],[GD | 7.7%]
2017-11-01,[SU | 18.5%],[HO | 18.3%],[CO | 16.8%],[ZC | 11.8%],[NG | 10.0%],[HO | 12.3%],[SU | 12.2%],[CO | 10.5%],[ZC | 8.3%],[CT | 7.1%]
2017-12-01,[HO | 28.2%],[CO | 15.7%],[SV | 15.2%],[NG | 11.5%],[CC | 7.6%],[HO | 12.5%],[GD | 12.0%],[SV | 9.9%],[CC | 8.9%],[CO | 8.8%]
2018-01-01,[CO | 38.3%],[NG | 19.6%],[HO | 11.0%],[ZW | 9.3%],[LE | 7.5%],[LE | 12.7%],[ZW | 12.3%],[CO | 11.7%],[ZS | 10.6%],[HO | 9.3%]
2018-02-01,[NG | 29.5%],[HE | 24.9%],[SU | 11.6%],[ZW | 9.7%],[CC | 7.0%],[HE | 12.9%],[NG | 11.9%],[SU | 9.7%],[CC | 9.1%],[ZW | 7.4%]
2018-03-01,[SU | 82.4%],[CF | 3.6%],[CC | 3.4%],[GD | 3.2%],[ZW | 1.8%],[SU | 17.2%],[GD | 12.1%],[ZS | 9.9%],[CF | 9.0%],[CC | 8.8%]
2018-04-01,[SU | 36.1%],[SV | 11.3%],[ZW | 10.3%],[CP | 9.6%],[CT | 6.8%],[SU | 13.4%],[GD | 9.9%],[LE | 9.8%],[SV | 8.0%],[ZW | 7.9%]
2018-05-01,[CT | 42.5%],[CF | 13.5%],[SU | 12.5%],[SV | 10.5%],[CP | 7.6%],[CT | 16.2%],[SU | 11.1%],[CP | 10.4%],[GD | 9.5%],[CF | 9.0%]
2018-06-01,[SV | 28.8%],[CT | 24.9%],[ZC | 11.3%],[ZW | 7.4%],[HE | 7.3%],[SV | 12.5%],[CT | 11.7%],[GD | 10.3%],[ZC | 9.5%],[ZW | 8.8%]
2018-07-01,[NG | 23.7%],[CO | 16.3%],[ZC | 15.5%],[CT | 11.2%],[HE | 9.6%],[ZC | 10.7%],[CO | 9.9%],[HE | 9.8%],[CT | 9.6%],[ZS | 9.3%]
2018-08-01,[NG | 27.7%],[LE | 19.3%],[HE | 12.8%],[ZW | 10.8%],[CP | 4.2%],[LE | 15.2%],[HE | 11.5%],[NG | 9.1%],[CP | 7.5%],[ZW | 6.8%]
2018-09-01,[ZS | 46.5%],[ZW | 10.9%],[SV | 10.0%],[ZC | 8.4%],[CP | 5.3%],[ZS | 14.4%],[SV | 9.6%],[CT | 8.9%],[GD | 8.4%],[CP | 8.1%]
2018-10-01,[NG | 32.5%],[CO | 14.0%],[CC | 12.0%],[HO | 10.5%],[CP | 10.4%],[NG | 11.9%],[GD | 10.6%],[CC | 10.2%],[HO | 9.6%],[CP | 7.8%]
2018-11-01,[HO | 21.8%],[SU | 15.3%],[ZC | 14.6%],[CO | 12.7%],[NG | 5.6%],[HO | 11.2%],[CO | 9.3%],[SU | 9.0%],[ZS | 8.5%],[ZC | 8.3%]
2018-12-01,[HO | 23.5%],[CO | 15.9%],[SV | 14.9%],[NG | 12.9%],[CC | 9.9%],[GD | 11.0%],[SV | 9.9%],[HO | 8.9%],[LE | 8.8%],[CO | 8.8%]
2019-01-01,[NG | 25.4%],[CO | 23.8%],[ZW | 9.5%],[HO | 8.7%],[CP | 8.6%],[LE | 12.9%],[CO | 12.3%],[NG | 10.7%],[ZS | 8.6%],[CP | 8.1%]
2019-02-01,[NG | 45.6%],[HE | 11.0%],[SU | 9.6%],[ZW | 9.1%],[CC | 4.6%],[NG | 13.1%],[HE | 11.8%],[CC | 8.7%],[SU | 7.9%],[CF | 7.9%]
2019-03-01,[SU | 82.2%],[GD | 3.2%],[NG | 3.0%],[ZW | 2.6%],[CF | 1.8%],[SU | 17.8%],[GD | 9.4%],[ZS | 7.6%],[ZW | 7.5%],[CF | 7.4%]
2019-04-01,[SU | 39.2%],[CP | 12.4%],[HE | 12.3%],[SV | 7.1%],[CT | 5.3%],[SU | 13.1%],[LE | 10.6%],[CP | 9.7%],[HE | 8.8%],[GD | 8.4%]
2019-05-01,[CT | 25.5%],[CF | 13.4%],[SV | 13.0%],[CP | 9.7%],[CC | 7.2%],[CF | 10.7%],[GD | 10.3%],[CT | 8.8%],[CP | 8.2%],[SV | 7.9%]
2019-06-01,[ZC | 28.6%],[CT | 27.9%],[SV | 17.2%],[ZW | 7.7%],[HO | 4.2%],[CT | 13.2%],[GD | 11.7%],[ZC | 10.7%],[SV | 10.0%],[CP | 7.8%]
2019-07-01,[HE | 49.6%],[CO | 16.4%],[NG | 8.6%],[CT | 5.7%],[HO | 5.5%],[HE | 15.8%],[CT | 8.6%],[GD | 8.5%],[CO | 7.9%],[LE | 7.9%]
2019-08-01,[NG | 21.2%],[LE | 19.7%],[ZW | 15.3%],[HE | 10.0%],[CF | 8.2%],[LE | 14.5%],[HE | 10.7%],[CF | 8.7%],[CP | 8.5%],[ZW | 8.5%]
2019-09-01,[ZS | 32.1%],[ZW | 19.1%],[SV | 12.6%],[ZC | 11.4%],[GD | 5.6%],[ZS | 13.8%],[ZW | 12.2%],[GD | 9.3%],[ZC | 8.9%],[CP | 6.9%]
2019-10-01,[NG | 47.4%],[CO | 13.2%],[HO | 9.4%],[SV | 7.8%],[CC | 5.8%],[NG | 12.4%],[CO | 10.7%],[HO | 9.5%],[CC | 9.0%],[SV | 7.6%]
2019-11-01,[HO | 26.1%],[CO | 16.6%],[SU | 12.6%],[CC | 10.1%],[ZC | 7.9%],[HO | 13.5%],[CO | 11.4%],[CC | 9.4%],[SU | 9.1%],[CF | 8.2%]
2019-12-01,[NG | 29.6%],[CC | 12.7%],[SV | 11.6%],[HO | 11.5%],[CO | 8.9%],[GD | 12.8%],[CC | 9.9%],[HO | 9.5%],[SV | 9.1%],[CF | 8.7%]
2020-01-01,[NG | 22.5%],[ZW | 12.4%],[CO | 9.5%],[ZS | 8.7%],[SU | 7.8%],[LE | 12.3%],[NG | 10.3%],[HO | 8.5%],[ZS | 8.4%],[CC | 8.0%]
2020-02-01,[NG | 43.8%],[HE | 16.2%],[ZW | 12.3%],[SU | 11.6%],[CF | 5.8%],[NG | 16.5%],[HE | 12.4%],[ZW | 9.3%],[SU | 9.2%],[CF | 7.8%]
2020-03-01,[SU | 68.0%],[ZC | 6.5%],[ZW | 4.3%],[CP | 4.1%],[CF | 3.9%],[SU | 16.8%],[GD | 10.7%],[ZC | 9.2%],[CP | 8.0%],[CF | 7.7%]
