Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2016-01-01,[SV | 29.0%],[SU | 26.9%],[GD | 13.2%],[CF | 8.9%],[CT | 6.1%],[GD | 17.1%],[SV | 14.6%],[SU | 14.2%],[CT | 9.0%],[CF | 8.4%]
2016-02-01,[HO | 15.6%],[CO | 15.5%],[SV | 15.2%],[CP | 15.1%],[ZC | 8.9%],[CP | 13.7%],[HO | 11.9%],[CO | 11.7%],[SV | 10.3%],[ZC | 9.8%]
2016-03-01,[CO | 29.3%],[CP | 27.8%],[HO | 22.9%],[NG | 12.2%],[SV | 3.1%],[CO | 20.5%],[CP | 15.6%],[HO | 15.0%],[NG | 10.1%],[CT | 8.4%]
2016-04-01,[CO | 25.4%],[NG | 18.6%],[HO | 15.2%],[CP | 10.6%],[CC | 9.2%],[CO | 14.6%],[HO | 11.5%],[ZS | 11.3%],[NG | 10.5%],[CC | 9.7%]
2016-05-01,[NG | 46.5%],[ZW | 11.6%],[CO | 8.1%],[HO | 7.7%],[HE | 7.4%],[NG | 17.2%],[HE | 11.6%],[ZW | 10.5%],[HO | 9.0%],[CO | 7.5%]
2016-06-01,[SU | 46.6%],[CC | 14.8%],[LE | 11.5%],[CO | 8.7%],[NG | 7.3%],[SU | 18.9%],[LE | 18.2%],[CC | 12.5%],[CO | 10.9%],[ZS | 9.1%]
2016-07-01,[SU | 22.3%],[CP | 22.0%],[ZW | 19.3%],[SV | 9.0%],[HE | 7.8%],[CP | 16.5%],[SU | 13.2%],[HE | 11.5%],[LE | 10.5%],[ZW | 9.0%]
2016-08-01,[ZW | 26.1%],[SV | 17.5%],[CT | 11.1%],[ZC | 10.8%],[GD | 9.9%],[GD | 13.5%],[ZW | 11.9%],[CT | 10.7%],[SV | 9.9%],[ZC | 9.8%]
2016-09-01,[HE | 30.1%],[SU | 20.1%],[NG | 16.4%],[CC | 11.7%],[CF | 4.1%],[HE | 17.2%],[SU | 14.1%],[CC | 9.7%],[NG | 8.5%],[GD | 8.4%]
2016-10-01,[ZC | 48.8%],[ZS | 14.1%],[ZW | 8.9%],[NG | 8.4%],[SU | 7.2%],[ZC | 21.7%],[ZS | 13.1%],[SV | 10.1%],[SU | 9.6%],[ZW | 7.5%]
2016-11-01,[HE | 21.4%],[ZW | 16.4%],[SV | 16.2%],[CF | 11.2%],[GD | 8.6%],[HE | 15.6%],[GD | 13.2%],[CF | 11.0%],[ZW | 10.3%],[SV | 9.8%]
2016-12-01,[CT | 41.5%],[ZC | 22.9%],[SU | 13.2%],[ZS | 7.9%],[ZW | 3.9%],[CT | 18.4%],[SU | 12.0%],[ZC | 11.7%],[LE | 11.7%],[ZS | 11.2%]
2017-01-01,[SV | 34.8%],[GD | 19.6%],[HE | 11.0%],[NG | 8.5%],[CT | 6.0%],[GD | 17.5%],[SV | 15.1%],[HE | 10.5%],[SU | 8.0%],[CT | 7.6%]
2017-02-01,[CP | 18.2%],[HO | 18.1%],[SV | 17.7%],[CO | 15.6%],[ZC | 5.4%],[CP | 13.4%],[HO | 12.8%],[CO | 12.4%],[SV | 10.7%],[LE | 9.2%]
2017-03-01,[CO | 31.7%],[HO | 21.5%],[CP | 20.8%],[NG | 12.6%],[CT | 4.5%],[CO | 15.7%],[CP | 13.5%],[HO | 13.4%],[CT | 8.0%],[NG | 7.8%]
2017-04-01,[CO | 26.8%],[NG | 21.5%],[HO | 15.3%],[CC | 14.9%],[ZS | 9.5%],[CO | 15.8%],[ZS | 14.0%],[CC | 11.9%],[HO | 11.5%],[NG | 10.5%]
2017-05-01,[NG | 44.8%],[HO | 9.7%],[CO | 9.3%],[ZS | 8.6%],[HE | 8.5%],[NG | 16.5%],[HE | 12.4%],[HO | 9.7%],[LE | 9.5%],[ZS | 8.8%]
2017-06-01,[SU | 48.5%],[NG | 15.2%],[CC | 10.4%],[CO | 5.5%],[ZS | 5.5%],[SU | 19.7%],[LE | 14.3%],[CC | 13.4%],[CF | 8.4%],[NG | 8.3%]
