Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2016-01-01,[SU | 100.0%],,,,,[GD | 100.0%],,,,
2016-02-01,[SV | 94.8%],[CP | 3.2%],[CO | 2.0%],,,[CP | 82.7%],[ZC | 15.1%],[CO | 1.2%],[SV | 1.0%],
2016-03-01,[CO | 100.0%],,,,,[CO | 100.0%],,,,
2016-04-01,[CO | 100.0%],,,,,[HO | 89.7%],[ZS | 7.6%],[CO | 1.5%],[NG | 1.2%],
2016-05-01,,,,,,,,,,
2016-06-01,[SU | 100.0%],,,,,[LE | 89.2%],[CC | 9.6%],[CO | 1.1%],[SU | 0.1%],
2016-07-01,[CP | 4.3%],,,,,[CP | 4.3%],,,,
2016-08-01,,,,,,,,,,
2016-09-01,,,,,,,,,,
2016-10-01,,,,,,,,,,
2016-11-01,[HE | 3.0%],,,,,[HE | 3.0%],,,,
2016-12-01,[CT | 100.0%],,,,,[CT | 99.9%],[LE | 0.1%],,,
2017-01-01,[SV | 46.3%],[GD | 41.6%],,,,[GD | 44.1%],[SV | 43.8%],,,
2017-02-01,[SV | 43.1%],[HO | 30.2%],[CP | 13.9%],[CO | 12.5%],[LE | 0.2%],[CP | 36.0%],[LE | 28.2%],[CO | 19.9%],[SV | 6.8%],[ZC | 5.4%]
2017-03-01,[CO | 53.7%],[HO | 2.6%],[CP | 0.2%],,,[CO | 53.7%],[HO | 2.6%],[CP | 0.2%],,
2017-04-01,[CO | 59.0%],[NG | 26.3%],[HO | 7.9%],[CC | 6.1%],[ZS | 0.7%],[ZS | 40.6%],[NG | 28.4%],[HO | 16.5%],[CO | 12.9%],[CC | 1.6%]
2017-05-01,[NG | 29.3%],,,,,[NG | 29.3%],,,,
2017-06-01,[SU | 99.8%],[NG | 0.2%],,,,[SU | 42.1%],[LE | 27.7%],[CC | 17.6%],[CO | 7.4%],[HO | 5.0%]
2017-07-01,[SU | 16.5%],[CP | 5.1%],[LE | 0.1%],,,[SU | 16.5%],[CP | 5.1%],[LE | 0.1%],,
2017-08-01,[GD | 0.4%],,,,,[GD | 0.4%],,,,
2017-09-01,,,,,,,,,,
2017-10-01,,,,,,,,,,
2017-11-01,[HE | 39.5%],,,,,[HE | 39.5%],,,,
2017-12-01,[CT | 47.2%],[ZC | 40.2%],[SU | 9.4%],[ZS | 1.1%],,[CT | 53.8%],[ZC | 32.1%],[SU | 6.6%],[ZS | 5.4%],
2018-01-01,[SV | 61.6%],[GD | 25.9%],[CF | 3.5%],[SU | 3.3%],[CT | 0.5%],[GD | 45.0%],[SV | 38.2%],[CF | 8.0%],[SU | 3.2%],[CC | 0.5%]
2018-02-01,[SV | 52.2%],[HO | 17.7%],[CO | 15.0%],[CP | 9.6%],[ZC | 1.7%],[CP | 25.0%],[SV | 19.7%],[CO | 19.6%],[LE | 18.5%],[HO | 8.2%]
2018-03-01,[CO | 16.3%],[HO | 3.1%],[CP | 0.2%],,,[CO | 16.3%],[HO | 3.1%],[CP | 0.2%],,
2018-04-01,[CO | 51.6%],[NG | 31.0%],[ZS | 8.0%],[HO | 5.7%],[CC | 3.4%],[ZS | 46.8%],[NG | 21.7%],[CO | 16.0%],[HO | 7.4%],[CC | 4.0%]
2018-05-01,[NG | 15.4%],[HE | 0.2%],,,,[NG | 15.4%],[HE | 0.2%],,,
2018-06-01,[NG | 59.4%],[SU | 36.9%],[ZS | 1.4%],[CC | 0.6%],[LE | 0.4%],[SU | 41.6%],[NG | 31.1%],[LE | 13.1%],[CC | 5.1%],[HO | 3.1%]
2018-07-01,[SU | 22.0%],[CP | 12.4%],[CC | 3.8%],[SV | 1.2%],[CF | 1.0%],[SU | 21.2%],[CP | 13.3%],[CC | 3.8%],[SV | 1.1%],[CF | 1.0%]
2018-08-01,[GD | 10.9%],[HO | 1.2%],[CT | 0.7%],[ZC | 0.5%],,[GD | 11.0%],[HO | 1.1%],[CT | 0.7%],[ZC | 0.5%],
2018-09-01,[HE | 0.4%],[SU | 0.1%],,,,[HE | 0.4%],[SU | 0.1%],,,
2018-10-01,[ZC | 1.7%],,,,,[ZC | 1.7%],,,,
2018-11-01,[HE | 13.2%],,,,,[HE | 13.2%],,,,
2018-12-01,[CT | 60.7%],[ZC | 12.6%],[SU | 6.9%],[ZS | 0.6%],[LE | 0.1%],[CT | 63.7%],[ZC | 10.9%],[SU | 5.4%],[ZS | 0.9%],[LE | 0.1%]
2019-01-01,[GD | 37.2%],[SV | 23.8%],[CF | 6.8%],[CT | 0.8%],[CC | 0.4%],[GD | 41.4%],[SV | 18.8%],[CF | 7.7%],[CT | 0.6%],[CC | 0.5%]
2019-02-01,[SV | 16.1%],[LE | 15.9%],[ZC | 11.0%],[CP | 9.4%],[CO | 9.0%],[LE | 19.7%],[SV | 14.0%],[ZC | 10.4%],[CP | 10.3%],[CO | 8.4%]
2019-03-01,[CT | 16.9%],[CO | 14.2%],[HO | 1.1%],[ZS | 0.6%],[SV | 0.2%],[CT | 17.3%],[CO | 13.9%],[HO | 1.0%],[ZS | 0.6%],[SV | 0.2%]
2019-04-01,[CO | 39.3%],[NG | 19.8%],[ZS | 14.1%],[HO | 8.5%],[CC | 8.0%],[ZS | 40.0%],[CO | 23.1%],[NG | 12.9%],[ZW | 8.2%],[HO | 5.8%]
2019-05-01,[NG | 3.6%],[HE | 0.4%],,,,[NG | 3.6%],[HE | 0.4%],,,
2019-06-01,[SU | 42.4%],[NG | 25.4%],[LE | 7.5%],[CC | 3.3%],[CO | 2.8%],[SU | 40.4%],[NG | 18.3%],[LE | 14.9%],[CC | 4.9%],[CO | 2.8%]
2019-07-01,[CF | 15.2%],[CP | 14.8%],[CC | 3.4%],[LE | 1.9%],[SU | 1.4%],[CP | 15.2%],[CF | 14.9%],[CC | 3.6%],[LE | 2.1%],[SU | 1.0%]
2019-08-01,[GD | 35.8%],[HO | 22.6%],[SV | 18.4%],[CT | 0.8%],[ZS | 0.3%],[GD | 41.4%],[HO | 19.3%],[SV | 16.1%],[CT | 0.9%],[ZS | 0.2%]
2019-09-01,[SU | 7.8%],[HE | 3.7%],[NG | 2.1%],,,[SU | 7.7%],[HE | 4.0%],[NG | 1.9%],,
