Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2016-01-01,,,,,,,,,,
2016-02-01,,,,,,,,,,
2016-03-01,[SU | 100.0%],,,,,[SU | 100.0%],,,,
2016-04-01,,,,,,,,,,
2016-05-01,[CT | 99.9%],[SU | 0.1%],,,,[CT | 99.9%],[SU | 0.1%],,,
2016-06-01,[SV | 100.0%],,,,,[SV | 100.0%],,,,
2016-07-01,,,,,,,,,,
2016-08-01,[NG | 100.0%],,,,,[NG | 100.0%],,,,
2016-09-01,[ZS | 100.0%],,,,,[ZS | 100.0%],,,,
2016-10-01,,,,,,,,,,
2016-11-01,[CP | 95.2%],[HO | 2.6%],[CO | 1.8%],,,[CP | 95.2%],[HO | 2.6%],[CO | 1.8%],,
2016-12-01,[HO | 99.9%],,,,,[HO | 99.9%],,,,
2017-01-01,[CO | 92.5%],[ZW | 3.7%],[LE | 0.4%],,,[CO | 92.5%],[ZW | 3.7%],[LE | 0.4%],,
2017-02-01,,,,,,,,,,
2017-03-01,[SU | 98.8%],[GD | 0.8%],,,,[SU | 98.4%],[GD | 1.2%],,,
2017-04-01,[SU | 2.6%],,,,,[SU | 2.6%],,,,
2017-05-01,[CT | 77.0%],[SU | 2.8%],[CP | 2.7%],,,[CT | 76.9%],[SU | 2.9%],[CP | 2.7%],,
2017-06-01,[SV | 1.7%],,,,,[SV | 1.7%],,,,
2017-07-01,[CT | 0.6%],,,,,[CT | 0.6%],,,,
2017-08-01,[NG | 66.9%],[LE | 19.7%],[HE | 8.9%],,,[NG | 63.9%],[LE | 22.2%],[HE | 9.4%],,
2017-09-01,[ZS | 84.7%],,,,,[ZS | 84.7%],,,,
2017-10-01,[CC | 3.4%],[NG | 0.2%],,,,[CC | 3.4%],[NG | 0.2%],,,
2017-11-01,[HO | 34.7%],[SU | 34.1%],[CO | 22.9%],[NG | 1.9%],[ZC | 1.5%],[SU | 39.3%],[HO | 32.7%],[CO | 20.2%],[NG | 1.5%],[ZC | 1.4%]
2017-12-01,[HO | 4.7%],[HE | 0.3%],,,,[HO | 4.7%],[HE | 0.3%],,,
