direction,run,date,baseline_ticker,gps_ticker,baseline_value,gps_value
long,1,2016-01-01,GD,SU,982.4642244886455,801.2951503609547
long,1,2016-02-01,ZC,ZC,949.7047721141297,774.5766300709737
long,1,2016-03-01,CO,NG,1026.3388354616854,782.3584033281398
long,1,2016-04-01,CP,CC,1093.472390504922,918.3613224759259
long,1,2016-05-01,NG,HE,1049.6297374957135,907.9328152147374
long,1,2016-06-01,CF,LE,1133.2462193509673,956.3204894268536
long,1,2016-07-01,HE,LE,891.9475830826806,921.5069320117751
long,1,2016-08-01,ZW,ZS,769.305223555958,792.0167651600786
long,1,2016-09-01,NG,SV,637.1431705824234,838.2495676512501
long,1,2016-10-01,ZS,GD,643.5042299715792,779.6413558795234
long,1,2016-11-01,SU,SV,602.3166373051766,671.3093165144102
long,1,2016-12-01,CT,GD,582.8260469004122,699.8153618426588
long,1,2017-01-01,GD,HE,626.3698202794892,681.4624822079729
long,1,2017-02-01,HO,LE,620.6211439084028,686.9193483254959
long,1,2017-03-01,CO,NG,578.8587499134657,817.4841536482044
long,1,2017-04-01,NG,CC,518.8442455589549,673.8782981569583
long,1,2017-05-01,HE,NG,527.6253431802552,621.2285506745982
long,1,2017-06-01,CF,CC,526.8781025300297,571.645633235158
long,1,2017-07-01,SU,SV,535.6464964722137,491.4897659395734
long,1,2017-08-01,CF,GD,497.5153872958476,510.783948143505
long,1,2017-09-01,NG,SV,414.2981939928901,485.381618289779
long,1,2017-10-01,ZS,NG,410.611828080238,550.8894270331909
long,1,2017-11-01,SU,CF,442.57622823069386,538.3356281702333
long,1,2017-12-01,ZS,GD,398.3358078698937,589.9898233642805
long,1,2018-01-01,GD,ZC,426.34355562370433,601.1770125449904
long,1,2018-02-01,CP,ZS,410.13348902971046,658.0691214549053
long,1,2018-03-01,HO,ZS,402.11709466409576,659.9104481400784
long,1,2018-04-01,NG,CP,395.69731143195906,662.4512875572601
long,1,2018-05-01,HE,SV,408.9572863132435,665.666755096497
long,1,2018-06-01,CF,NG,392.7308558486708,666.3626348041851
long,1,2018-07-01,CC,ZW,364.20698585844104,833.9112208132779
long,1,2018-08-01,CF,ZS,298.94743872598576,790.7620792635408
long,1,2018-09-01,SU,ZW,292.873758975393,721.4784979197217
long,1,2018-10-01,ZS,CP,310.5463039088682,673.4818015334158
long,1,2018-11-01,SU,CP,290.01441311485894,679.805682493816
long,1,2018-12-01,CT,SU,258.6630547154027,574.5553322893867
long,1,2019-01-01,GD,HO,273.0636884568094,531.4153067829875
long,1,2019-02-01,CP,ZS,290.3809074298013,567.5378297059336
long,1,2019-03-01,CT,GD,332.24758642583805,544.0666432286786
long,1,2019-04-01,NG,CC,290.66453323471717,532.153411837578
long,1,2019-05-01,HE,CC,272.81827167891083,529.3103389642755
long,1,2019-06-01,CF,ZW,276.4502949948406,449.62517813988774
long,1,2019-07-01,CC,ZS,269.0486367488577,416.37957619856695
long,1,2019-08-01,CT,SV,270.5155328206797,476.1721100019131
long,1,2019-09-01,SU,LE,269.11858630295495,513.0316957114004
long,1,2019-10-01,ZS,LE,277.81614711315837,544.9368039298365
long,1,2019-11-01,NG,ZW,211.83522386626095,571.1436137719246
long,1,2019-12-01,CP,SU,227.56948725181502,585.2029890385569
long,1,2020-01-01,GD,HO,234.59057135593636,490.4118513919187
long,1,2020-02-01,HO,LE,230.3678186400304,420.77636626150485
long,1,2020-03-01,CT,HE,194.75291516739864,327.7132850951706
long,1,2020-04-01,NG,CT,195.90213304859319,332.9673352222361
long,1,2020-05-01,HE,GD,167.4250072454712,325.62112076078654
long,1,2020-06-01,CF,ZW,165.85446372406932,307.61583903314573
long,1,2020-07-01,CC,ZC,171.89827031485163,274.1561859105403
long,1,2020-08-01,GD,SV,173.04741192460676,346.3502359900395
long,1,2020-09-01,SU,CC,221.39725538278395,277.6523756102388
long,1,2020-10-01,ZS,NG,234.07636908939725,253.37465797119822
long,1,2020-11-01,NG,HO,205.2298996096114,367.089317204427
long,1,2020-12-01,CP,SV,209.8764143855447,458.72910979117665
long,1,2021-01-01,GD,CP,193.326287447025,494.3082722909332
long,1,2021-02-01,HO,SV,233.81068781893336,494.9867800597796
long,1,2021-03-01,CT,ZC,205.56101068386653,450.6034896177372
long,1,2021-04-01,CP,HE,215.3320195269001,484.4380366261942
long,1,2021-05-01,HO,CF,255.34355026390207,528.1524958780672
long,1,2021-06-01,CO,HO,174.0234863539334,456.51107060759676
long,1,2021-07-01,CC,GD,157.8517576114202,456.37383273299156
long,1,2021-08-01,GD,CF,159.44424624672186,452.60107426109136
long,1,2021-09-01,SU,NG,145.88208362220456,511.1387090722838
long,1,2021-10-01,ZS,LE,142.69828250086644,546.2433909315472
long,1,2021-11-01,CF,HO,164.55181270443637,514.8280128449297
long,1,2021-12-01,CP,NG,169.0946824002081,443.8856192339704
long,1,2022-01-01,SV,GD,168.57322665553917,445.41475788090406
