Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2016-01-01,[HO | 9.6%],[CO | 9.5%],[HE | 8.2%],[LE | 7.8%],[GD | 7.6%],[HO | 9.7%],[CO | 8.9%],[LE | 8.1%],[HE | 7.2%],[SV | 7.0%]
2016-02-01,[CO | 12.5%],[HO | 10.8%],[NG | 9.7%],[SU | 8.7%],[HE | 8.4%],[HO | 9.6%],[NG | 8.0%],[CO | 7.9%],[GD | 7.1%],[HE | 6.9%]
2016-03-01,[CO | 11.1%],[HO | 9.6%],[HE | 9.5%],[CF | 7.9%],[CT | 7.2%],[CO | 9.7%],[CF | 8.8%],[NG | 8.1%],[HO | 7.8%],[ZS | 7.5%]
2016-04-01,[HE | 11.4%],[NG | 10.1%],[HO | 8.9%],[CO | 8.9%],[LE | 8.6%],[HE | 9.4%],[NG | 9.1%],[ZS | 8.1%],[ZW | 7.5%],[HO | 7.4%]
2016-05-01,[LE | 9.5%],[GD | 9.3%],[HE | 8.3%],[ZW | 8.2%],[CC | 7.9%],[ZW | 9.4%],[LE | 8.5%],[NG | 8.2%],[HE | 7.8%],[CC | 7.5%]
2016-06-01,[NG | 12.0%],[LE | 9.1%],[CF | 8.9%],[HE | 8.5%],[SU | 7.8%],[NG | 8.4%],[SU | 8.4%],[CF | 7.9%],[HE | 7.5%],[GD | 7.1%]
2016-07-01,[CC | 10.6%],[GD | 8.7%],[LE | 8.2%],[NG | 7.5%],[ZC | 7.1%],[CC | 8.9%],[HE | 8.1%],[GD | 8.0%],[NG | 7.5%],[ZC | 7.1%]
2016-08-01,[LE | 12.6%],[SU | 9.8%],[HE | 9.5%],[NG | 9.2%],[CO | 7.0%],[LE | 8.8%],[HE | 7.8%],[NG | 7.6%],[HO | 7.4%],[ZC | 7.4%]
2016-09-01,[LE | 9.6%],[CC | 9.0%],[GD | 8.8%],[HO | 8.5%],[CO | 7.4%],[LE | 10.7%],[HO | 9.2%],[HE | 7.7%],[NG | 7.2%],[CP | 6.8%]
2016-10-01,[LE | 12.1%],[HE | 9.2%],[GD | 8.1%],[HO | 7.3%],[ZC | 7.3%],[LE | 9.1%],[GD | 8.6%],[CT | 7.9%],[ZC | 7.0%],[CO | 6.9%]
2016-11-01,[LE | 11.2%],[HE | 10.0%],[CC | 9.7%],[GD | 7.3%],[NG | 7.0%],[CC | 8.4%],[HE | 7.9%],[CT | 7.5%],[HO | 7.4%],[CO | 7.4%]
2016-12-01,[LE | 11.0%],[HO | 9.4%],[SU | 8.1%],[ZC | 7.5%],[CT | 7.1%],[LE | 8.3%],[ZC | 7.7%],[SU | 7.7%],[HE | 7.3%],[CF | 7.2%]
2017-01-01,[HE | 10.1%],[GD | 9.9%],[CC | 9.3%],[LE | 8.9%],[HO | 6.9%],[CC | 8.3%],[HE | 8.1%],[GD | 7.8%],[CO | 7.6%],[ZW | 7.4%]
2017-02-01,[LE | 10.5%],[CO | 8.5%],[ZC | 7.6%],[ZW | 7.4%],[CT | 7.2%],[LE | 8.3%],[HO | 8.0%],[CP | 7.4%],[CO | 7.4%],[SV | 7.3%]
2017-03-01,[HE | 10.5%],[GD | 9.5%],[LE | 8.8%],[HO | 7.7%],[CO | 7.4%],[GD | 9.4%],[HE | 8.0%],[LE | 7.7%],[CC | 7.6%],[CO | 7.6%]
2017-04-01,[CC | 8.4%],[LE | 8.2%],[GD | 8.2%],[CO | 8.2%],[CT | 7.7%],[GD | 8.4%],[CC | 8.4%],[LE | 7.9%],[CP | 7.2%],[CO | 7.1%]
2017-05-01,[HE | 11.5%],[HO | 10.1%],[CO | 8.7%],[GD | 7.7%],[ZW | 7.1%],[HE | 8.2%],[ZW | 8.0%],[CO | 7.8%],[ZS | 7.4%],[HO | 7.4%]
2017-06-01,[CC | 10.8%],[CT | 9.4%],[CP | 7.6%],[ZC | 7.5%],[CO | 7.3%],[CC | 9.5%],[CT | 8.8%],[HO | 8.0%],[CO | 7.5%],[CP | 7.2%]
2017-07-01,[HE | 9.7%],[ZS | 8.9%],[CO | 8.6%],[SU | 7.8%],[CF | 7.1%],[HE | 8.2%],[ZW | 8.0%],[ZS | 7.9%],[GD | 7.7%],[HO | 7.6%]
2017-08-01,[CC | 13.7%],[CT | 8.9%],[CF | 8.5%],[LE | 7.3%],[CO | 6.7%],[LE | 8.3%],[CC | 8.2%],[CT | 7.9%],[HO | 7.5%],[CF | 7.5%]
2017-09-01,[HE | 11.2%],[GD | 9.0%],[CO | 8.9%],[SU | 7.6%],[LE | 7.4%],[NG | 8.6%],[GD | 7.8%],[HE | 7.7%],[CO | 7.4%],[ZW | 7.2%]
2017-10-01,[CC | 13.5%],[CF | 10.7%],[LE | 8.9%],[SU | 7.5%],[CT | 7.3%],[CC | 9.2%],[SU | 7.7%],[LE | 7.7%],[CF | 7.3%],[GD | 7.1%]
2017-11-01,[HE | 8.8%],[NG | 8.6%],[GD | 7.4%],[ZW | 7.1%],[LE | 7.0%],[GD | 8.0%],[NG | 7.9%],[HE | 7.5%],[SU | 7.3%],[CF | 7.3%]
2017-12-01,[CC | 13.2%],[CF | 12.4%],[NG | 7.4%],[ZC | 6.7%],[GD | 6.6%],[CC | 10.5%],[CF | 9.1%],[LE | 7.6%],[ZW | 7.6%],[NG | 7.1%]
2018-01-01,[HE | 10.7%],[SU | 8.0%],[CP | 7.8%],[LE | 7.4%],[NG | 7.4%],[HE | 8.5%],[CP | 8.0%],[LE | 7.6%],[ZW | 7.4%],[GD | 7.4%]
2018-02-01,[CC | 16.5%],[CF | 11.1%],[NG | 8.1%],[SU | 7.7%],[GD | 6.4%],[CC | 10.1%],[CF | 8.2%],[HO | 7.5%],[CT | 7.3%],[ZS | 6.9%]
2018-03-01,[NG | 8.0%],[ZW | 7.7%],[LE | 7.7%],[HO | 7.6%],[ZC | 7.3%],[HE | 8.4%],[SU | 7.7%],[HO | 7.3%],[LE | 7.3%],[GD | 7.1%]
