Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2016-01-01,[CP | 100.0%],,,,,[ZS | 100.0%],,,,
2016-02-01,[GD | 16.1%],[LE | 11.9%],[ZC | 10.6%],[SV | 8.9%],[SU | 7.4%],[LE | 10.3%],[GD | 10.0%],[ZC | 8.9%],[ZW | 8.5%],[NG | 8.0%]
2016-03-01,[ZS | 10.9%],[HE | 10.4%],[ZW | 7.8%],[HO | 7.6%],[NG | 7.5%],[ZS | 8.6%],[HE | 8.1%],[CF | 7.9%],[ZW | 7.4%],[SV | 7.1%]
2016-04-01,[HE | 11.0%],[NG | 10.8%],[CF | 10.3%],[LE | 9.3%],[HO | 8.8%],[NG | 8.9%],[HE | 8.9%],[LE | 8.3%],[CF | 8.3%],[CP | 8.1%]
2016-05-01,[ZS | 11.9%],[NG | 10.3%],[LE | 10.1%],[GD | 9.2%],[CC | 9.1%],[NG | 9.1%],[ZS | 8.4%],[GD | 7.5%],[CC | 7.5%],[HO | 7.2%]
2016-06-01,[CF | 11.9%],[ZW | 10.5%],[LE | 9.6%],[HO | 9.6%],[NG | 9.5%],[ZW | 9.9%],[CF | 8.9%],[NG | 8.9%],[SU | 7.6%],[LE | 6.9%]
2016-07-01,[LE | 15.9%],[NG | 8.3%],[CO | 8.0%],[HO | 7.8%],[GD | 7.3%],[LE | 9.9%],[NG | 8.1%],[SU | 7.4%],[CT | 7.3%],[ZS | 7.3%]
2016-08-01,[HE | 14.1%],[CO | 13.2%],[HO | 11.2%],[LE | 9.6%],[GD | 8.7%],[CO | 10.2%],[HE | 9.5%],[LE | 8.2%],[HO | 8.1%],[GD | 8.0%]
2016-09-01,[ZS | 12.4%],[ZC | 10.3%],[LE | 9.7%],[HO | 9.5%],[ZW | 7.6%],[HO | 9.7%],[ZS | 9.3%],[ZC | 9.1%],[ZW | 8.2%],[SU | 7.1%]
2016-10-01,[ZC | 13.1%],[CC | 10.8%],[CT | 9.1%],[LE | 8.9%],[ZW | 8.1%],[GD | 9.5%],[ZC | 9.0%],[ZW | 8.6%],[LE | 7.6%],[SU | 6.8%]
2016-11-01,[LE | 14.9%],[CO | 11.7%],[ZS | 10.7%],[HO | 9.2%],[GD | 7.4%],[LE | 10.1%],[ZS | 8.6%],[CO | 8.2%],[HO | 8.0%],[NG | 7.6%]
2016-12-01,[LE | 16.3%],[HE | 10.4%],[SU | 10.3%],[NG | 9.5%],[CP | 6.8%],[LE | 11.7%],[HE | 9.2%],[SU | 7.6%],[CP | 7.4%],[CT | 7.3%]
2017-01-01,[HE | 11.6%],[ZC | 10.5%],[ZS | 10.0%],[HO | 9.9%],[LE | 7.6%],[ZS | 9.6%],[ZC | 8.8%],[HE | 8.3%],[HO | 7.8%],[CT | 7.1%]
2017-02-01,[CP | 11.0%],[GD | 10.5%],[LE | 9.3%],[NG | 8.9%],[ZW | 7.9%],[GD | 9.6%],[ZW | 9.2%],[CP | 8.8%],[LE | 7.6%],[NG | 7.3%]
2017-03-01,[ZS | 11.0%],[LE | 9.8%],[NG | 9.3%],[CO | 9.2%],[HE | 7.8%],[LE | 8.9%],[NG | 8.6%],[ZS | 8.1%],[CO | 7.7%],[HE | 7.2%]
2017-04-01,[CC | 13.3%],[LE | 10.3%],[NG | 10.2%],[GD | 8.1%],[HO | 7.3%],[NG | 9.4%],[CC | 9.0%],[LE | 7.8%],[CP | 7.4%],[CO | 7.3%]
2017-05-01,[LE | 14.6%],[ZC | 10.8%],[HO | 10.2%],[ZS | 9.5%],[HE | 8.7%],[LE | 10.6%],[ZC | 9.6%],[CO | 7.6%],[HE | 7.4%],[HO | 6.7%]
2017-06-01,[CC | 14.1%],[CF | 11.7%],[CP | 8.4%],[SU | 7.3%],[HE | 7.3%],[CC | 11.0%],[CF | 8.4%],[CP | 7.3%],[SV | 6.9%],[SU | 6.8%]
2017-07-01,[HO | 15.2%],[SU | 10.6%],[ZS | 10.6%],[CO | 9.9%],[HE | 9.2%],[HO | 10.2%],[HE | 8.7%],[SU | 8.5%],[ZS | 7.8%],[CO | 7.4%]
2017-08-01,[CC | 9.9%],[LE | 9.6%],[CF | 9.2%],[SU | 8.4%],[ZW | 7.7%],[CC | 8.6%],[SU | 8.6%],[LE | 8.1%],[CP | 7.9%],[ZW | 7.4%]
2017-09-01,[NG | 10.1%],[GD | 9.8%],[CO | 9.2%],[HE | 8.1%],[SU | 7.8%],[HO | 8.2%],[NG | 8.1%],[CO | 7.9%],[CF | 7.7%],[ZC | 7.7%]
2017-10-01,[LE | 11.8%],[CC | 10.7%],[GD | 8.3%],[CF | 8.1%],[CP | 7.8%],[LE | 8.7%],[CP | 8.4%],[SU | 8.1%],[GD | 7.9%],[CC | 7.6%]
2017-11-01,[HE | 10.3%],[ZW | 10.2%],[CT | 8.8%],[ZS | 8.5%],[LE | 8.0%],[ZS | 8.4%],[CT | 8.1%],[ZW | 8.1%],[LE | 7.6%],[ZC | 7.5%]
2017-12-01,[ZC | 10.4%],[CF | 10.0%],[LE | 8.2%],[CP | 8.1%],[CC | 7.9%],[LE | 8.6%],[HE | 8.2%],[CP | 8.0%],[CF | 7.9%],[ZC | 7.7%]
2018-01-01,[LE | 18.2%],[HE | 12.7%],[CT | 7.4%],[SU | 7.3%],[CP | 7.0%],[LE | 12.2%],[HE | 8.1%],[GD | 7.8%],[CP | 7.6%],[CT | 7.4%]
2018-02-01,[CC | 12.3%],[GD | 8.9%],[NG | 8.8%],[ZW | 8.2%],[CF | 8.2%],[CC | 8.9%],[CO | 8.7%],[NG | 8.5%],[ZW | 8.4%],[CF | 8.4%]
2018-03-01,[CO | 14.3%],[ZW | 9.6%],[ZS | 9.2%],[ZC | 7.9%],[HO | 7.5%],[CO | 11.1%],[ZW | 9.0%],[ZS | 8.7%],[ZC | 8.0%],[CP | 7.4%]
2018-04-01,[LE | 13.6%],[CO | 10.4%],[CF | 10.3%],[CC | 10.1%],[HO | 7.5%],[LE | 9.2%],[CO | 9.1%],[CF | 8.4%],[CC | 8.3%],[GD | 7.9%]
2018-05-01,[HO | 10.2%],[LE | 9.4%],[GD | 9.1%],[ZS | 8.5%],[CT | 8.0%],[LE | 8.9%],[HO | 8.6%],[SV | 8.5%],[ZS | 7.9%],[GD | 7.8%]
2018-06-01,[HE | 13.9%],[LE | 13.6%],[CO | 8.4%],[NG | 7.5%],[ZW | 7.0%],[HE | 10.8%],[LE | 10.7%],[CO | 8.5%],[NG | 8.0%],[ZW | 7.2%]
2018-07-01,[SU | 8.9%],[LE | 8.7%],[CP | 8.5%],[HE | 7.5%],[NG | 7.4%],[NG | 9.0%],[LE | 8.8%],[HO | 7.7%],[ZC | 7.1%],[SU | 7.0%]
2018-08-01,[LE | 14.3%],[GD | 9.6%],[HO | 8.5%],[NG | 7.7%],[ZS | 7.5%],[LE | 11.4%],[GD | 9.7%],[HO | 8.2%],[NG | 7.9%],[ZS | 7.5%]
2018-09-01,[CC | 11.0%],[NG | 10.4%],[LE | 8.6%],[CP | 7.8%],[HE | 7.7%],[CC | 9.2%],[ZW | 8.3%],[NG | 8.2%],[LE | 7.8%],[CT | 7.5%]
2018-10-01,[GD | 9.5%],[CF | 8.9%],[SU | 8.3%],[LE | 8.3%],[ZC | 8.2%],[ZC | 8.3%],[CF | 7.9%],[LE | 7.8%],[GD | 7.4%],[CP | 7.4%]
2018-11-01,[HE | 10.5%],[CC | 10.3%],[GD | 8.2%],[CF | 8.0%],[NG | 7.4%],[HE | 11.2%],[CF | 7.8%],[NG | 7.7%],[CP | 7.6%],[CC | 7.5%]
2018-12-01,[LE | 11.5%],[HE | 9.8%],[CP | 9.1%],[CO | 7.6%],[ZS | 7.4%],[LE | 10.7%],[HE | 8.9%],[GD | 7.9%],[CP | 7.7%],[NG | 7.5%]
2019-01-01,[LE | 15.5%],[HO | 11.2%],[HE | 8.0%],[CC | 7.7%],[CF | 7.2%],[LE | 11.5%],[HO | 8.3%],[CC | 8.2%],[SV | 7.4%],[SU | 7.0%]
2019-02-01,[LE | 13.9%],[CP | 9.6%],[CT | 8.6%],[HE | 7.2%],[HO | 7.0%],[LE | 11.0%],[CP | 9.5%],[CT | 9.3%],[CF | 7.7%],[GD | 7.6%]
2019-03-01,[CC | 11.9%],[CF | 8.5%],[GD | 8.3%],[LE | 7.7%],[ZW | 7.0%],[CC | 9.2%],[GD | 7.4%],[ZW | 7.3%],[CF | 7.2%],[ZC | 6.8%]
2019-04-01,[CT | 10.2%],[ZW | 8.2%],[LE | 8.2%],[CO | 7.5%],[HE | 7.2%],[CT | 8.0%],[CO | 7.9%],[GD | 7.6%],[LE | 7.4%],[CP | 7.3%]
2019-05-01,[SU | 10.7%],[CC | 9.8%],[HE | 9.7%],[LE | 9.0%],[CF | 7.5%],[LE | 9.5%],[SU | 9.4%],[CP | 8.6%],[CF | 7.6%],[HE | 7.5%]
2019-06-01,[HE | 13.6%],[CO | 8.7%],[SU | 8.0%],[LE | 7.4%],[CF | 7.0%],[HE | 10.9%],[SU | 7.8%],[CO | 7.4%],[LE | 7.3%],[NG | 7.0%]
2019-07-01,[LE | 12.2%],[CC | 9.8%],[CP | 9.4%],[ZW | 7.7%],[HO | 7.4%],[CC | 8.9%],[LE | 8.4%],[CP | 8.1%],[ZW | 7.6%],[CO | 7.5%]
2019-08-01,[CF | 8.7%],[CC | 8.6%],[ZS | 8.2%],[ZC | 7.9%],[ZW | 7.1%],[CT | 8.5%],[ZS | 7.5%],[CC | 7.4%],[CF | 7.0%],[ZC | 6.9%]
2019-09-01,[CP | 10.9%],[HO | 9.5%],[GD | 9.3%],[NG | 9.1%],[CO | 7.7%],[CP | 9.4%],[HO | 8.7%],[GD | 8.2%],[SU | 7.8%],[CF | 7.4%]
2019-10-01,[SU | 10.3%],[LE | 8.9%],[CC | 8.1%],[ZW | 7.1%],[ZS | 6.9%],[CT | 8.5%],[SU | 8.4%],[NG | 7.4%],[CC | 7.3%],[CO | 7.3%]
2019-11-01,[CO | 12.4%],[HE | 11.4%],[HO | 9.0%],[CF | 7.5%],[LE | 7.2%],[HE | 9.7%],[CO | 8.6%],[SU | 7.8%],[HO | 7.7%],[CF | 7.2%]
2019-12-01,[CC | 13.6%],[HE | 12.4%],[LE | 11.5%],[CO | 7.5%],[HO | 7.2%],[LE | 9.9%],[HE | 9.7%],[CC | 8.3%],[ZW | 7.3%],[HO | 7.0%]
2020-01-01,[LE | 11.7%],[CT | 9.0%],[SU | 8.1%],[CP | 7.1%],[CF | 6.8%],[CO | 8.8%],[LE | 8.7%],[HO | 8.4%],[CT | 8.1%],[ZS | 7.3%]
2020-02-01,[CC | 14.5%],[NG | 9.2%],[ZW | 8.4%],[HO | 8.1%],[CF | 7.4%],[CC | 10.7%],[HO | 8.5%],[NG | 7.8%],[ZW | 7.5%],[GD | 7.5%]
2020-03-01,[CP | 9.5%],[GD | 9.1%],[CO | 8.5%],[HO | 8.0%],[LE | 7.8%],[HE | 8.2%],[LE | 7.9%],[CO | 7.9%],[GD | 7.8%],[CP | 7.6%]
2020-04-01,[CO | 11.5%],[SU | 8.8%],[ZS | 8.1%],[HE | 8.0%],[CC | 8.0%],[CO | 9.9%],[CC | 8.0%],[HE | 7.9%],[CF | 7.3%],[HO | 7.2%]
2020-05-01,[CO | 13.1%],[CP | 9.5%],[HO | 9.5%],[HE | 8.7%],[CT | 8.4%],[CP | 10.1%],[HE | 8.5%],[CO | 7.3%],[HO | 7.1%],[ZS | 7.1%]
2020-06-01,[HE | 10.3%],[CP | 7.7%],[ZW | 7.7%],[NG | 7.5%],[SU | 7.4%],[ZS | 8.3%],[CP | 7.9%],[NG | 7.6%],[HO | 7.3%],[SU | 7.3%]
2020-07-01,[LE | 9.9%],[HE | 9.6%],[CF | 9.4%],[CP | 8.2%],[NG | 8.0%],[LE | 9.0%],[CT | 7.5%],[NG | 7.5%],[SU | 7.5%],[CF | 7.4%]
2020-08-01,[CC | 10.4%],[CO | 10.2%],[SV | 8.2%],[HE | 8.0%],[NG | 7.4%],[CC | 9.4%],[GD | 8.0%],[NG | 8.0%],[HE | 7.8%],[SU | 7.8%]
2020-09-01,[CT | 10.3%],[CO | 9.7%],[HO | 9.3%],[LE | 9.0%],[HE | 8.5%],[CF | 8.1%],[SU | 7.8%],[CT | 7.6%],[GD | 7.4%],[CO | 7.4%]
2020-10-01,[LE | 10.1%],[HE | 8.8%],[HO | 7.6%],[ZC | 7.2%],[CF | 7.2%],[LE | 8.4%],[HE | 7.7%],[CO | 7.4%],[HO | 7.2%],[GD | 7.1%]
2020-11-01,[HE | 11.7%],[LE | 10.8%],[NG | 9.0%],[HO | 8.7%],[ZS | 6.7%],[HE | 9.6%],[NG | 8.2%],[LE | 7.5%],[CP | 7.2%],[HO | 7.2%]
2020-12-01,[CP | 10.3%],[CC | 9.5%],[HE | 9.3%],[CF | 8.5%],[LE | 8.0%],[CP | 9.3%],[LE | 8.3%],[CC | 8.2%],[ZS | 7.7%],[CT | 7.1%]
2021-01-01,[LE | 10.2%],[CO | 8.3%],[SU | 7.8%],[ZC | 7.7%],[CF | 7.7%],[SU | 7.8%],[ZC | 7.5%],[GD | 7.4%],[LE | 7.3%],[CF | 7.1%]
2021-02-01,[CF | 10.3%],[CO | 10.2%],[HO | 7.8%],[ZS | 7.1%],[CP | 6.9%],[HO | 9.0%],[ZC | 8.3%],[LE | 7.5%],[CP | 7.3%],[CF | 7.0%]
