Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2016-01-01,[CC | 22.3%],[ZW | 14.6%],[ZS | 10.0%],[HE | 9.3%],[ZC | 8.3%],[CC | 12.4%],[CP | 9.4%],[ZW | 8.7%],[ZS | 7.5%],[LE | 7.0%]
2016-02-01,[LE | 12.6%],[CF | 11.4%],[ZW | 10.0%],[HE | 9.7%],[CP | 9.0%],[CP | 10.6%],[LE | 8.8%],[CT | 8.5%],[ZC | 7.8%],[ZS | 7.5%]
2016-03-01,[ZW | 16.4%],[CP | 11.7%],[LE | 11.3%],[HO | 9.1%],[ZS | 7.7%],[CP | 9.3%],[CC | 9.0%],[ZW | 8.5%],[HO | 7.9%],[SV | 7.9%]
2016-04-01,[ZW | 16.2%],[HO | 14.9%],[SU | 12.7%],[CO | 10.6%],[LE | 9.6%],[HO | 9.6%],[SU | 8.6%],[CO | 8.6%],[CP | 7.7%],[ZW | 7.5%]
2016-05-01,[HO | 24.9%],[CO | 17.2%],[LE | 15.7%],[ZS | 6.6%],[HE | 6.0%],[CO | 12.2%],[HO | 11.8%],[ZS | 8.3%],[LE | 8.2%],[CT | 7.6%]
2016-06-01,[HO | 33.5%],[CO | 25.9%],[ZW | 7.9%],[HE | 7.1%],[CC | 4.4%],[CO | 13.5%],[HO | 12.2%],[CC | 8.3%],[HE | 7.2%],[CT | 7.2%]
2016-07-01,[HO | 25.2%],[CO | 21.3%],[LE | 16.4%],[ZW | 10.5%],[GD | 4.7%],[HO | 13.7%],[CO | 13.3%],[LE | 8.1%],[ZW | 7.3%],[ZS | 6.3%]
2016-08-01,[HO | 15.1%],[LE | 14.9%],[CO | 10.5%],[GD | 10.5%],[ZW | 7.0%],[HO | 8.8%],[ZS | 8.6%],[CO | 8.3%],[CC | 8.1%],[CT | 8.1%]
2016-09-01,[LE | 16.2%],[HO | 12.8%],[CO | 11.6%],[HE | 7.6%],[NG | 7.0%],[LE | 7.8%],[HO | 7.3%],[CO | 7.3%],[CT | 7.1%],[ZS | 7.0%]
2016-10-01,[LE | 20.4%],[HE | 11.9%],[SU | 11.7%],[HO | 11.0%],[CO | 7.0%],[SU | 10.4%],[HO | 8.8%],[ZS | 8.7%],[CC | 7.2%],[HE | 7.0%]
2016-11-01,[SU | 9.5%],[HO | 9.1%],[HE | 8.8%],[LE | 7.9%],[GD | 7.6%],[ZC | 9.2%],[CT | 8.4%],[SU | 7.8%],[CC | 7.7%],[NG | 7.0%]
