Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2016-01-01,[HO | 17.5%],[HE | 11.8%],[CO | 11.8%],[LE | 10.5%],[ZW | 9.2%],[HO | 9.6%],[HE | 8.6%],[CO | 8.5%],[GD | 8.3%],[SU | 8.0%]
2016-02-01,[ZW | 14.3%],[HO | 12.2%],[CO | 10.2%],[HE | 10.1%],[SU | 10.1%],[HO | 9.8%],[CO | 9.6%],[NG | 8.4%],[SU | 7.8%],[HE | 7.4%]
2016-03-01,[HE | 14.4%],[LE | 13.2%],[HO | 13.2%],[CO | 9.3%],[ZS | 9.1%],[HE | 10.3%],[NG | 8.1%],[HO | 7.7%],[CO | 7.6%],[CT | 7.5%]
2016-04-01,[HE | 18.4%],[LE | 15.4%],[ZW | 10.2%],[ZS | 7.7%],[NG | 7.7%],[NG | 9.6%],[HE | 9.0%],[LE | 8.3%],[CF | 7.9%],[GD | 7.7%]
2016-05-01,[ZW | 20.9%],[LE | 13.3%],[HE | 11.4%],[GD | 9.3%],[CC | 6.2%],[HE | 10.9%],[SV | 9.1%],[ZW | 8.6%],[GD | 8.4%],[LE | 7.6%]
2016-06-01,[LE | 27.3%],[ZW | 12.4%],[CF | 10.1%],[SU | 9.3%],[HE | 8.2%],[LE | 10.7%],[SU | 10.0%],[CF | 9.6%],[HE | 8.6%],[NG | 7.5%]
2016-07-01,[SU | 17.4%],[LE | 15.1%],[HE | 9.0%],[GD | 8.7%],[ZW | 8.4%],[SU | 9.7%],[CC | 9.1%],[CT | 7.7%],[LE | 7.5%],[SV | 7.3%]
2016-08-01,[LE | 22.2%],[HE | 17.6%],[SU | 12.9%],[ZW | 7.6%],[HO | 6.8%],[LE | 12.2%],[SU | 11.0%],[HE | 9.3%],[NG | 7.5%],[ZC | 7.2%]
2016-09-01,[LE | 19.7%],[HO | 12.2%],[CO | 10.7%],[GD | 8.7%],[HE | 8.6%],[LE | 9.3%],[CC | 8.9%],[HE | 8.5%],[CO | 7.6%],[CP | 7.6%]
2016-10-01,[LE | 17.2%],[HO | 13.0%],[GD | 11.1%],[CO | 9.9%],[HE | 8.2%],[CP | 9.1%],[LE | 8.5%],[GD | 8.4%],[NG | 7.2%],[HE | 6.9%]
2016-11-01,[HE | 25.2%],[LE | 25.1%],[HO | 11.6%],[CO | 7.0%],[ZS | 5.6%],[HE | 11.5%],[LE | 11.2%],[HO | 9.5%],[CO | 7.1%],[CC | 6.9%]
2016-12-01,[HO | 16.9%],[LE | 12.8%],[SU | 11.9%],[CO | 11.2%],[HE | 7.4%],[HO | 10.0%],[CO | 9.0%],[LE | 8.3%],[SU | 8.3%],[CT | 7.3%]
