Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2016-01-01,[ZW | 100.0%],,,,,[CP | 100.0%],,,,
2016-02-01,[CF | 61.0%],[HO | 28.3%],[HE | 8.3%],[CO | 2.4%],,[CT | 42.3%],[HE | 26.8%],[CO | 20.0%],[HO | 8.5%],[ZS | 1.1%]
2016-03-01,[LE | 99.3%],[CT | 0.7%],,,,[GD | 55.4%],[ZC | 15.9%],[CP | 12.7%],[SV | 6.5%],[CF | 2.6%]
2016-04-01,[ZW | 49.7%],[ZC | 27.0%],[ZS | 22.0%],[CO | 0.8%],[HO | 0.3%],[HO | 36.9%],[ZC | 17.6%],[ZS | 12.5%],[ZW | 9.4%],[CP | 8.0%]
2016-05-01,[CO | 30.8%],[SV | 17.2%],[HE | 13.8%],[CF | 10.2%],[ZW | 8.4%],[ZW | 17.5%],[SV | 15.1%],[ZC | 12.6%],[CO | 9.9%],[HE | 9.6%]
2016-06-01,[HE | 75.4%],[CO | 10.8%],[LE | 3.9%],[CC | 2.9%],[HO | 2.7%],[CC | 19.9%],[GD | 19.0%],[SU | 12.6%],[NG | 9.1%],[ZC | 8.5%]
2016-07-01,[ZC | 50.4%],[HE | 22.9%],[CC | 16.5%],[ZW | 7.7%],[CO | 0.9%],[ZW | 20.9%],[ZS | 17.8%],[CC | 16.9%],[HE | 11.1%],[CP | 6.8%]
2016-08-01,[ZW | 24.1%],[LE | 23.7%],[ZC | 19.5%],[ZS | 18.8%],[CF | 4.2%],[ZC | 18.4%],[ZS | 18.1%],[CF | 14.7%],[ZW | 12.6%],[LE | 8.5%]
2016-09-01,[HE | 75.9%],[CO | 14.3%],[LE | 5.7%],[CC | 1.7%],[NG | 0.9%],[GD | 23.9%],[CC | 20.2%],[NG | 18.9%],[CO | 8.6%],[LE | 8.5%]
2016-10-01,[HE | 48.9%],[LE | 21.7%],[CO | 20.2%],[HO | 3.5%],[NG | 2.1%],[HE | 16.4%],[SV | 15.4%],[ZS | 13.6%],[CO | 13.0%],[LE | 10.8%]
2016-11-01,[CF | 27.5%],[ZC | 24.9%],[ZW | 12.4%],[LE | 10.2%],[CO | 8.7%],[CC | 16.3%],[ZC | 14.8%],[CF | 11.4%],[SU | 9.7%],[CP | 7.4%]
2016-12-01,[CF | 18.3%],[CC | 14.5%],[GD | 13.7%],[CO | 11.6%],[HE | 10.1%],[GD | 17.9%],[SV | 11.5%],[CC | 10.5%],[ZC | 10.2%],[ZS | 9.5%]
