Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2016-01-01,[CF | 100.0%],,,,,[CC | 100.0%],,,,
2016-02-01,[ZC | 91.1%],[LE | 8.3%],[SU | 0.3%],[CO | 0.2%],[GD | 0.1%],[SV | 47.6%],[GD | 29.0%],[SU | 10.6%],[LE | 7.6%],[ZW | 3.2%]
2016-03-01,[NG | 39.8%],[HO | 17.0%],[ZW | 12.9%],[CF | 11.4%],[HE | 11.3%],[SU | 18.4%],[CO | 17.4%],[CC | 11.5%],[ZS | 11.3%],[CF | 9.6%]
2016-04-01,[CF | 79.5%],[LE | 10.9%],[HE | 8.3%],[CO | 0.9%],[HO | 0.4%],[CT | 15.3%],[SV | 11.6%],[CC | 11.1%],[GD | 10.7%],[NG | 9.6%]
2016-05-01,[LE | 27.0%],[ZS | 25.6%],[SU | 16.9%],[HO | 8.5%],[CC | 5.1%],[NG | 18.5%],[GD | 14.0%],[CC | 10.8%],[ZC | 7.1%],[SU | 6.6%]
2016-06-01,[CF | 51.5%],[ZW | 15.5%],[SV | 13.6%],[LE | 9.7%],[CO | 5.6%],[CT | 14.9%],[CP | 12.2%],[ZS | 11.6%],[NG | 9.1%],[ZC | 8.1%]
2016-07-01,[LE | 54.0%],[CO | 19.0%],[NG | 13.3%],[CF | 8.8%],[HO | 4.0%],[CF | 18.0%],[NG | 14.6%],[HO | 13.4%],[GD | 10.5%],[SV | 9.4%]
2016-08-01,[CO | 60.4%],[GD | 22.9%],[HE | 9.5%],[HO | 4.6%],[LE | 0.8%],[HE | 16.0%],[SV | 11.2%],[SU | 9.6%],[HO | 9.4%],[GD | 9.2%]
2016-09-01,[ZC | 53.9%],[HO | 18.2%],[CF | 8.7%],[CO | 6.1%],[ZW | 5.2%],[CT | 18.1%],[CP | 16.0%],[SU | 11.4%],[ZS | 9.3%],[ZW | 7.5%]
2016-10-01,[SU | 34.9%],[ZW | 17.1%],[HO | 13.5%],[ZC | 12.3%],[CC | 6.2%],[CP | 12.9%],[CT | 12.7%],[GD | 11.0%],[CF | 8.8%],[NG | 7.9%]
2016-11-01,[CO | 22.3%],[HO | 22.0%],[HE | 22.0%],[LE | 17.5%],[ZS | 6.0%],[GD | 11.0%],[HO | 9.7%],[ZS | 8.9%],[LE | 8.5%],[HE | 8.5%]
2016-12-01,[LE | 53.7%],[NG | 14.6%],[CO | 9.9%],[SU | 7.0%],[HE | 7.0%],[NG | 14.4%],[LE | 14.0%],[SU | 13.1%],[HO | 8.8%],[CO | 8.1%]
2017-01-01,[HE | 51.6%],[HO | 32.6%],[CO | 8.1%],[LE | 3.4%],[ZW | 1.4%],[ZS | 10.9%],[ZC | 9.5%],[HO | 9.4%],[HE | 8.9%],[CC | 8.6%]
2017-02-01,[CO | 22.1%],[NG | 18.5%],[GD | 16.9%],[CP | 13.5%],[LE | 9.5%],[CT | 10.4%],[SV | 9.8%],[CP | 9.4%],[NG | 9.3%],[GD | 8.7%]
2017-03-01,[HE | 40.3%],[CO | 17.7%],[ZW | 13.1%],[CF | 11.5%],[LE | 6.4%],[HE | 15.2%],[CO | 10.2%],[ZS | 10.1%],[CF | 9.7%],[ZW | 8.2%]
2017-04-01,[NG | 35.6%],[HE | 14.9%],[ZW | 9.4%],[CC | 8.6%],[HO | 6.9%],[NG | 9.9%],[ZS | 9.8%],[CT | 9.4%],[ZC | 8.9%],[GD | 8.3%]
2017-05-01,[LE | 44.8%],[HO | 20.4%],[NG | 11.5%],[ZC | 9.1%],[CO | 7.1%],[LE | 17.2%],[ZC | 12.8%],[HO | 11.4%],[NG | 11.4%],[CO | 5.7%]
2017-06-01,[CF | 24.3%],[HE | 17.8%],[LE | 15.3%],[CC | 9.0%],[CP | 6.1%],[CC | 10.2%],[CF | 9.3%],[CP | 9.0%],[CT | 8.3%],[HE | 8.1%]
2017-07-01,[HO | 48.3%],[CO | 29.9%],[HE | 9.1%],[ZS | 6.4%],[ZW | 1.5%],[HO | 17.1%],[CO | 15.0%],[ZS | 14.4%],[SV | 10.5%],[HE | 8.3%]
2017-08-01,[ZW | 23.4%],[CO | 15.8%],[HO | 13.5%],[LE | 11.8%],[HE | 10.7%],[ZW | 10.9%],[CO | 9.9%],[SU | 9.3%],[CP | 9.1%],[CC | 7.8%]
2017-09-01,[NG | 25.5%],[CO | 24.9%],[GD | 8.7%],[HO | 8.5%],[CF | 7.3%],[NG | 10.3%],[GD | 10.3%],[CT | 9.6%],[CC | 8.7%],[CO | 8.1%]
2017-10-01,[HE | 17.0%],[LE | 14.2%],[HO | 13.1%],[GD | 11.3%],[CO | 9.7%],[HO | 9.7%],[CC | 9.2%],[HE | 9.0%],[CP | 8.5%],[GD | 8.1%]
2017-11-01,[ZW | 24.0%],[HE | 19.1%],[CP | 8.4%],[ZS | 7.7%],[LE | 7.1%],[ZS | 13.4%],[ZW | 12.1%],[CT | 9.0%],[HE | 8.8%],[NG | 8.3%]
2017-12-01,[HE | 24.1%],[LE | 21.2%],[ZC | 9.5%],[CF | 7.7%],[CP | 6.0%],[HE | 11.5%],[ZC | 10.5%],[SV | 9.0%],[CP | 9.0%],[LE | 7.5%]
2018-01-01,[HE | 33.9%],[LE | 27.8%],[CP | 11.1%],[HO | 7.3%],[CF | 5.2%],[HE | 12.3%],[CP | 11.4%],[LE | 9.7%],[SU | 8.5%],[CT | 7.6%]
2018-02-01,[CC | 36.7%],[NG | 12.6%],[SU | 11.0%],[CO | 10.1%],[HE | 6.0%],[CC | 10.9%],[NG | 10.4%],[SU | 10.3%],[SV | 9.3%],[GD | 7.9%]
2018-03-01,[CO | 25.2%],[ZW | 21.5%],[HE | 12.0%],[ZS | 9.8%],[LE | 9.7%],[ZW | 15.3%],[CO | 11.4%],[ZC | 10.9%],[ZS | 9.2%],[HO | 8.2%]
2018-04-01,[LE | 33.7%],[CO | 17.7%],[CF | 12.6%],[CC | 9.9%],[HO | 9.2%],[LE | 10.3%],[CF | 10.2%],[CO | 9.6%],[CC | 9.4%],[HO | 9.1%]
2018-05-01,[HO | 26.2%],[LE | 20.9%],[HE | 11.0%],[CO | 9.1%],[GD | 7.8%],[GD | 11.1%],[HO | 10.5%],[SV | 9.7%],[LE | 9.4%],[CT | 7.8%]
2018-06-01,[LE | 30.6%],[HE | 29.2%],[CO | 8.7%],[CC | 7.9%],[ZW | 5.9%],[LE | 12.7%],[HE | 10.8%],[CO | 10.5%],[CC | 9.0%],[NG | 8.8%]
2018-07-01,[HE | 16.3%],[NG | 15.9%],[LE | 14.2%],[CF | 8.9%],[HO | 8.0%],[NG | 12.4%],[SU | 8.4%],[CF | 8.2%],[CT | 7.8%],[CP | 7.6%]
2018-08-01,[LE | 30.7%],[GD | 11.3%],[HO | 10.3%],[ZS | 8.3%],[HE | 7.5%],[SV | 9.4%],[GD | 9.4%],[NG | 9.3%],[LE | 9.0%],[ZS | 8.5%]
2018-09-01,[NG | 19.9%],[LE | 16.2%],[CO | 12.9%],[HE | 12.0%],[CC | 11.5%],[NG | 13.0%],[CO | 8.3%],[LE | 8.1%],[CP | 8.1%],[CC | 8.1%]
2018-10-01,[LE | 19.2%],[CF | 16.0%],[CC | 8.6%],[ZS | 7.8%],[ZC | 7.6%],[LE | 9.9%],[CF | 9.7%],[ZW | 9.1%],[ZC | 8.6%],[GD | 8.4%]
2018-11-01,[HE | 24.8%],[CC | 16.6%],[NG | 9.2%],[ZS | 7.3%],[LE | 6.9%],[HE | 10.5%],[CC | 10.5%],[GD | 9.6%],[NG | 8.2%],[ZW | 8.2%]
2018-12-01,[HE | 24.3%],[LE | 16.2%],[HO | 12.9%],[CO | 9.3%],[NG | 7.1%],[HE | 10.5%],[CT | 10.2%],[CP | 9.0%],[LE | 8.7%],[CO | 7.8%]
2019-01-01,[LE | 21.6%],[HO | 16.1%],[HE | 11.6%],[CO | 11.4%],[CF | 9.3%],[LE | 10.4%],[CF | 8.9%],[HO | 8.8%],[CC | 8.3%],[ZW | 8.1%]
2019-02-01,[LE | 38.1%],[HE | 11.9%],[CP | 8.9%],[CT | 6.1%],[CF | 5.6%],[LE | 11.3%],[CT | 10.0%],[ZC | 8.9%],[CP | 8.9%],[CF | 7.6%]
2019-03-01,[CC | 17.0%],[LE | 14.7%],[CF | 11.2%],[CO | 8.9%],[HE | 6.8%],[CF | 9.6%],[ZW | 9.4%],[CC | 8.7%],[SV | 8.6%],[ZC | 7.9%]
2019-04-01,[CO | 16.1%],[HO | 12.3%],[HE | 10.4%],[LE | 9.5%],[CP | 8.5%],[GD | 9.3%],[ZW | 9.2%],[CT | 9.0%],[ZC | 9.0%],[SV | 8.3%]
2019-05-01,[HE | 19.5%],[SU | 17.5%],[HO | 13.4%],[LE | 12.9%],[NG | 8.4%],[HO | 10.8%],[SU | 10.2%],[NG | 8.9%],[LE | 8.5%],[HE | 8.4%]
2019-06-01,[HE | 38.1%],[HO | 10.3%],[CO | 9.3%],[NG | 8.2%],[ZS | 6.8%],[HE | 12.5%],[NG | 9.1%],[CO | 8.1%],[CT | 7.5%],[HO | 7.1%]
2019-07-01,[CC | 19.7%],[LE | 18.9%],[CP | 12.2%],[HE | 9.4%],[ZW | 8.1%],[CC | 11.7%],[LE | 9.8%],[CP | 9.7%],[ZW | 8.6%],[SV | 6.9%]
2019-08-01,[HO | 12.6%],[CC | 10.7%],[CF | 10.1%],[LE | 8.9%],[CT | 8.4%],[ZC | 8.9%],[CC | 8.9%],[SV | 8.8%],[SU | 8.6%],[CT | 8.4%]
2019-09-01,[HO | 18.3%],[NG | 16.9%],[CO | 13.0%],[CP | 12.1%],[SU | 8.8%],[CP | 10.3%],[NG | 10.2%],[HO | 9.3%],[SU | 8.4%],[SV | 8.1%]
2019-10-01,[SU | 14.0%],[CO | 13.8%],[HE | 10.9%],[NG | 10.2%],[ZW | 8.4%],[CO | 9.9%],[SU | 9.0%],[ZW | 8.6%],[CC | 8.1%],[HO | 7.2%]
2019-11-01,[CO | 24.6%],[HE | 20.9%],[HO | 13.6%],[SU | 9.0%],[LE | 6.2%],[CO | 12.4%],[HO | 9.6%],[HE | 9.5%],[ZW | 8.1%],[SU | 7.9%]
2019-12-01,[HE | 35.5%],[LE | 16.9%],[CC | 13.7%],[CO | 8.2%],[HO | 6.9%],[HE | 15.5%],[LE | 11.5%],[CC | 10.8%],[NG | 8.0%],[CO | 7.9%]
2020-01-01,[LE | 13.8%],[HE | 12.4%],[HO | 12.0%],[CO | 11.4%],[SU | 10.4%],[ZS | 9.6%],[LE | 9.1%],[CT | 8.7%],[HO | 8.4%],[SU | 7.8%]
2020-02-01,[NG | 22.1%],[HO | 14.2%],[CC | 10.5%],[CF | 10.0%],[CO | 9.2%],[NG | 11.2%],[ZW | 9.6%],[CC | 9.1%],[HO | 8.4%],[LE | 7.9%]
2020-03-01,[SU | 13.5%],[HO | 12.0%],[CO | 11.3%],[HE | 11.0%],[LE | 10.7%],[SV | 8.8%],[ZW | 8.7%],[SU | 8.6%],[CP | 8.4%],[CO | 8.4%]
2020-04-01,[CO | 41.3%],[HE | 9.5%],[SU | 8.6%],[CC | 8.3%],[HO | 7.7%],[CO | 16.8%],[SU | 9.4%],[CC | 8.1%],[ZS | 7.3%],[HO | 7.0%]
2020-05-01,[CO | 32.6%],[HE | 18.2%],[HO | 16.6%],[CP | 6.8%],[NG | 6.1%],[CO | 14.0%],[HO | 10.0%],[CP | 9.6%],[CT | 9.5%],[HE | 9.3%]
2020-06-01,[HE | 25.7%],[HO | 10.7%],[SU | 10.5%],[ZW | 10.0%],[CF | 7.0%],[HE | 10.1%],[ZC | 9.5%],[CP | 8.5%],[ZW | 8.1%],[SU | 8.1%]
2020-07-01,[NG | 13.2%],[CF | 11.7%],[HE | 11.5%],[LE | 11.5%],[CO | 10.0%],[NG | 10.4%],[CT | 9.3%],[CF | 8.8%],[LE | 8.2%],[SU | 8.0%]
2020-08-01,[CO | 25.8%],[HE | 16.8%],[CC | 12.0%],[SU | 11.2%],[NG | 8.6%],[CO | 11.0%],[SU | 9.8%],[HE | 9.1%],[CC | 8.8%],[NG | 8.5%]
2020-09-01,[CO | 33.4%],[HO | 23.0%],[CF | 9.8%],[HE | 6.1%],[LE | 5.0%],[CO | 13.2%],[HO | 12.3%],[CF | 8.3%],[SU | 8.2%],[ZC | 7.5%]
2020-10-01,[HE | 16.3%],[LE | 15.6%],[CO | 12.9%],[CF | 11.6%],[CC | 7.7%],[HE | 10.3%],[LE | 9.1%],[ZW | 8.7%],[CC | 7.4%],[CF | 7.0%]
2020-11-01,[CO | 18.6%],[HE | 17.7%],[HO | 13.5%],[NG | 12.7%],[LE | 10.1%],[HE | 11.5%],[HO | 9.6%],[CO | 8.8%],[SU | 8.6%],[LE | 8.5%]
2020-12-01,[HE | 23.9%],[CO | 11.3%],[CC | 10.2%],[LE | 9.9%],[CP | 8.1%],[HE | 11.9%],[SV | 8.7%],[CP | 8.4%],[LE | 8.3%],[CC | 7.9%]
2021-01-01,[CO | 31.9%],[LE | 12.5%],[SU | 9.9%],[CC | 9.1%],[HO | 8.2%],[CO | 14.9%],[SU | 9.5%],[LE | 9.1%],[CC | 7.3%],[ZC | 7.1%]
2021-02-01,[CO | 23.8%],[HO | 15.4%],[CF | 13.4%],[NG | 7.7%],[SU | 7.2%],[CO | 10.4%],[CF | 10.1%],[NG | 9.1%],[HO | 9.1%],[ZW | 7.1%]
2021-03-01,[HO | 14.6%],[CO | 14.1%],[CF | 13.4%],[SV | 7.3%],[LE | 6.9%],[CF | 11.0%],[HO | 7.7%],[LE | 7.6%],[CO | 7.4%],[CT | 7.4%]
2021-04-01,[CO | 21.9%],[HO | 14.4%],[HE | 10.6%],[NG | 10.3%],[CC | 9.4%],[CO | 10.5%],[HO | 8.7%],[CT | 8.6%],[CC | 8.6%],[NG | 8.4%]
2021-05-01,[CO | 22.5%],[NG | 14.7%],[HO | 11.1%],[HE | 9.0%],[LE | 8.0%],[CO | 10.7%],[ZW | 9.8%],[NG | 9.6%],[CC | 7.4%],[CT | 7.1%]
2021-06-01,[CO | 34.9%],[CF | 14.8%],[HO | 14.3%],[SU | 8.1%],[LE | 6.4%],[CO | 14.4%],[CF | 11.2%],[HO | 8.7%],[SU | 8.4%],[ZC | 7.4%]
2021-07-01,[CO | 31.8%],[HO | 11.4%],[CC | 10.1%],[SU | 8.7%],[NG | 7.2%],[CO | 11.0%],[SU | 10.6%],[CC | 7.6%],[ZW | 7.4%],[HO | 7.4%]
2021-08-01,[CO | 20.9%],[CP | 12.4%],[HO | 10.3%],[NG | 9.4%],[SV | 7.4%],[CP | 10.1%],[SV | 8.2%],[GD | 8.0%],[NG | 7.6%],[CO | 7.5%]
2021-09-01,[HE | 18.6%],[HO | 15.2%],[CO | 10.3%],[SV | 10.3%],[CC | 7.3%],[HE | 10.5%],[HO | 10.0%],[ZW | 9.0%],[SV | 8.7%],[CT | 7.6%]
2021-10-01,[HE | 13.4%],[CO | 13.0%],[HO | 10.4%],[NG | 10.0%],[CC | 7.0%],[HE | 9.5%],[HO | 8.2%],[CF | 7.4%],[NG | 7.3%],[ZC | 6.9%]
2021-11-01,[HE | 20.1%],[CO | 17.9%],[SU | 10.6%],[CC | 8.9%],[HO | 8.6%],[CO | 9.7%],[HE | 9.6%],[SU | 9.1%],[CC | 8.2%],[CF | 8.0%]
2021-12-01,[CO | 20.8%],[HO | 18.8%],[HE | 13.5%],[LE | 12.0%],[CF | 6.3%],[HO | 11.9%],[CO | 10.0%],[HE | 9.6%],[CF | 8.3%],[LE | 8.2%]
2022-01-01,[CC | 15.9%],[HO | 13.7%],[CO | 10.2%],[NG | 9.1%],[LE | 8.1%],[CC | 11.7%],[NG | 8.8%],[ZC | 8.2%],[CP | 8.1%],[CT | 7.5%]
2022-02-01,[LE | 18.1%],[CO | 16.0%],[NG | 14.9%],[SV | 8.0%],[CT | 7.6%],[LE | 11.6%],[NG | 8.8%],[SV | 8.8%],[GD | 7.5%],[CO | 7.3%]
2022-03-01,[LE | 11.2%],[SU | 10.3%],[CP | 10.2%],[ZW | 9.5%],[HE | 9.1%],[ZW | 9.7%],[SU | 9.5%],[ZC | 9.3%],[LE | 9.2%],[CF | 8.6%]
2022-04-01,[NG | 23.9%],[CO | 13.4%],[CP | 11.1%],[SU | 8.9%],[SV | 7.9%],[NG | 13.2%],[CP | 10.1%],[SV | 8.6%],[CO | 8.4%],[GD | 7.9%]
2022-05-01,[CO | 30.6%],[HO | 12.4%],[SU | 11.4%],[HE | 9.6%],[CC | 7.0%],[CO | 10.9%],[SU | 10.7%],[HE | 9.3%],[CF | 8.4%],[HO | 8.2%]
2022-06-01,[CO | 14.9%],[CP | 14.4%],[SV | 13.4%],[NG | 8.0%],[CT | 7.8%],[SV | 9.6%],[CP | 8.8%],[CO | 8.0%],[NG | 8.0%],[SU | 7.4%]
2022-07-01,[CO | 16.7%],[HO | 11.7%],[CP | 10.9%],[LE | 10.1%],[CT | 6.9%],[LE | 9.1%],[CO | 8.9%],[CP | 8.9%],[ZC | 8.8%],[SU | 7.9%]
2022-08-01,[CT | 15.0%],[CF | 13.1%],[CP | 11.4%],[NG | 10.6%],[CO | 9.4%],[CP | 9.7%],[CT | 9.1%],[CF | 8.8%],[NG | 8.0%],[CC | 7.7%]
2022-09-01,[CO | 13.2%],[LE | 12.2%],[NG | 9.6%],[SV | 9.1%],[ZS | 7.6%],[LE | 10.3%],[ZS | 9.2%],[SU | 8.7%],[CO | 7.7%],[GD | 7.6%]
2022-10-01,[NG | 18.6%],[LE | 11.0%],[HE | 10.6%],[CO | 7.7%],[CP | 7.1%],[NG | 11.0%],[LE | 8.3%],[HE | 8.1%],[ZS | 7.8%],[ZC | 7.1%]
2022-11-01,[SV | 13.6%],[CO | 11.1%],[CP | 10.9%],[CC | 9.4%],[HO | 8.4%],[SU | 9.1%],[CC | 9.1%],[SV | 8.5%],[ZS | 8.5%],[CP | 8.1%]
2022-12-01,[CO | 17.8%],[CT | 16.2%],[HO | 15.9%],[NG | 14.0%],[CP | 12.2%],[NG | 11.3%],[CT | 10.3%],[HO | 9.7%],[CP | 9.4%],[CO | 9.4%]
2023-01-01,[CT | 31.6%],[CO | 12.9%],[HO | 11.4%],[NG | 6.4%],[CF | 5.8%],[CT | 13.1%],[HO | 9.0%],[CO | 8.7%],[CF | 7.9%],[SV | 7.5%]
2023-02-01,[HO | 17.8%],[CO | 15.2%],[CP | 12.2%],[CT | 9.6%],[CF | 7.2%],[HO | 10.5%],[CP | 9.9%],[SU | 8.0%],[CO | 7.8%],[CF | 7.2%]
2023-03-01,[HE | 15.7%],[HO | 15.2%],[CO | 15.1%],[SV | 13.0%],[CF | 8.6%],[HO | 11.8%],[HE | 10.4%],[CO | 9.3%],[SV | 8.5%],[CP | 7.5%]
2023-04-01,[NG | 33.1%],[CT | 10.8%],[CF | 8.5%],[HE | 7.6%],[CO | 6.8%],[NG | 13.9%],[HE | 9.6%],[CC | 8.5%],[CF | 8.3%],[SV | 7.7%]
2023-05-01,[CT | 16.3%],[NG | 16.3%],[SV | 10.8%],[HE | 9.4%],[CP | 6.6%],[ZC | 9.1%],[NG | 8.2%],[SV | 8.2%],[HE | 8.1%],[CT | 7.9%]
2023-06-01,[CF | 11.7%],[CT | 10.4%],[ZS | 10.0%],[ZC | 9.5%],[HO | 8.2%],[ZS | 9.4%],[ZC | 8.6%],[CC | 8.2%],[CF | 7.9%],[GD | 7.2%]
2023-07-01,[NG | 31.7%],[CT | 12.9%],[CO | 8.5%],[HO | 7.1%],[CC | 7.1%],[NG | 14.0%],[CT | 9.1%],[CC | 8.5%],[CO | 8.1%],[HE | 7.1%]
2023-08-01,[CT | 22.1%],[SV | 10.5%],[CO | 8.6%],[NG | 8.1%],[HE | 6.8%],[CT | 9.4%],[SV | 8.2%],[CO | 7.8%],[HO | 7.5%],[CF | 7.1%]
2023-09-01,[CT | 16.2%],[NG | 15.0%],[CF | 9.9%],[HE | 9.7%],[HO | 8.8%],[NG | 9.0%],[CT | 8.9%],[HE | 8.6%],[SU | 8.4%],[HO | 7.9%]
2023-10-01,[CT | 15.8%],[HE | 11.5%],[HO | 10.2%],[ZC | 9.6%],[CO | 8.8%],[ZC | 9.2%],[CT | 9.0%],[HE | 8.2%],[LE | 8.0%],[CO | 7.9%]
2023-11-01,[NG | 50.2%],[CT | 12.1%],[CO | 5.8%],[HO | 5.3%],[CP | 5.1%],[NG | 18.0%],[CT | 8.4%],[CF | 8.0%],[HO | 7.3%],[CP | 7.3%]
2023-12-01,[CF | 20.5%],[CT | 16.6%],[CO | 10.8%],[NG | 9.4%],[HO | 6.9%],[CF | 9.7%],[CT | 8.3%],[ZC | 8.2%],[ZW | 8.1%],[SV | 7.1%]
2024-01-01,[CT | 17.7%],[SV | 12.1%],[HO | 11.1%],[NG | 9.5%],[SU | 8.9%],[CT | 9.2%],[SV | 9.1%],[HO | 8.3%],[ZS | 8.2%],[SU | 7.7%]
2024-02-01,[CT | 17.0%],[NG | 14.5%],[SV | 10.6%],[ZW | 8.2%],[ZC | 7.4%],[SV | 9.8%],[NG | 9.3%],[CT | 8.9%],[ZC | 8.6%],[HE | 8.4%]
2024-03-01,[NG | 33.7%],[CT | 10.8%],[HO | 8.9%],[CF | 6.3%],[ZW | 6.0%],[NG | 13.7%],[HO | 9.3%],[ZW | 7.4%],[ZS | 7.2%],[CT | 7.0%]
2024-04-01,[HO | 20.7%],[CT | 11.4%],[CO | 10.0%],[GD | 6.9%],[ZC | 6.5%],[HO | 11.8%],[ZC | 8.8%],[HE | 8.4%],[GD | 8.2%],[CO | 8.1%]
